feature,split,n,mean,std,min,p10,p50,p90,max
soil_moisture_5cm,train,6868,0.19612245195107747,0.10013790841436222,0.0,0.039,0.206,0.3203000000000002,0.439
soil_moisture_5cm,val,2720,0.22149264705882354,0.1050944930299535,0.025,0.063,0.257,0.339,0.444
soil_moisture_5cm,test,4016,0.2112594621513944,0.0941754670304086,0.015,0.06,0.234,0.317,0.378
SMAP_sm_am_interp,train,5471,0.3660483503144617,0.19868459924242618,0.0674982701738675,0.1155378445982933,0.3427219688892364,0.6211110353469849,0.6634401082992554
SMAP_sm_am_interp,val,2720,0.36119181216345264,0.2049203521989625,0.0598836317658424,0.0997501492500305,0.3170462250709533,0.6329334378242492,0.6670159101486206
SMAP_sm_am_interp,test,3846,0.37991726936565623,0.21994709860654188,0.0592555423577626,0.0979394987225532,0.3503258824348449,0.6780135631561279,0.6780135631561279
SMAP_sm_pm_interp,train,5471,0.37790462159908234,0.20794221423983872,0.0629853844642639,0.1019284387429555,0.3483193516731262,0.6511374711990356,0.6780135631561279
SMAP_sm_pm_interp,val,2720,0.37347124226278205,0.21223388080220734,0.0548242067297299,0.0973312447468439,0.3350365757942199,0.645545244216919,0.6780135631561279
SMAP_sm_pm_interp,test,3846,0.39255555643265855,0.22507105948953735,0.0568020790815353,0.0968422293663024,0.3742269277572632,0.6761787831783295,0.6780135631561279
LST_modis,train,6868,287.1171223227693,11.406823505818776,257.58054054054054,272.7271163575042,287.41951327254304,301.79680085106384,311.84824999999995
LST_modis,val,2720,288.32311029678635,12.355936364424936,258.44434609929084,273.3035244519392,287.1936639118458,305.27847625764,316.36312765957456
LST_modis,test,4016,287.44308009039105,11.694304382331385,254.58,273.22791228070184,287.87799325463743,303.358496144423,312.93083705475823
F_NDVI,train,6868,0.35634146570122477,0.1979295594796696,-0.0034636653876612,0.0975266217079376,0.341208867020757,0.6170889545039472,0.8694931772179344
F_NDVI,val,2720,0.39785499202370206,0.2083756900867639,-0.0063361598376775,0.1330013083846961,0.3828516474616499,0.7420398755181445,0.8874412946055412
F_NDVI,test,4016,0.33368830714910197,0.1410630974044973,-0.0153668320725006,0.1454301094650623,0.33507016188080285,0.5306594603885686,0.7708862659202376
F_NDMI,train,6868,0.21862633638212564,0.20289242998549556,-0.1284537791270411,-0.02933783323777608,0.21774930631476058,0.48819577556564786,0.8602442516313337
F_NDMI,val,2720,0.1696668391951017,0.18744851332448195,-0.2398525217399936,-0.0607776306316942,0.20044267515411615,0.383449452171993,0.8436252143984551
F_NDMI,test,4016,0.14556956560814446,0.17784088800064995,-0.179739656121491,-0.0617792746491664,0.1760134099895809,0.28345209239420277,0.8627478097361568
precip_mm,train,6868,4.598136284216657,10.426929770794985,0.0,0.0,0.3,13.8,127.6
precip_mm,val,2720,5.094558823529412,12.034371204168952,0.0,0.0,0.2,15.1,130.9
precip_mm,test,4016,4.432046812749004,10.23550416920476,0.0,0.0,0.2,13.55,159.5
latitude,train,6868,47.14597456493885,0.9073677301236031,46.116667,46.116667,47.42,48.54,48.54
latitude,val,2720,47.401841822426476,0.8300053040054569,46.233333,46.233333,47.51,48.54,48.54
latitude,test,4016,47.399121784860554,0.8387318132512098,46.116667,46.233333,47.51,48.54,48.54
elev,train,6868,757.7940172614809,576.8370010379944,96.39210263342626,96.39210263342626,697.312512906254,1606.765353207331,1606.765353207331
elev,val,2720,545.2805577734418,431.5028747539855,96.39210263342626,96.39210263342626,216.30902463997063,1160.5260591201816,1160.5260591201816
elev,test,4016,564.4427575820887,466.09377492370226,96.39210263342626,96.39210263342626,216.30902463997063,1160.5260591201816,1606.765353207331
