seq_len,seed,val_r2,val_rmse,test_r2,test_rmse,test_n,val_n,best_epoch
5,7,0.8843991160392761,0.03572569414973259,0.7767804265022278,0.04448871314525604,4016,2720,18
5,42,0.86320960521698,0.03886224702000618,0.7800668478012085,0.04415999352931976,4016,2720,9
5,123,0.8740841150283813,0.03728553280234337,0.7616074681282043,0.04597587510943413,4016,2720,11
10,7,0.8888757228851318,0.03502713143825531,0.796623945236206,0.04246523976325989,4016,2720,15
10,42,0.8694508671760559,0.0379653237760067,0.7679837942123413,0.04535685107111931,4016,2720,12
10,123,0.8915425539016724,0.0346042737364769,0.7397851347923279,0.04803410917520523,4016,2720,17
20,7,0.8897978663444519,0.03488149493932724,0.7816389799118042,0.04400188475847244,4016,2720,22
20,42,0.8703625202178955,0.037832535803318024,0.7714804410934448,0.04501377046108246,4016,2720,29
20,123,0.8944252729415894,0.03414130583405495,0.7480288147926331,0.0472671203315258,4016,2720,28
30,7,0.8967438340187073,0.033764325082302094,0.7725254893302917,0.044910725206136703,4016,2720,18
30,42,0.8988599181175232,0.03341655805706978,0.7727850675582886,0.04488509148359299,4016,2720,31
30,123,0.8855630159378052,0.03554539009928703,0.728892982006073,0.049029119312763214,4016,2720,17
