model,station,n,r2,mae,rmse,ubrmse,bias,q90_ae,train_time_s
XGBoost,Darrington,2048,0.6934137513644054,0.050057723148369405,0.06021288714848159,0.056926648075702045,0.019620104933994298,0.08963148519992828,1.5
XGBoost,Quinault,2160,0.26517773647997334,0.05372075355590355,0.06319752997133138,0.04777526260421959,-0.04136969999377788,0.1046361981391907,1.3
XGBoost,SourdoughGulch_WA_985,2190,0.5469316644677653,0.05359359927269966,0.06831437339496196,0.0614565019016919,0.029832063058957664,0.1098728519201279,1.3
XGBoost,Spokane,1793,0.653641927118277,0.05302295925993861,0.06374861566952705,0.06316001604779789,-0.008642822028885189,0.0963025939464569,1.9
RandomForest,Darrington,2048,0.7259230710511364,0.04724237057806205,0.05693107122328366,0.05692919239013205,0.00046251966220776236,0.08774891128147351,1.5
RandomForest,Quinault,2160,0.11886692334298965,0.059258024277407194,0.06920376197998086,0.041518308545670825,-0.05536597084571282,0.10975995349188107,1.5
RandomForest,SourdoughGulch_WA_985,2190,0.5594990089468002,0.05417728628970158,0.06736024819131668,0.058070995533532316,0.034134476913236164,0.10203770647712897,1.6
RandomForest,Spokane,1793,0.7298226352956918,0.04808877668491851,0.056303135556302064,0.056276309571301635,-0.0017378304020675313,0.08635726665538572,1.4
LightGBM,Darrington,2048,0.7576325076678737,0.044538455434286084,0.05353654010209048,0.053330528697218126,-0.004692103470506217,0.0856724936534199,4.4
LightGBM,Quinault,2160,0.28303749680281565,0.05303233255358992,0.062424801919180456,0.04781733334122539,-0.040129272691927155,0.10148966832834949,4.3
LightGBM,SourdoughGulch_WA_985,2190,0.5237810158785383,0.05465850817690514,0.07003797580409686,0.06197935324579983,0.03261714006419968,0.10758717756732479,3.9
LightGBM,Spokane,1793,0.66920649596599,0.05240489755471601,0.06229979064781835,0.06204595345693316,-0.005618146881497339,0.09758591047977086,3.3
CatBoost,Darrington,2048,0.6079122067504613,0.05688518059092229,0.06809336192791872,0.06804274792238217,0.0026249559649044745,0.10500443634733816,1.8
CatBoost,Quinault,2160,0.12970045055325585,0.058105863024696974,0.06877701624292948,0.041919003404539336,-0.05452591234312732,0.1097319185585546,1.5
CatBoost,SourdoughGulch_WA_985,2190,0.5837889667638875,0.051284567327211976,0.0654767369445782,0.05934674527380638,0.027661650462606758,0.1017636813263347,1.4
CatBoost,Spokane,1793,0.6675512558001266,0.05127854700160717,0.06245546546566534,0.059273459014558806,-0.019681011736756175,0.09995471235440863,1.1
GradientBoosting,Darrington,2048,0.6719569756888744,0.05053503289313305,0.06228429019755383,0.06199035100538187,0.006043938090570687,0.09450652547649137,12.6
GradientBoosting,Quinault,2160,0.2715330195761705,0.053781306902904176,0.06292364715280001,0.047417301622622525,-0.04136405296678887,0.10180148732296526,13.4
GradientBoosting,SourdoughGulch_WA_985,2190,0.549500702514472,0.052565101689458084,0.06812041620739795,0.06126894026865504,0.029774285258005854,0.10391190422680294,12.3
GradientBoosting,Spokane,1793,0.6517716851745983,0.05298076075972181,0.06392049678181606,0.06348834538096247,-0.007420236493655643,0.09936848304205265,12.7
DecisionTree,Darrington,2048,0.5132922866150951,0.05860862701143609,0.07586600764926321,0.07500341813168747,0.01140782122937244,0.11403860845424334,0.1
DecisionTree,Quinault,2160,-0.4938639873768893,0.07333944723958451,0.09010823446951523,0.07398401428238398,-0.051437919377412,0.144150106384835,0.1
DecisionTree,SourdoughGulch_WA_985,2190,0.45434591263414303,0.05771982763258142,0.0749702467291378,0.06942904758297407,0.028286838747886227,0.11837899192447661,0.1
DecisionTree,Spokane,1793,0.43481266290056864,0.06902231201027356,0.08143372714866581,0.07536577596738493,-0.030845611197661424,0.13191115787701502,0.1
SVR,Darrington,2048,0.003871569521614271,0.09521066844639707,0.10853524319034774,0.1081817848319165,0.008752168015346127,0.16617911524774928,1.5
SVR,Quinault,2160,0.17699760570828194,0.05358760435100107,0.06688203840065106,0.049457611580292736,-0.045023901623460594,0.11344311034305188,1.6
SVR,SourdoughGulch_WA_985,2190,0.6667839739431495,0.04386895021061212,0.05858590918913546,0.05682604441582842,-0.01425164662654539,0.09784931927095515,1.2
SVR,Spokane,1793,0.5121754133833617,0.06532203998195829,0.07565540206031457,0.07565455297179906,0.0003584348547544187,0.11482623119096014,1.9
KNN,Darrington,2048,0.5029257893568885,0.06485406128356341,0.07666969431727053,0.07070330018648173,0.029652746406428485,0.11741708459086074,0.0
KNN,Quinault,2160,0.09116894304165557,0.05893962533024509,0.07028303890328245,0.05421652183815288,-0.04472442640496809,0.10737265375807314,0.0
KNN,SourdoughGulch_WA_985,2190,0.4341074006647261,0.05957050017382716,0.07634792547608416,0.06581868283244635,0.03868987871140892,0.12077260084935693,0.0
KNN,Spokane,1793,0.5625455906452833,0.05556024155554504,0.07164312155806972,0.05794977449023962,-0.04212553267455175,0.1061235248174084,0.0
