feature,gain,gain_norm
V_rollmin_LST_modis_kobs30,1.3167774677276611,0.2246348910964831
J_bio_bio05,0.7336238622665405,0.1251521387971604
J_bio_bio09,0.6031749844551086,0.1028982878777657
V_ema_LST_modis_kobs30,0.40073779225349426,0.06836363206947495
J_bio_bio10,0.2721308767795563,0.0464240096505123
J_clay_wfrac_b10,0.23118102550506592,0.03943819343865346
V_ema_G_API_kobs7,0.19471865892410278,0.03321791708461676
J_bio_bio02,0.16790758073329926,0.028644096695691273
J_aspect_deg,0.16020837426185608,0.0273306550173289
V_ema_G_API_kobs14,0.12218533456325531,0.02084413653475492
slope,0.11593642085790634,0.019778106712650834
V_rollmin_E_SAR_diff_kobs14,0.09506237506866455,0.016217110935056674
aspect,0.08153077960014343,0.013908696226473906
V_rollmax_F_NDMI_kobs30,0.05284735932946205,0.009015464722521876
V_rollmax_F_NDVI_kobs30,0.044730208814144135,0.00763072412153878
DOY,0.04359426349401474,0.00743693818615277
V_rollmax_E_SAR_ratio_kobs7,0.04358522221446037,0.007435395794292456
V_rollmin_G_API_kobs30,0.03886193037033081,0.006629628551894294
J_sand_clay_ratio_b0,0.038460373878479004,0.00656112525424
V_ema_E_SAR_ratio_kobs7,0.03657441586256027,0.006239391336473673
V_rollmax_G_API_kobs7,0.036461491137742996,0.006220127008306512
C_lag_G_API_kobs1,0.03633520379662514,0.006198583092334264
C_smm_G_API_alpha0.85_n5,0.03312162309885025,0.005650364150435022
V_rollmin_E_SAR_ratio_kobs14,0.025551078841090202,0.004358871528057648
V_rollmin_s2_b12_kobs14,0.022747445851564407,0.0038805873785244262
s1_vh,0.02237015776336193,0.0038162241351651525
F_NDVI,0.020925814285874367,0.0035698271943584176
G_API,0.0193687304854393,0.0033041973833149237
V_rollmin_E_SAR_diff_kobs30,0.018920298665761948,0.0032276974162010774
V_rollmin_s2_b12_kobs30,0.018898162990808487,0.003223921193525352
V_rollcv_F_NDMI_kobs30,0.017838068306446075,0.0030430749535113465
V_rollmin_F_NDVI_kobs7,0.017526352778077126,0.002989898023100259
V_rollmin_s2_b11_kobs30,0.017471591010689735,0.0029805559710414965
V_rollmin_G_API_kobs14,0.01715577393770218,0.00292667933999662
C_lag_LST_modis_kobs30,0.016712306067347527,0.0028510261949486445
V_rollmax_E_SAR_ratio_kobs14,0.015542551875114441,0.0026514726545654034
V_rollmin_E_SAR_ratio_kobs30,0.01500681135803461,0.0025600783106768496
V_ema_E_SAR_diff_kobs30,0.01500587910413742,0.0025599192733620395
V_rollmin_s2_b11_kobs14,0.01390210259705782,0.0023716211580468074
A_grad_LST_modis_kobs14,0.013350674882531166,0.002277550665775978
V_rollmax_s2_b11_kobs30,0.013332809321582317,0.002274502900731025
C_lag_E_SAR_diff_kobs1,0.013050570152699947,0.002226354472831159
V_rollmax_E_SAR_ratio_kobs30,0.01270234864205122,0.0021669498254711025
E_SAR_ratio,0.012160159647464752,0.0020744554072890985
V_rollmax_LST_modis_kobs14,0.011367717757821083,0.0019392692411044766
V_rollmin_F_NDVI_kobs14,0.010489271953701973,0.0017894112868345068
V_rollcv_F_NDVI_kobs30,0.010134928859770298,0.0017289623315121672
V_rollmax_LST_modis_kobs30,0.010096454061567783,0.0017223987455487046
V_rollmin_LST_modis_kobs14,0.010033940896391869,0.0017117343482640054
s1_vv,0.009579640813171864,0.0016342332881225695
D_sin_DOY,0.00920402817428112,0.0015701558670703317
V_rollrng_s2_b12_kobs30,0.009197433479130268,0.001569030848862371
V_rollmean_F_NDMI_kobs30,0.008830670267343521,0.0015064630907125542
J_bio_bio01,0.008687899447977543,0.0014821071852949312
F_NDMI,0.008461306802928448,0.0014434517439683829
A_d_LST_modis_kobs14,0.008426510728895664,0.0014375157278285957
V_rollmean_G_API_kobs7,0.008418161422014236,0.0014360913826465072
V_rollmean_E_SAR_ratio_kobs30,0.008366488851606846,0.0014272763303611955
elev,0.007721110712736845,0.0013171784197466606
V_rollrng_E_SAR_ratio_kobs30,0.007661964278668165,0.0013070883680094516
