station_id,rows_total,rows_shap,top_feature,top_mean_abs_shap,plot_path,table_path
BeaverPass_WA_990,313,313,D_sin_DOY,0.058188953,Models/Temporal/v19/v19.2/shap_by_station_derived9/plots/BeaverPass_WA_990_shap_top20.png,Models/Temporal/v19/v19.2/shap_by_station_derived9/tables/BeaverPass_WA_990_shap_importance.csv
BurntMountain_WA,491,491,elev,0.0635853,Models/Temporal/v19/v19.2/shap_by_station_derived9/plots/BurntMountain_WA_shap_top20.png,Models/Temporal/v19/v19.2/shap_by_station_derived9/tables/BurntMountain_WA_shap_importance.csv
CayusePass_WA,764,764,D_sin_DOY,0.08378823,Models/Temporal/v19/v19.2/shap_by_station_derived9/plots/CayusePass_WA_shap_top20.png,Models/Temporal/v19/v19.2/shap_by_station_derived9/tables/CayusePass_WA_shap_importance.csv
Darrington,999,999,D_sin_DOY,0.039733343,Models/Temporal/v19/v19.2/shap_by_station_derived9/plots/Darrington_shap_top20.png,Models/Temporal/v19/v19.2/shap_by_station_derived9/tables/Darrington_shap_importance.csv
HartsPass_WA_515,239,239,D_sin_DOY,0.06852071,Models/Temporal/v19/v19.2/shap_by_station_derived9/plots/HartsPass_WA_515_shap_top20.png,Models/Temporal/v19/v19.2/shap_by_station_derived9/tables/HartsPass_WA_515_shap_importance.csv
MFNooksack_WA_1011,5,5,G_rain_sum_7d,0.022759732,Models/Temporal/v19/v19.2/shap_by_station_derived9/plots/MFNooksack_WA_1011_shap_top20.png,Models/Temporal/v19/v19.2/shap_by_station_derived9/tables/MFNooksack_WA_1011_shap_importance.csv
MartenRidge_WA_999,505,505,D_sin_DOY,0.06205324,Models/Temporal/v19/v19.2/shap_by_station_derived9/plots/MartenRidge_WA_999_shap_top20.png,Models/Temporal/v19/v19.2/shap_by_station_derived9/tables/MartenRidge_WA_999_shap_importance.csv
Paradise_WA,745,745,D_sin_DOY,0.07441176,Models/Temporal/v19/v19.2/shap_by_station_derived9/plots/Paradise_WA_shap_top20.png,Models/Temporal/v19/v19.2/shap_by_station_derived9/tables/Paradise_WA_shap_importance.csv
Quinault,1044,1000,D_sin_DOY,0.035985347,Models/Temporal/v19/v19.2/shap_by_station_derived9/plots/Quinault_shap_top20.png,Models/Temporal/v19/v19.2/shap_by_station_derived9/tables/Quinault_shap_importance.csv
RainyPass_WA_711,650,650,D_sin_DOY,0.04534351,Models/Temporal/v19/v19.2/shap_by_station_derived9/plots/RainyPass_WA_711_shap_top20.png,Models/Temporal/v19/v19.2/shap_by_station_derived9/tables/RainyPass_WA_711_shap_importance.csv
