feature,mean_abs_shap,normalized_mean_abs_shap
D_sin_DOY,0.058188953,0.28445
elev,0.032226812,0.15753706
year_frac,0.026456796,0.12933101
G_rain_sum_7d,0.0142944595,0.06987682
V_rollmax_G_API_kobs30,0.012008327,0.058701325
V_rollmin_G_API_kobs30,0.0072503663,0.035442583
J_sand_wfrac_b0,0.0062742997,0.030671192
G_rain_sum_3d,0.004970473,0.024297584
V_rollmin_LST_modis_kobs30,0.0040691826,0.019891731
sin_year,0.0040279366,0.019690106
J_clay_wfrac_b0,0.0036242933,0.01771694
V_rollmean_G_API_kobs14,0.003384417,0.016544333
API_x_year,0.0032414694,0.01584555
V_ema_G_API_kobs30,0.00293377,0.014341397
V_ema_G_API_kobs7,0.002833375,0.0138506275
V_ema_G_API_kobs14,0.0026494702,0.01295163
G_API,0.0022289848,0.010896136
slope,0.0017058667,0.008338933
cos_year,0.0016715317,0.008171091
G_DSLR,0.0016464175,0.008048323
A_d_SMAP_sm_interp_kobs14,0.0012481492,0.0061014337
V_rollstd_SMAP_sm_interp_kobs30,0.0011657479,0.0056986245
V_rollmean_G_API_kobs7,0.0011426549,0.005585737
SMAP_sm_pm_interp_ema02,0.0008892835,0.00434716
C_lag_LST_modis_kobs6,0.0008480904,0.004145792
C_lag_G_API_kobs1,0.00080760726,0.003947895
V_ema_LST_modis_kobs7,0.00047619702,0.0023278345
A_d_E_SAR_diff_kobs14,0.00042215048,0.002063634
K_aspect_cos,0.00037977158,0.0018564697
C_lag_s2_b11_kobs30,0.0003500607,0.0017112314
SMAP_x_year,0.00032403498,0.0015840078
C_lag_LST_modis_kobs30,0.00027591115,0.00134876
SMAP_ampm_diff_interp,0.00019479782,0.0009522467
SMAP_sm_interp_grad7,0.00015721237,0.0007685146
V_rollmean_s2_b11_kobs7,9.5561576e-05,0.00046714177
A_d_LST_modis_kobs14,5.569965e-05,0.00027228132
K_slope_cos,3.3940487e-05,0.00016591417
K_slope_sin,1.2454829e-05,6.0884e-05
