feature,mean_abs_shap,normalized_mean_abs_shap
elev,0.0635853,0.36390188
D_sin_DOY,0.049275223,0.28200457
J_clay_wfrac_b0,0.01268517,0.07259787
year_frac,0.008865323,0.050736688
J_sand_wfrac_b0,0.0069117513,0.0395563
V_rollmin_LST_modis_kobs30,0.005500265,0.031478293
sin_year,0.0045326874,0.025940796
G_rain_sum_7d,0.0035178675,0.020132933
V_rollmax_G_API_kobs30,0.0033716531,0.01929614
G_rain_sum_3d,0.0025006372,0.014311272
API_x_year,0.0016504074,0.009445365
cos_year,0.0014720028,0.008424346
C_lag_G_API_kobs1,0.0013430808,0.0076865186
SMAP_sm_pm_interp_ema02,0.001249647,0.0071517923
V_ema_G_API_kobs7,0.00087090017,0.0049842056
V_ema_G_API_kobs14,0.0008058708,0.004612039
V_rollmin_G_API_kobs30,0.0007811929,0.004470806
C_lag_LST_modis_kobs6,0.0006718175,0.0038448453
G_DSLR,0.0005886719,0.0033689986
G_API,0.00056507956,0.0032339788
C_lag_LST_modis_kobs30,0.00053603196,0.003067738
A_d_SMAP_sm_interp_kobs14,0.00045755744,0.0026186241
slope,0.00042001417,0.0024037622
V_ema_LST_modis_kobs7,0.00039869244,0.0022817368
V_rollmean_G_API_kobs7,0.00036624173,0.0020960197
A_d_E_SAR_diff_kobs14,0.00035765194,0.00204686
V_rollmean_G_API_kobs14,0.00033075525,0.001892929
V_ema_G_API_kobs30,0.0003020135,0.0017284384
V_rollstd_SMAP_sm_interp_kobs30,0.00015181815,0.0008688629
SMAP_x_year,0.00012964674,0.0007419748
SMAP_sm_interp_grad7,0.000127148,0.0007276744
V_rollmean_s2_b11_kobs7,0.00011642574,0.00066631037
C_lag_s2_b11_kobs30,0.0001024372,0.00058625324
SMAP_ampm_diff_interp,6.65125e-05,0.00038065435
K_slope_sin,5.7172692e-05,0.0003272022
K_aspect_cos,3.1107225e-05,0.00017802822
A_d_LST_modis_kobs14,2.624877e-05,0.00015022303
K_slope_cos,9.98861e-06,5.7165318e-05
