feature,mean_abs_shap,normalized_mean_abs_shap
D_sin_DOY,0.039733343,0.2103199
V_rollmin_LST_modis_kobs30,0.03377855,0.17879948
year_frac,0.009774535,0.0517394
G_rain_sum_7d,0.009143884,0.048401184
J_sand_wfrac_b0,0.008269489,0.04377276
elev,0.0075589377,0.04001161
J_clay_wfrac_b0,0.007176288,0.037986137
V_rollmin_G_API_kobs30,0.006681418,0.03536665
V_rollmax_G_API_kobs30,0.0065832688,0.034847118
API_x_year,0.0055150576,0.029192772
C_lag_LST_modis_kobs6,0.0052326354,0.02769783
V_ema_G_API_kobs14,0.0048073013,0.025446415
V_ema_LST_modis_kobs7,0.004722964,0.024999995
G_rain_sum_3d,0.003952589,0.020922178
C_lag_G_API_kobs1,0.003730769,0.019748023
V_rollmean_G_API_kobs14,0.0033819217,0.017901475
SMAP_sm_pm_interp_ema02,0.0031195018,0.01651241
V_ema_G_API_kobs7,0.0030646264,0.01622194
cos_year,0.0028168866,0.014910583
G_API,0.0021783665,0.011530715
sin_year,0.002070418,0.010959313
C_lag_LST_modis_kobs30,0.0017108897,0.009056227
V_ema_G_API_kobs30,0.0015810522,0.00836896
slope,0.0015679321,0.008299511
G_DSLR,0.0015320044,0.008109336
SMAP_x_year,0.001369305,0.0072481213
V_rollmean_G_API_kobs7,0.0013625658,0.007212449
C_lag_s2_b11_kobs30,0.0012643684,0.0066926624
SMAP_ampm_diff_interp,0.0006774472,0.003585921
K_slope_sin,0.00064576545,0.0034182204
V_rollmean_s2_b11_kobs7,0.000601899,0.0031860229
V_rollstd_SMAP_sm_interp_kobs30,0.00058046053,0.003072543
K_aspect_cos,0.00055513333,0.002938479
A_d_E_SAR_diff_kobs14,0.0005183702,0.002743881
A_d_SMAP_sm_interp_kobs14,0.00045260816,0.002395784
K_slope_cos,0.00042722977,0.002261449
A_d_LST_modis_kobs14,0.00039928278,0.0021135176
SMAP_sm_interp_grad7,0.00037952565,0.0020089373
