feature,mean_abs_shap,normalized_mean_abs_shap
G_rain_sum_7d,0.022759732,0.13300999
G_rain_sum_3d,0.018734707,0.10948736
V_rollmax_G_API_kobs30,0.015996926,0.093487516
sin_year,0.015597458,0.091152996
D_sin_DOY,0.01230528,0.0719132
year_frac,0.011351768,0.06634079
V_ema_G_API_kobs7,0.010776542,0.06297911
V_rollmin_G_API_kobs30,0.00902841,0.052762866
V_rollmean_G_API_kobs14,0.008796832,0.0514095
API_x_year,0.007597258,0.04439908
elev,0.0073431963,0.04291432
V_rollmin_LST_modis_kobs30,0.0039453097,0.023056757
V_ema_G_API_kobs30,0.003911952,0.02286181
C_lag_G_API_kobs1,0.0032392708,0.0189306
G_API,0.0030245078,0.017675504
J_sand_wfrac_b0,0.002940848,0.01718659
V_ema_G_API_kobs14,0.00203445,0.0118895145
SMAP_sm_pm_interp_ema02,0.0016955857,0.00990916
slope,0.0016342778,0.009550871
J_clay_wfrac_b0,0.0016209166,0.009472787
G_DSLR,0.0016059158,0.009385121
V_rollmean_G_API_kobs7,0.0015431673,0.009018413
C_lag_LST_modis_kobs30,0.0006152539,0.003595601
A_d_SMAP_sm_interp_kobs14,0.0005623016,0.0032861428
C_lag_LST_modis_kobs6,0.00043914933,0.0025664296
V_rollmean_s2_b11_kobs7,0.0003298822,0.0019278622
cos_year,0.00031283355,0.0018282284
SMAP_x_year,0.0002807264,0.0016405912
A_d_E_SAR_diff_kobs14,0.00024410163,0.0014265525
SMAP_sm_interp_grad7,0.00018093166,0.0010573814
K_aspect_cos,0.00017381078,0.0010157664
SMAP_ampm_diff_interp,0.00017303035,0.0010112054
C_lag_s2_b11_kobs30,0.000116327465,0.0006798285
V_rollstd_SMAP_sm_interp_kobs30,6.9076865e-05,0.0004036916
V_ema_LST_modis_kobs7,6.387325e-05,0.00037328122
K_slope_cos,2.5018275e-05,0.00014620912
A_d_LST_modis_kobs14,2.4390542e-05,0.0001425406
K_slope_sin,1.7929633e-05,0.00010478244
