feature,mean_abs_shap,normalized_mean_abs_shap
D_sin_DOY,0.06205324,0.29199478
year_frac,0.023654409,0.11130706
G_rain_sum_7d,0.019245261,0.09055959
G_rain_sum_3d,0.018603366,0.087539114
V_rollmax_G_API_kobs30,0.014543189,0.06843374
elev,0.014033761,0.0660366
V_rollmin_G_API_kobs30,0.008254359,0.03884132
API_x_year,0.007980523,0.03755277
J_sand_wfrac_b0,0.0068920185,0.032430757
V_rollmin_LST_modis_kobs30,0.004582292,0.021562215
sin_year,0.00395084,0.018590884
V_ema_G_API_kobs7,0.0033859021,0.015932541
G_API,0.00321849,0.015144774
J_clay_wfrac_b0,0.0027184607,0.01279186
V_rollmean_G_API_kobs14,0.002579386,0.012137437
V_ema_G_API_kobs30,0.0020916967,0.009842589
G_DSLR,0.0017701308,0.008329444
V_ema_G_API_kobs14,0.0017394697,0.008185166
C_lag_G_API_kobs1,0.0015802571,0.0074359826
cos_year,0.0014839238,0.0069826813
V_rollmean_G_API_kobs7,0.0014595506,0.0068679918
SMAP_sm_pm_interp_ema02,0.0012460107,0.0058631687
slope,0.00087645516,0.004124206
C_lag_LST_modis_kobs6,0.0008068999,0.00379691
V_rollstd_SMAP_sm_interp_kobs30,0.0006594924,0.003103276
A_d_SMAP_sm_interp_kobs14,0.0006241022,0.0029367458
V_ema_LST_modis_kobs7,0.00048514904,0.0022828942
A_d_E_SAR_diff_kobs14,0.0003461454,0.0016288053
C_lag_LST_modis_kobs30,0.00033485205,0.0015756639
K_aspect_cos,0.0003213042,0.0015119137
C_lag_s2_b11_kobs30,0.0002986378,0.0014052559
SMAP_x_year,0.0001870864,0.00088034495
SMAP_ampm_diff_interp,0.0001775283,0.00083536876
SMAP_sm_interp_grad7,0.000118208365,0.00055623567
V_rollmean_s2_b11_kobs7,0.000106114836,0.00049932895
A_d_LST_modis_kobs14,5.3869047e-05,0.00025348362
K_slope_cos,4.2515592e-05,0.00020005935
K_slope_sin,9.987482e-06,4.699662e-05
