feature,mean_abs_shap,normalized_mean_abs_shap
D_sin_DOY,0.07064843,0.4306848
elev,0.036485404,0.2224212
year_frac,0.009943551,0.060617574
J_sand_wfrac_b0,0.007356138,0.044844262
J_clay_wfrac_b0,0.006789625,0.041390706
cos_year,0.0067405407,0.04109148
sin_year,0.0058349357,0.035570756
G_rain_sum_7d,0.0030216572,0.018420534
V_rollmin_LST_modis_kobs30,0.0027046623,0.016488079
V_rollmax_G_API_kobs30,0.00170348,0.010384703
API_x_year,0.0016249982,0.009906264
G_rain_sum_3d,0.0014351524,0.008748932
C_lag_G_API_kobs1,0.00096240005,0.0058669536
V_rollmin_G_API_kobs30,0.00080631004,0.0049154027
V_ema_G_API_kobs7,0.0007972188,0.004859981
A_d_E_SAR_diff_kobs14,0.0007153089,0.004360644
SMAP_sm_pm_interp_ema02,0.0007071409,0.0043108505
G_DSLR,0.00068147405,0.0041543813
slope,0.0006050753,0.0036886418
V_ema_G_API_kobs14,0.0005592327,0.0034091773
C_lag_LST_modis_kobs6,0.0004996523,0.003045965
G_API,0.00042656483,0.0026004114
C_lag_LST_modis_kobs30,0.0004225703,0.0025760601
V_ema_G_API_kobs30,0.0004155299,0.0025331408
V_rollmean_G_API_kobs14,0.00038651298,0.0023562487
A_d_SMAP_sm_interp_kobs14,0.00036192013,0.0022063265
V_ema_LST_modis_kobs7,0.00023367614,0.0014245294
V_rollmean_G_API_kobs7,0.00021940803,0.0013375485
V_rollmean_s2_b11_kobs7,0.00016208508,0.0009880981
V_rollstd_SMAP_sm_interp_kobs30,0.00012528163,0.00076373806
SMAP_x_year,0.0001162934,0.0007089443
K_aspect_cos,0.00011104166,0.0006769288
SMAP_ampm_diff_interp,0.000102996135,0.0006278819
SMAP_sm_interp_grad7,9.663133e-05,0.00058908097
C_lag_s2_b11_kobs30,8.166008e-05,0.0004978137
K_slope_sin,6.847452e-05,0.00041743225
A_d_LST_modis_kobs14,6.1172585e-05,0.00037291844
K_slope_cos,2.322421e-05,0.00014157871
