feature,mean_abs_shap,normalized_mean_abs_shap
D_sin_DOY,0.056305718,0.33869487
year_frac,0.034824602,0.20947987
elev,0.028337205,0.17045633
cos_year,0.009657436,0.058092218
J_clay_wfrac_b0,0.0062148715,0.037384216
J_sand_wfrac_b0,0.004991763,0.03002687
sin_year,0.004586284,0.0275878
V_rollmin_LST_modis_kobs30,0.004024958,0.024211263
G_rain_sum_7d,0.0028344735,0.017050162
V_rollmin_G_API_kobs30,0.0014540567,0.008746563
G_rain_sum_3d,0.0014407942,0.008666786
V_rollmax_G_API_kobs30,0.001407282,0.008465201
API_x_year,0.0012819109,0.007711058
C_lag_G_API_kobs1,0.0011195089,0.0067341635
SMAP_sm_pm_interp_ema02,0.0011069652,0.00665871
C_lag_LST_modis_kobs6,0.00067500153,0.0040603257
V_ema_G_API_kobs7,0.0006220894,0.0037420446
G_DSLR,0.0005991062,0.0036037937
C_lag_LST_modis_kobs30,0.0005139251,0.0030914054
V_ema_G_API_kobs14,0.0005067969,0.003048527
slope,0.0005044903,0.0030346522
A_d_SMAP_sm_interp_kobs14,0.0004897765,0.0029461447
A_d_E_SAR_diff_kobs14,0.0004126171,0.0024820091
V_ema_LST_modis_kobs7,0.00040359065,0.0024277123
G_API,0.00037600094,0.0022617523
V_ema_G_API_kobs30,0.0002766453,0.0016641
V_rollstd_SMAP_sm_interp_kobs30,0.0002530648,0.0015222565
V_rollmean_G_API_kobs14,0.00020094072,0.0012087155
V_rollmean_G_API_kobs7,0.00015903551,0.0009566437
SMAP_sm_interp_grad7,0.00012274944,0.0007383727
V_rollmean_s2_b11_kobs7,0.00011961806,0.00071953656
SMAP_x_year,9.74159e-05,0.00058598426
C_lag_s2_b11_kobs30,8.19697e-05,0.00049307104
K_aspect_cos,6.5258864e-05,0.0003925506
SMAP_ampm_diff_interp,6.043827e-05,0.00036355335
A_d_LST_modis_kobs14,5.0849794e-05,0.00030587593
K_slope_sin,4.8663624e-05,0.0002927255
K_slope_cos,1.5321768e-05,9.216478e-05
