feature,mean_abs_shap,normalized_mean_abs_shap
D_sin_DOY,0.04382607,0.3954342
year_frac,0.01589005,0.14337286
elev,0.013505758,0.121859856
J_clay_wfrac_b0,0.005212786,0.047033966
J_sand_wfrac_b0,0.0043036295,0.03883082
sin_year,0.003767172,0.03399047
V_rollmin_LST_modis_kobs30,0.003759267,0.033919144
cos_year,0.0034439778,0.031074349
G_rain_sum_7d,0.002410386,0.02174845
G_rain_sum_3d,0.0016334727,0.01473851
API_x_year,0.001530088,0.01380569
V_rollmax_G_API_kobs30,0.0013764689,0.012419614
C_lag_G_API_kobs1,0.0012015519,0.0108413715
SMAP_sm_pm_interp_ema02,0.001116753,0.010076247
V_rollmin_G_API_kobs30,0.0011146514,0.010057285
C_lag_LST_modis_kobs6,0.0006574622,0.005932155
G_DSLR,0.0006456099,0.005825214
V_ema_G_API_kobs7,0.0005871016,0.005297305
V_ema_G_API_kobs14,0.00052608486,0.0047467626
slope,0.0005058025,0.0045637586
C_lag_LST_modis_kobs30,0.0005009252,0.0045197513
A_d_SMAP_sm_interp_kobs14,0.0004880694,0.0044037565
V_ema_G_API_kobs30,0.00043103477,0.003889144
A_d_E_SAR_diff_kobs14,0.00039213087,0.0035381215
G_API,0.00037889607,0.0034187064
V_ema_LST_modis_kobs7,0.00035722766,0.0032231964
V_rollstd_SMAP_sm_interp_kobs30,0.0002548229,0.002299218
V_rollmean_G_API_kobs14,0.00018212857,0.001643311
V_rollmean_G_API_kobs7,0.00017997235,0.0016238559
SMAP_sm_interp_grad7,0.00012688868,0.0011448922
V_rollmean_s2_b11_kobs7,0.00012039114,0.0010862661
SMAP_x_year,9.8658995e-05,0.0008901811
C_lag_s2_b11_kobs30,7.437802e-05,0.00067109853
K_aspect_cos,6.568584e-05,0.0005926707
SMAP_ampm_diff_interp,6.037993e-05,0.0005447965
K_slope_sin,4.89511e-05,0.00044167635
A_d_LST_modis_kobs14,4.051558e-05,0.00036556428
K_slope_cos,1.5057379e-05,0.00013585984
