feature,mean_abs_shap,normalized_mean_abs_shap
D_sin_DOY,0.043914236,0.3838011
year_frac,0.015412472,0.13470173
elev,0.0138103925,0.1206999
sin_year,0.008120785,0.07097393
J_sand_wfrac_b0,0.0050572953,0.044199686
J_clay_wfrac_b0,0.004789097,0.04185569
G_rain_sum_7d,0.0030585066,0.026730698
V_rollmin_LST_modis_kobs30,0.0029342216,0.025644474
cos_year,0.0022365905,0.019547325
V_rollmax_G_API_kobs30,0.0018766085,0.016401159
G_rain_sum_3d,0.0016909962,0.014778947
API_x_year,0.001669181,0.014588287
V_ema_G_API_kobs7,0.000990642,0.008658
C_lag_G_API_kobs1,0.00091571896,0.008003189
SMAP_sm_pm_interp_ema02,0.00088856794,0.0077658948
G_DSLR,0.0008849631,0.007734389
V_rollmin_G_API_kobs30,0.00073091156,0.006388012
slope,0.0005860041,0.0051215515
C_lag_LST_modis_kobs6,0.0005622529,0.004913971
A_d_SMAP_sm_interp_kobs14,0.00048648106,0.004251741
G_API,0.00048447726,0.0042342283
V_ema_G_API_kobs14,0.00046491192,0.0040632314
C_lag_LST_modis_kobs30,0.00042026007,0.0036729837
V_ema_G_API_kobs30,0.00037467072,0.0032745425
A_d_E_SAR_diff_kobs14,0.00036764657,0.003213153
V_ema_LST_modis_kobs7,0.00029132268,0.0025460983
V_rollmean_G_API_kobs14,0.0002772131,0.0024227838
V_rollmean_G_API_kobs7,0.00022071245,0.0019289799
V_rollstd_SMAP_sm_interp_kobs30,0.00014793976,0.0012929621
V_rollmean_s2_b11_kobs7,0.00012438178,0.0010870703
SMAP_sm_interp_grad7,0.00012284357,0.0010736267
K_aspect_cos,0.0001039874,0.00090882776
SMAP_x_year,0.000103096034,0.0009010374
C_lag_s2_b11_kobs30,9.568261e-05,0.00083624566
K_slope_sin,6.857547e-05,0.00059933506
SMAP_ampm_diff_interp,6.664677e-05,0.0005824786
A_d_LST_modis_kobs14,5.5603763e-05,0.00048596508
K_slope_cos,1.3359322e-05,0.000116757634
