feature,mean_abs_shap,normalized_mean_abs_shap
D_sin_DOY,0.038172293,0.22165999
V_rollmin_LST_modis_kobs30,0.028950302,0.16810946
elev,0.012983743,0.07539438
SMAP_sm_pm_interp_ema02,0.009719331,0.056438494
J_clay_wfrac_b0,0.008025393,0.046602085
J_sand_wfrac_b0,0.007563771,0.043921527
year_frac,0.007320435,0.042508516
G_rain_sum_7d,0.0059144474,0.034344185
V_rollmin_G_API_kobs30,0.0050852853,0.029529383
slope,0.0038535474,0.022376891
V_ema_G_API_kobs14,0.003653432,0.021214856
C_lag_LST_modis_kobs6,0.0035390963,0.020550929
C_lag_LST_modis_kobs30,0.0031686467,0.01839979
V_ema_LST_modis_kobs7,0.0031113164,0.018066883
G_rain_sum_3d,0.0026438413,0.015352335
V_rollmax_G_API_kobs30,0.0023879395,0.013866357
C_lag_G_API_kobs1,0.002360224,0.0137054175
V_rollmean_G_API_kobs14,0.00230537,0.01338689
V_ema_G_API_kobs7,0.0022528772,0.013082073
cos_year,0.0019168432,0.011130782
sin_year,0.0018541928,0.010766981
K_aspect_cos,0.0015534576,0.009020663
V_ema_G_API_kobs30,0.0014785194,0.00858551
G_API,0.0012382732,0.0071904412
API_x_year,0.0012022195,0.0069810837
SMAP_ampm_diff_interp,0.0011834981,0.0068723713
V_rollmean_G_API_kobs7,0.0011573947,0.0067207934
C_lag_s2_b11_kobs30,0.0009790289,0.0056850538
A_d_LST_modis_kobs14,0.00092960685,0.005398068
G_DSLR,0.0008873448,0.00515266
A_d_E_SAR_diff_kobs14,0.0008245898,0.004788252
V_rollmean_s2_b11_kobs7,0.00076564954,0.004445996
SMAP_x_year,0.00070332,0.0040840595
K_slope_sin,0.0006404231,0.0037188276
V_rollstd_SMAP_sm_interp_kobs30,0.0006189274,0.0035940057
A_d_SMAP_sm_interp_kobs14,0.0005682042,0.003299465
SMAP_sm_interp_grad7,0.0004761166,0.002764728
K_slope_cos,0.00022211848,0.0012898041
