feature,mean_abs_shap,normalized_mean_abs_shap
J_sand_wfrac_b0,0.057312947,0.35213965
D_sin_DOY,0.049638536,0.3049869
year_frac,0.010427453,0.06406789
elev,0.009994437,0.061407376
J_clay_wfrac_b0,0.0057829623,0.03553142
V_rollmin_LST_modis_kobs30,0.0050215703,0.030853309
sin_year,0.0042938227,0.026381915
G_rain_sum_7d,0.0035325128,0.021704309
V_rollmax_G_API_kobs30,0.0016648476,0.010229083
C_lag_G_API_kobs1,0.0016524063,0.010152642
G_rain_sum_3d,0.0015441867,0.009487724
API_x_year,0.0012052509,0.007405249
cos_year,0.0012012887,0.0073809046
SMAP_sm_pm_interp_ema02,0.0010729993,0.0065926746
V_rollmin_G_API_kobs30,0.0009264211,0.0056920755
C_lag_LST_modis_kobs6,0.0007891347,0.0048485664
V_ema_G_API_kobs7,0.0007875851,0.0048390455
C_lag_LST_modis_kobs30,0.00065040076,0.0039961636
G_DSLR,0.0005300338,0.0032566101
V_ema_G_API_kobs30,0.000519393,0.0031912315
slope,0.0004900438,0.0030109053
V_rollmean_G_API_kobs14,0.00047586617,0.0029237957
A_d_SMAP_sm_interp_kobs14,0.00045665723,0.0028057732
V_ema_G_API_kobs14,0.0004534666,0.0027861693
G_API,0.000440718,0.00270784
A_d_E_SAR_diff_kobs14,0.00037681908,0.002315235
V_ema_LST_modis_kobs7,0.0003521623,0.0021637399
V_rollmean_G_API_kobs7,0.0002909486,0.0017876335
C_lag_s2_b11_kobs30,0.00016277735,0.0010001294
SMAP_x_year,0.000144114,0.0008854589
V_rollstd_SMAP_sm_interp_kobs30,0.00013790415,0.00084730453
SMAP_sm_interp_grad7,0.00013120924,0.00080616993
V_rollmean_s2_b11_kobs7,8.269654e-05,0.00050810043
K_aspect_cos,7.5535194e-05,0.00046409998
K_slope_sin,4.965505e-05,0.00030508835
SMAP_ampm_diff_interp,4.7468133e-05,0.0002916516
A_d_LST_modis_kobs14,2.5097388e-05,0.00015420225
K_slope_cos,1.4967899e-05,9.19651e-05
