feature,mean_abs_shap,normalized_mean_abs_shap
elev,0.055082217,0.3765452
D_sin_DOY,0.042733893,0.29213133
sin_year,0.00847692,0.057948716
year_frac,0.0068028555,0.04650471
V_rollmin_LST_modis_kobs30,0.0055977716,0.03826669
J_sand_wfrac_b0,0.004877887,0.033345517
J_clay_wfrac_b0,0.00444951,0.030417105
G_rain_sum_7d,0.0031853442,0.021775195
G_rain_sum_3d,0.0018183456,0.012430315
V_rollmax_G_API_kobs30,0.0016151156,0.011041023
API_x_year,0.0012432864,0.008499177
SMAP_sm_pm_interp_ema02,0.001131367,0.00773409
cos_year,0.0011250668,0.007691021
C_lag_G_API_kobs1,0.0008982496,0.006140486
G_DSLR,0.0008316957,0.0056855194
V_ema_G_API_kobs7,0.00079613674,0.0054424363
V_rollmin_G_API_kobs30,0.00054972264,0.0037579355
G_API,0.00052882306,0.0036150648
C_lag_LST_modis_kobs6,0.0005158649,0.0035264818
V_ema_G_API_kobs14,0.0005071108,0.0034666385
C_lag_LST_modis_kobs30,0.00047726123,0.003262585
V_ema_LST_modis_kobs7,0.00047447547,0.0032435416
V_ema_G_API_kobs30,0.000411451,0.0028127027
slope,0.00040925283,0.0027976758
A_d_SMAP_sm_interp_kobs14,0.00039878942,0.0027261474
A_d_E_SAR_diff_kobs14,0.0003008286,0.0020564815
V_rollmean_G_API_kobs14,0.00018914096,0.0012929784
V_rollmean_s2_b11_kobs7,0.00017775365,0.0012151342
SMAP_sm_interp_grad7,0.00015469233,0.0010574856
V_rollmean_G_API_kobs7,0.00015084741,0.0010312016
V_rollstd_SMAP_sm_interp_kobs30,9.577583e-05,0.0006547291
SMAP_x_year,7.990015e-05,0.000546202
SMAP_ampm_diff_interp,6.142121e-05,0.00041987892
K_slope_sin,5.294176e-05,0.0003619129
C_lag_s2_b11_kobs30,4.1134786e-05,0.00028119975
A_d_LST_modis_kobs14,2.3915367e-05,0.00016348682
K_slope_cos,9.684408e-06,6.620317e-05
K_aspect_cos,6.710642e-06,4.5874334e-05
