feature,mean_abs_shap,normalized_mean_abs_shap
D_sin_DOY,0.06446686,0.3841364
elev,0.028524568,0.16996835
year_frac,0.019186953,0.11432863
J_sand_wfrac_b0,0.01699148,0.101246536
J_clay_wfrac_b0,0.010730808,0.06394129
sin_year,0.005056513,0.030130068
G_rain_sum_7d,0.002627818,0.015658287
V_rollmin_LST_modis_kobs30,0.0026015292,0.015501642
G_rain_sum_3d,0.0018766903,0.011182569
API_x_year,0.0018422832,0.010977549
cos_year,0.0017770518,0.010588856
C_lag_G_API_kobs1,0.0012938114,0.0077093886
V_rollmax_G_API_kobs30,0.0011438429,0.006815777
SMAP_sm_pm_interp_ema02,0.0010825399,0.006450493
V_rollmin_G_API_kobs30,0.001065427,0.0063485224
G_API,0.001010941,0.0060238587
V_ema_G_API_kobs7,0.0008467837,0.0050457004
V_ema_G_API_kobs14,0.0006054831,0.0036078708
G_DSLR,0.000604973,0.0036048314
A_d_SMAP_sm_interp_kobs14,0.00053208065,0.0031704905
slope,0.0005125078,0.0030538624
C_lag_LST_modis_kobs30,0.00046984956,0.0027996763
V_rollmean_G_API_kobs14,0.00045176558,0.0026919197
A_d_E_SAR_diff_kobs14,0.0003353154,0.0019980322
C_lag_LST_modis_kobs6,0.00032271963,0.0019229782
V_rollmean_s2_b11_kobs7,0.00031123532,0.0018545471
V_rollmean_G_API_kobs7,0.0002896877,0.001726152
V_ema_LST_modis_kobs7,0.00024632193,0.0014677498
V_ema_G_API_kobs30,0.0001743398,0.0010388325
SMAP_x_year,0.0001553575,0.0009257233
SMAP_sm_interp_grad7,0.00014470423,0.00086224405
V_rollstd_SMAP_sm_interp_kobs30,0.0001207264,0.00071936817
C_lag_s2_b11_kobs30,0.00011669578,0.0006953511
K_aspect_cos,9.408683e-05,0.0005606319
SMAP_ampm_diff_interp,9.387361e-05,0.0005593614
K_slope_sin,5.440344e-05,0.00032417188
A_d_LST_modis_kobs14,5.0303228e-05,0.0002997401
K_slope_cos,1.0499681e-05,6.256408e-05
