feature,mean_abs_shap,normalized_mean_abs_shap
D_sin_DOY,0.0540294,0.4179092
elev,0.030066943,0.23256323
year_frac,0.00868604,0.06718519
sin_year,0.0059644734,0.046134293
J_sand_wfrac_b0,0.005706037,0.04413533
J_clay_wfrac_b0,0.0056055835,0.043358337
V_rollmin_LST_modis_kobs30,0.0029866374,0.023101186
cos_year,0.0019053314,0.014737449
G_rain_sum_7d,0.0015044442,0.011636647
C_lag_G_API_kobs1,0.0014203854,0.010986465
V_rollmin_G_API_kobs30,0.0012840105,0.009931626
API_x_year,0.0011707306,0.009055423
G_rain_sum_3d,0.001144375,0.008851566
SMAP_sm_pm_interp_ema02,0.0009097082,0.0070364545
V_ema_G_API_kobs7,0.00054459553,0.0042123636
C_lag_LST_modis_kobs30,0.0005110458,0.0039528618
C_lag_LST_modis_kobs6,0.0004971336,0.0038452528
slope,0.00048994133,0.0037896216
A_d_SMAP_sm_interp_kobs14,0.00048421515,0.0037453307
A_d_E_SAR_diff_kobs14,0.00045925807,0.0035522913
C_lag_s2_b11_kobs30,0.00045336853,0.0035067366
G_API,0.0004375455,0.003384348
V_ema_G_API_kobs14,0.00039581335,0.003061556
G_DSLR,0.0003947076,0.0030530032
V_ema_G_API_kobs30,0.00038531784,0.002980375
V_rollmax_G_API_kobs30,0.000365505,0.0028271256
V_rollmean_G_API_kobs14,0.00029086598,0.002249804
V_rollstd_SMAP_sm_interp_kobs30,0.00025777202,0.0019938273
V_rollmean_G_API_kobs7,0.00018467133,0.0014284047
V_ema_LST_modis_kobs7,0.00016550171,0.0012801306
SMAP_sm_interp_grad7,0.00014401323,0.0011139205
SMAP_x_year,0.000105131025,0.0008131725
K_aspect_cos,9.61915e-05,0.0007440266
V_rollmean_s2_b11_kobs7,8.2234605e-05,0.0006360722
SMAP_ampm_diff_interp,5.6010107e-05,0.00043322967
K_slope_sin,4.9229708e-05,0.0003807843
A_d_LST_modis_kobs14,3.5871853e-05,0.00027746335
K_slope_cos,1.4964899e-05,0.000115751216
