feature,mean_abs_shap,normalized_mean_abs_shap
D_sin_DOY,0.039298765,0.3163281
elev,0.02840723,0.22865872
year_frac,0.010553314,0.084946945
cos_year,0.0081101805,0.06528139
J_clay_wfrac_b0,0.0055594994,0.044750158
sin_year,0.0055192006,0.04442578
J_sand_wfrac_b0,0.0054450077,0.043828577
V_rollmin_LST_modis_kobs30,0.0037971076,0.030564113
G_rain_sum_7d,0.0024482124,0.01970643
V_rollmax_G_API_kobs30,0.0019364638,0.015587205
G_rain_sum_3d,0.0017738262,0.014278085
API_x_year,0.0016442237,0.013234873
SMAP_sm_pm_interp_ema02,0.0011610445,0.009345612
C_lag_G_API_kobs1,0.0011534727,0.009284664
G_DSLR,0.0006621815,0.005330107
C_lag_LST_modis_kobs6,0.0006542782,0.005266491
V_ema_G_API_kobs7,0.00061025174,0.004912108
V_rollmin_G_API_kobs30,0.00060286885,0.004852681
V_ema_G_API_kobs14,0.00055913307,0.0045006378
slope,0.00048837473,0.003931082
A_d_SMAP_sm_interp_kobs14,0.0004840038,0.0038958988
C_lag_LST_modis_kobs30,0.0004761788,0.0038329128
V_ema_G_API_kobs30,0.0003972846,0.0031978686
G_API,0.00038007795,0.003059367
A_d_E_SAR_diff_kobs14,0.00037595094,0.0030261474
V_ema_LST_modis_kobs7,0.00033673976,0.0027105242
V_rollstd_SMAP_sm_interp_kobs30,0.00025894318,0.002084315
V_rollmean_G_API_kobs14,0.00021121603,0.0017001443
V_rollmean_G_API_kobs7,0.00020325358,0.001636052
V_rollmean_s2_b11_kobs7,0.00013851078,0.0011149168
SMAP_sm_interp_grad7,0.00012637844,0.0010172598
K_aspect_cos,0.00010591223,0.0008525208
SMAP_x_year,0.00010271607,0.0008267939
C_lag_s2_b11_kobs30,7.794008e-05,0.0006273642
SMAP_ampm_diff_interp,6.364083e-05,0.000512265
K_slope_sin,5.2252843e-05,0.00042059956
A_d_LST_modis_kobs14,4.5929522e-05,0.00036970116
K_slope_cos,1.2622795e-05,0.00010160485
