feature,mean_abs_shap,normalized_mean_abs_shap
D_sin_DOY,0.053122126,0.41955212
J_clay_wfrac_b0,0.015680963,0.12384635
elev,0.012512349,0.098821014
sin_year,0.008478822,0.066964716
year_frac,0.007887377,0.062293556
J_sand_wfrac_b0,0.0045698276,0.036091946
V_rollmin_LST_modis_kobs30,0.0043200045,0.034118872
G_rain_sum_7d,0.0031066884,0.02453625
cos_year,0.0018323056,0.014471328
V_rollmax_G_API_kobs30,0.0016221607,0.012811629
G_rain_sum_3d,0.0015932112,0.012582989
API_x_year,0.0014789972,0.011680941
C_lag_G_API_kobs1,0.0011439655,0.009034902
V_rollmin_G_API_kobs30,0.0011165986,0.0088187605
SMAP_sm_pm_interp_ema02,0.0009414143,0.0074351765
C_lag_LST_modis_kobs6,0.0007117163,0.0056210496
V_ema_G_API_kobs7,0.0006916421,0.005462506
G_DSLR,0.0006483059,0.005120242
A_d_E_SAR_diff_kobs14,0.0005849489,0.004619856
C_lag_LST_modis_kobs30,0.0005732454,0.004527423
V_ema_G_API_kobs14,0.0005524026,0.004362809
slope,0.0005013168,0.0039593396
V_ema_LST_modis_kobs7,0.00046695504,0.0036879545
A_d_SMAP_sm_interp_kobs14,0.0004197779,0.0033153552
V_ema_G_API_kobs30,0.00038772597,0.0030622128
G_API,0.00033312856,0.002631009
V_rollmean_G_API_kobs7,0.00024420215,0.0019286791
V_rollstd_SMAP_sm_interp_kobs30,0.00018895004,0.0014923046
V_rollmean_G_API_kobs14,0.00018137408,0.0014324706
V_rollmean_s2_b11_kobs7,0.00015570584,0.0012297459
SMAP_x_year,0.00012866726,0.0010161985
SMAP_sm_interp_grad7,9.448815e-05,0.000746256
C_lag_s2_b11_kobs30,9.375966e-05,0.0007405025
SMAP_ampm_diff_interp,7.2908755e-05,0.0005758245
K_aspect_cos,6.0794606e-05,0.00048014845
A_d_LST_modis_kobs14,5.6606335e-05,0.00044707
K_slope_sin,4.7864458e-05,0.0003780277
K_slope_cos,1.2979313e-05,0.000102509046
