feature,R2,RMSE,ubRMSE,Bias,delta_R2,delta_RMSE,delta_ubRMSE,delta_Bias
C_lag_SMAP_sm_interp_kobs5,0.7138997083103344,0.029668157007777553,0.029660590063979204,-0.0006700278313014592,0.39017528007491875,-0.015945329428761052,-0.01227680807255934,-0.01861006078650376
V_rollmean_F_NDVI_kobs30,0.7169243827493887,0.029510913278599143,0.029446751638493845,-0.0019449474229036074,0.39319995451397305,-0.016102573157939462,-0.0124906464980447,-0.019884980378105908
D_sin_DOY,0.7172447313120283,0.029494210224305924,0.029390121366660207,-0.0024757226840935466,0.39352030307661257,-0.01611927621223268,-0.012547276769878338,-0.020415755639295846
F_MSI,0.7216107439341858,0.02926561490738573,0.029224042156360073,-0.001559351131300251,0.3978863156987701,-0.016347871529152874,-0.012713355980178472,-0.019499384086502553
V_rollmax_G_API_kobs14,0.7240852311962676,0.02913525960274177,0.029091092018778342,-0.0016036574678301742,0.40036080296085186,-0.016478226833796836,-0.012846306117760203,-0.019543690423032476
C_lag_F_NDVI_kobs30,0.7242436049352132,0.029126896653651986,0.02909132255721758,-0.001439117974471462,0.40051917669979753,-0.01648658978288662,-0.012846075579320965,-0.019379150929673763
V_rollrng_F_NDMI_kobs30,0.725898596702705,0.029039360480652716,0.029007934941527428,-0.001350617471161547,0.40217416846728926,-0.01657412595588589,-0.012929463195011117,-0.019290650426363846
aspect,0.7266563543288387,0.028999192816775744,0.02898371517306782,-0.0009473324606578988,0.402931926093423,-0.01661429361976286,-0.012953682963470724,-0.0188873654158602
SMAP_sm_am_interp_ema02,0.7268077004947654,0.028991163502020426,0.02893863547679327,-0.0017444018866543435,0.4030832722593497,-0.01662232293451818,-0.012998762659745276,-0.019684434841856644
API_x_year,0.7276642326283448,0.02894568023362903,0.028672247697740932,-0.003969208503832006,0.4039398043929291,-0.016667806202909575,-0.013265150438797613,-0.021909241459034307
J_bio_bio09,0.7279638917184841,0.0289297509570247,0.028844259156359166,-0.0022224320363650827,0.4042394634830684,-0.016683735479513906,-0.01309313898017938,-0.020162464991567382
V_rollcv_s2_b12_kobs30,0.7289271625923814,0.02887848588851554,0.028766683264880535,-0.002538677047446835,0.40520273435696574,-0.016735000548023064,-0.01317071487165801,-0.020478710002649135
V_rollmin_SMAP_sm_interp_kobs30,0.7297681476188738,0.02883365432140843,0.028796040159770935,-0.0014723086100864135,0.40604371938345807,-0.016779832115130174,-0.01314135797676761,-0.019412341565288715
V_rollstd_s2_b11_kobs30,0.730700213966982,0.02878388577547909,0.028685341352702013,-0.002379762974497971,0.40697578573156634,-0.016829600661059516,-0.013252056783836532,-0.020319795929700273
G_rain_sum_30d,0.7309730491147799,0.028769301200530156,0.028639760906749318,-0.002727047262344241,0.4072486208793642,-0.01684418523600845,-0.013297637229789227,-0.02066708021754654
V_rollmax_SMAP_sm_interp_kobs30,0.7314894158877019,0.02874167823117995,0.028702867022124177,-0.0014931484370080748,0.4077649876522862,-0.016871808205358656,-0.013234531114414368,-0.019433181392210376
D_cos_DOY,0.732622653050586,0.02868096260430649,0.028549010197888885,-0.0027480234042787655,0.40889822481517035,-0.016932523832232114,-0.01338838793864966,-0.020688056359481066
V_rollmin_G_API_kobs30,0.7329635547483554,0.028662672896057687,0.028629487565645626,-0.0013788615865787197,0.4092391265129397,-0.01695081354048092,-0.013307910570892919,-0.01931889454178102
V_rollrng_s2_b11_kobs30,0.7337456248942664,0.02862066990759313,0.028584264116923608,-0.001443118447446524,0.41002119665885073,-0.016992816528945475,-0.013353134019614937,-0.019383151402648825
V_rollmean_G_API_kobs30,0.7344322811583883,0.02858374046865336,0.028469936199570032,-0.0025481271498384197,0.4107078529229726,-0.017029745967885247,-0.013467461936968513,-0.02048816010504072
DOY,0.7353520352418415,0.02853419978178828,0.028448540867969958,-0.0022093165618465634,0.41162760700642576,-0.017079286654750326,-0.013488857268568587,-0.020149349517048866
