feature,R2,RMSE,ubRMSE,Bias,delta_R2,delta_RMSE,delta_ubRMSE,delta_Bias
V_rollmin_E_SAR_diff_kobs30,0.19938552708088964,0.029039969957786554,0.029039513461751827,0.0001628282956982375,-0.03635413943496779,0.000666980013325498,0.0006719147069522494,-0.00039025332140863383
SMAP_sm_am_interp_lag30,0.19946097309251665,0.029038601632828825,0.029037976787152607,0.00019049645381293345,-0.03627869342334078,0.000665611688367769,0.0006703780323530292,-0.00036258516329393785
A_d_G_API_kobs14,0.19967867924805804,0.02903465284833622,0.029034141481976555,0.00017232071252969657,-0.03606098726779938,0.0006616629038751626,0.0006665427271769775,-0.00038076090457717473
V_rollmax_E_SAR_ratio_kobs30,0.20050241302076144,0.029019706987967818,0.029019454878341868,0.00012096376064101818,-0.03523725349509599,0.0006467170435067622,0.0006518561235422903,-0.00043211785646585314
SMAP_sm_interp_lag30,0.20055325282193415,0.029018784296259616,0.029018718982217202,6.156836810242215e-05,-0.03518641369392328,0.0006457943517985607,0.0006511202274176245,-0.0004915132490044492
V_rollmax_s2_b11_kobs30,0.20074414683615682,0.02901531949828147,0.029014826928724202,0.00016906768920699718,-0.034995519679700604,0.0006423295538204137,0.0006472281739246244,-0.0003840139278998741
D_sin_DOY,0.20087460528683254,0.02901295139044168,0.029012348221785122,0.00018708030899464406,-0.034865061229024885,0.0006399614459806253,0.000644749466985544,-0.00036600130811222727
V_rollmin_F_NDVI_kobs7,0.20100186936180642,0.029010641081283112,0.02900982153695169,0.00021806040733091353,-0.03473779715405101,0.0006376511368220567,0.0006422227821521118,-0.0003350212097759578
latitude,0.20111345062508978,0.029008615321222633,0.029008536479094644,6.763280053292613e-05,-0.03462621589076764,0.0006356253767615776,0.000640937724295066,-0.0004854488165739452
G_rain_sum_7d,0.20116753336465087,0.029007633397104812,0.029007014170532187,0.0001895368338222841,-0.03457213315120655,0.0006346434526437565,0.0006394154157326089,-0.0003635447832845872
F_NDMI,0.20139924236280626,0.029003426121223298,0.029002907378269344,0.00017346577987481645,-0.03434042415305116,0.0006304361767622418,0.0006353086234697665,-0.0003796158372320549
SMAP_sm_am_interp_lag7,0.20160219738634566,0.028999740446615734,0.028998885205258416,0.00022271691297479128,-0.034137469129511766,0.0006267505021546778,0.0006312864504588386,-0.00033036470413208005
V_ema_SMAP_sm_interp_kobs14,0.20177684085502479,0.028996568536424062,0.02899619093261653,0.0001479806973383983,-0.03396282566083264,0.000623578591963006,0.0006285921778169529,-0.000405100919768473
C_lag_SMAP_sm_interp_kobs12,0.20190895758768912,0.02899416877491595,0.028993954003415662,0.0001115983697380091,-0.03383070892816831,0.0006211788304548958,0.0006263552486160846,-0.0004414832473688622
V_ema_SMAP_sm_interp_kobs7,0.20197901633327697,0.028992896150888126,0.028992448487057305,0.00016111468434629666,-0.033760650182580454,0.0006199062064270698,0.0006248497322577269,-0.00039196693276057466
