feature,R2,RMSE,ubRMSE,Bias,delta_R2,delta_RMSE,delta_ubRMSE,delta_Bias
V_rollrng_F_NDVI_kobs30,-0.4338171582724175,0.017302298581061127,0.014967353472006815,-0.008680314869415477,-0.08422672868689896,0.0005158853254698427,0.0001818809335747823,-0.0007321407518735747
V_ema_E_SAR_diff_kobs30,-0.4138759278324122,0.017181558922973135,0.014890362714075149,-0.008572226389152254,-0.06428549824689367,0.0003951456673818507,0.00010489017564311622,-0.0006240522716103522
API_x_year,-0.4106502397597558,0.017161948292526444,0.014862184838921759,-0.00858183727467933,-0.06105981017423723,0.00037553503693515955,7.671230048972646e-05,-0.0006336631571374277
D_sa_LST_modis,-0.4097527410971311,0.017156487946679264,0.014899168610867417,-0.008506459508484948,-0.060162311511612554,0.00037007469108798,0.00011369607243538402,-0.0005582853909430457
D_fft_ent_E_SAR_ratio_kobs30,-0.40208513800584056,0.017109767519316532,0.014837767800950067,-0.008519670841655117,-0.052494708420322,0.0003233542637252479,5.2295262518034166e-05,-0.000571496724113215
V_rollmean_s2_b12_kobs30,-0.39942582111861835,0.017093533879893662,0.014888382820447913,-0.00839791387755697,-0.04983539153309979,0.00030712062430237816,0.0001029102820158806,-0.0004497397600150676
V_rollrng_F_NDVI_kobs7,-0.3923751178508059,0.01705041847418045,0.014819276735977492,-0.008432425936063137,-0.04278468826528736,0.0002640052185891653,3.380419754545928e-05,-0.00048425181852123494
A_d_F_NDVI_kobs7,-0.3909280137890454,0.01704155586821462,0.014830860596094057,-0.008394057444925237,-0.041337584203526845,0.00025514261262333734,4.538805766202483e-05,-0.00044588332738333507
V_rollstd_F_NDVI_kobs30,-0.39063667409968295,0.01703977103767225,0.014825584898683557,-0.00839975174801137,-0.04104624451416439,0.00025335778208096515,4.0112360251524926e-05,-0.0004515776304694682
C_lag_SMAP_sm_interp_kobs12,-0.38970402941353055,0.0170340561310963,0.0148254018099956,-0.008388475990876925,-0.04011359982801199,0.000247642875505015,3.992927156356782e-05,-0.00044030187333502294
A_d_s2_b11_kobs1,-0.3896880866249224,0.01703395842283283,0.014820002632617159,-0.008397812900989043,-0.04009765703940382,0.0002475451672415453,3.453009418512634e-05,-0.00044963878344714096
V_rollmean_F_NDVI_kobs14,-0.3885259558060199,0.017026834583849168,0.01483103309679045,-0.00836382407919179,-0.03893552622050134,0.00024042132825788376,4.556055835841684e-05,-0.00041564996164988703
A_d_G_API_kobs14,-0.38690719651957406,0.017016906651174942,0.014816778842778017,-0.008368881448497624,-0.0373167669340555,0.00023049339558365786,3.130630434598422e-05,-0.00042070733095572223
V_rollmean_E_SAR_ratio_kobs14,-0.38661214257139287,0.01701509644621886,0.01484058414635029,-0.008322894284395674,-0.03702171298587431,0.00022868319062757658,5.511160791825745e-05,-0.0003747201668537724
SMAP_sm_am_interp_rollrange30,-0.3837479843060687,0.01699751434102649,0.01480529763461046,-0.008349769800659124,-0.034157554720550154,0.00021110108543520578,1.9825096178427426e-05,-0.0004015956831172219
V_ema_SMAP_sm_interp_kobs30,-0.3806279409415667,0.016978340723224006,0.014839182830590467,-0.008250012523275087,-0.031037511356048153,0.0001919274676327222,5.3710292158434814e-05,-0.00030183840573318535
V_rollstd_F_NDMI_kobs30,-0.3805053540704295,0.016977586947421283,0.014875734483941099,-0.008182357980468416,-0.030914924484910955,0.00019117369182999888,9.026194550906634e-05,-0.00023418386292651389
V_rollcv_F_NDVI_kobs30,-0.3798321994094913,0.016973447182489415,0.014847065672510578,-0.008225724902579461,-0.030241769823972753,0.0001870339268981308,6.159313407854555e-05,-0.00027755078503755894
V_rollstd_LST_modis_kobs30,-0.37932869035774575,0.016970350043544094,0.014821628693915944,-0.008265113638668532,-0.029738260772227187,0.00018393678795280977,3.61561554839112e-05,-0.00031693952112663015
A_d_F_NDMI_kobs14,-0.37913000920041906,0.016969127778599075,0.014814544506477526,-0.00827529870349218,-0.029539579614900502,0.00018271452300779034,2.907196804549303e-05,-0.0003271245859502777
V_rollcv_E_SAR_ratio_kobs30,-0.37853430120331044,0.016965462519745976,0.01480613850862412,-0.008282824456207158,-0.028943871617791883,0.00017904926415469175,2.06659701920877e-05,-0.00033465033866525613
F_NDMI,-0.3781274340991132,0.01696295870174198,0.01480403498663526,-0.008281456154051842,-0.028537004513594644,0.00017654544615069642,1.856244820322775e-05,-0.0003332820365099399
s1_vv,-0.37788141357141036,0.016961444537589236,0.014794541188826655,-0.008295309024613085,-0.028290983985891804,0.00017503128199795187,9.068650394622804e-06,-0.00034713490707118273
SMAP_sm_pm_interp_rollrange30,-0.3773559155222128,0.016958209841220363,0.014851655988857272,-0.00818591445151384,-0.027765485936694256,0.00017179658562907832,6.618345042523968e-05,-0.00023774033397193708
SMAP_sm_pm_interp_rollstd30,-0.37355944176965283,0.016934822340765095,0.0148564245755617,-0.0081286442008445,-0.023969012184134275,0.0001484090851738111,7.095203712966826e-05,-0.00018047008330259774
precip_mm,-0.3715872885513549,0.01692266048588169,0.014739345724139598,-0.008314332537534767,-0.021996858965836363,0.00013624723029040733,-4.612681429243433e-05,-0.00036615841999286525
SMAP_sm_pm_interp_lag30,-0.3706511663356722,0.016916884556594923,0.01486064800770662,-0.008083447525171737,-0.02106073675015363,0.00013047130100363874,7.517546927458818e-05,-0.0001352734076298344
V_rollstd_G_API_kobs7,-0.3691354913367324,0.016907528568765217,0.014803690367663398,-0.00816794183389928,-0.019545061751213844,0.00012111531317393273,1.8217829231365057e-05,-0.00021976771635737712
