feature,importance_mean,importance_std
V_rollmin_LST_modis_kobs30,0.034904744,0.012369326
V_ema_LST_modis_kobs30,0.011074244,0.0033230064
V_rollmin_G_API_kobs30,0.007551434,0.0047427337
API_x_year,0.0070739263,0.0060521904
V_rollmean_LST_modis_kobs30,0.0061786524,0.00183503
SMAP_sm_pm_interp_rollmean30,0.0049543325,0.0046029687
D_sin_DOY,0.0041602314,0.0029190015
C_lag_G_API_kobs1,0.003931084,0.0014080721
V_ema_G_API_kobs7,0.0037629853,0.0018517749
year,0.0037274628,0.0016301696
DOY,0.0032974295,0.0024488668
G_rain_sum_30d,0.0021689073,0.0013710959
G_API,0.0021188676,0.00090748974
aspect,0.0021059134,0.0013535869
V_ema_G_API_kobs14,0.002077893,0.0011462758
V_rollmin_E_SAR_diff_kobs30,0.0020706335,0.0015762133
longitude,0.0018947126,0.0018939705
V_rollmin_G_API_kobs14,0.0018332544,0.0010301099
G_rain_sum_3d,0.0017863483,0.0010002659
G_rain_sum_7d,0.001490842,0.00095037476
SMAP_x_year,0.0014821301,0.0013383466
V_rollmin_G_API_kobs7,0.0014476002,0.001147732
V_rollmean_G_API_kobs7,0.0014340146,0.0008047751
sin_year,0.0013296388,0.0008651493
SMAP_sm_pm_interp_lag30,0.0012671588,0.0009814613
V_ema_SMAP_sm_interp_kobs30,0.0012339291,0.0012725863
A_d_LST_modis_kobs30,0.001184384,0.0033837634
V_rollmin_SMAP_sm_interp_kobs30,0.0011812742,0.0009493429
V_rollmean_G_API_kobs30,0.0011740794,0.0011391497
SMAP_sm_pm_interp_rollmean7,0.0011469043,0.0008586876
D_cos_DOY,0.0011374202,0.0009817919
V_rollmin_F_NDVI_kobs30,0.0010407007,0.00093093695
V_rollmax_LST_modis_kobs30,0.0010039245,0.0004695059
V_rollcv_F_NDMI_kobs30,0.0009311395,0.0009947245
SMAP_sm_pm_interp_ema02,0.000910544,0.00056026736
SMAP_sm_am_interp_lag30,0.00088698836,0.0007336081
V_rollmax_G_API_kobs14,0.0008483353,0.0006436759
V_rollmax_G_API_kobs7,0.0007837453,0.00066311867
C_lag_LST_modis_kobs5,0.00077350397,0.00038406433
C_lag_LST_modis_kobs30,0.00070997764,0.00041494967
V_rollmin_SMAP_sm_interp_kobs14,0.0006941984,0.0003134045
A_d_F_NDMI_kobs30,0.0006660601,0.00095322565
V_rollmax_SMAP_sm_interp_kobs30,0.0006565136,0.00049723627
V_rollrng_s2_b11_kobs30,0.00062251755,0.002308877
C_lag_SMAP_sm_interp_kobs12,0.0006183813,0.00070871564
V_ema_G_API_kobs30,0.0006031592,0.00055676425
V_ema_LST_modis_kobs14,0.0005875073,0.00048571939
V_rollmax_G_API_kobs30,0.0005746155,0.00034302982
SMAP_ampm_diff_interp,0.00053926156,0.00056042126
V_rollmax_E_SAR_diff_kobs30,0.00052889937,0.00072730053
C_lag_E_SAR_ratio_kobs30,0.00052511645,0.00022482494
precip_mm,0.00051728386,0.00027595405
cos_year,0.00051180104,0.00052996346
latitude,0.00050139986,0.00057977514
V_ema_E_SAR_diff_kobs30,0.0004998871,0.0003152168
SMAP_sm_pm_interp_rollrange30,0.00048633615,0.0006072229
V_rollmin_LST_modis_kobs7,0.00046801488,0.0003867836
V_rollrng_s2_b12_kobs30,0.0004679145,0.00218107
