regime,feature,importance_mean,importance_std
dry,V_rollmin_LST_modis_kobs30,0.034904744,0.012369326
dry,V_ema_LST_modis_kobs30,0.011074244,0.0033230064
dry,V_rollmin_G_API_kobs30,0.007551434,0.0047427337
dry,API_x_year,0.0070739263,0.0060521904
dry,V_rollmean_LST_modis_kobs30,0.0061786524,0.00183503
dry,SMAP_sm_pm_interp_rollmean30,0.0049543325,0.0046029687
dry,D_sin_DOY,0.0041602314,0.0029190015
dry,C_lag_G_API_kobs1,0.003931084,0.0014080721
dry,V_ema_G_API_kobs7,0.0037629853,0.0018517749
dry,year,0.0037274628,0.0016301696
dry,DOY,0.0032974295,0.0024488668
dry,G_rain_sum_30d,0.0021689073,0.0013710959
dry,G_API,0.0021188676,0.00090748974
dry,aspect,0.0021059134,0.0013535869
dry,V_ema_G_API_kobs14,0.002077893,0.0011462758
dry,V_rollmin_E_SAR_diff_kobs30,0.0020706335,0.0015762133
dry,longitude,0.0018947126,0.0018939705
dry,V_rollmin_G_API_kobs14,0.0018332544,0.0010301099
dry,G_rain_sum_3d,0.0017863483,0.0010002659
dry,G_rain_sum_7d,0.001490842,0.00095037476
dry,SMAP_x_year,0.0014821301,0.0013383466
dry,V_rollmin_G_API_kobs7,0.0014476002,0.001147732
dry,V_rollmean_G_API_kobs7,0.0014340146,0.0008047751
dry,sin_year,0.0013296388,0.0008651493
dry,SMAP_sm_pm_interp_lag30,0.0012671588,0.0009814613
dry,V_ema_SMAP_sm_interp_kobs30,0.0012339291,0.0012725863
dry,A_d_LST_modis_kobs30,0.001184384,0.0033837634
dry,V_rollmin_SMAP_sm_interp_kobs30,0.0011812742,0.0009493429
dry,V_rollmean_G_API_kobs30,0.0011740794,0.0011391497
dry,SMAP_sm_pm_interp_rollmean7,0.0011469043,0.0008586876
transition,base_pred,0.027011434,0.016800942
transition,SMAP_sm_pm_interp_rollmean30,0.00065917685,0.00033833212
transition,API_x_year,0.00045723908,0.00035646377
transition,SMAP_x_year,0.00042258378,0.00040243895
transition,SMAP_sm_pm_interp,0.00033614572,0.00022408254
transition,C_lag_LST_modis_kobs30,0.00031904172,0.00026989554
transition,SMAP_sm_pm_interp_lag7,0.00025402886,0.00018218355
transition,V_rollmin_SMAP_sm_interp_kobs30,0.00023568586,0.00012776884
transition,C_lag_SMAP_sm_interp_kobs5,0.00016183939,0.00010672587
transition,A_d_G_API_kobs2,0.00015873498,0.00013770844
transition,G_rain_sum_3d,0.00015563116,0.00012622423
transition,V_rollmean_F_NDVI_kobs30,0.00012261198,0.00016881223
transition,V_rollmax_LST_modis_kobs30,0.00012209061,0.00014085388
transition,precip_mm,0.000118798285,0.00011651395
transition,DOY,0.00011613045,0.00013733067
transition,V_rollmax_G_API_kobs30,0.000110652116,0.00011466518
transition,C_lag_SMAP_sm_interp_kobs12,0.00010087152,0.00037707685
transition,V_rollmax_E_SAR_ratio_kobs30,9.5731724e-05,0.00010205012
transition,slope,9.431901e-05,7.6654615e-05
transition,A_grad_s2_b12_kobs14,9.356783e-05,7.9050384e-05
transition,year_frac,8.064495e-05,7.182561e-05
transition,latitude,7.8701785e-05,9.892425e-05
transition,V_ema_F_NDVI_kobs7,7.788302e-05,6.826667e-05
transition,G_rain_sum_7d,7.716019e-05,7.626449e-05
transition,V_rollmax_F_NDVI_kobs30,7.626846e-05,8.631529e-05
transition,V_ema_G_API_kobs14,7.4161595e-05,8.139343e-05
transition,V_ema_SMAP_sm_interp_kobs30,6.763456e-05,5.183339e-05
transition,SMAP_sm_am_interp_ema02,6.6556495e-05,7.1364724e-05
transition,V_rollmax_s2_b11_kobs30,6.365783e-05,6.088159e-05
transition,D_sin_DOY,6.1091014e-05,6.6196466e-05
wet,base_pred,0.016128443,0.0042694146
wet,SMAP_sm_pm_interp_rollmean30,0.00041575934,0.0003936796
wet,V_rollrng_F_NDVI_kobs30,0.00029436365,0.0005972941
wet,V_rollstd_SMAP_sm_interp_kobs14,0.00022870257,0.00026703934
wet,G_rain_sum_3d,0.00022165154,0.00013431105
wet,cos_year,0.00020796168,0.00022830266
wet,C_lag_s2_b11_kobs2,0.00013249747,8.464714e-05
wet,s1_vv,0.00010944515,0.00013149761
wet,I_ts_spike_s1_vv,9.976047e-05,0.00030439053
wet,API_x_year,9.759055e-05,0.0001493688
wet,V_rollmin_E_SAR_diff_kobs30,9.30564e-05,6.719748e-05
wet,A_d_LST_modis_kobs30,8.956478e-05,0.00020275704
wet,C_lag_SMAP_sm_interp_kobs12,8.811274e-05,5.8707927e-05
wet,s2_b8,7.2355935e-05,0.00015057369
wet,precip_mm,6.5196284e-05,0.000105723426
wet,V_rollmax_SMAP_sm_interp_kobs30,6.419268e-05,8.848187e-05
wet,A_d_G_API_kobs2,6.2820014e-05,5.352906e-05
wet,SMAP_ampm_diff_interp,6.243999e-05,4.4785636e-05
wet,V_rollrng_E_SAR_diff_kobs14,5.9452985e-05,9.217006e-05
wet,SMAP_sm_pm_interp_lag30,5.9337723e-05,9.1128895e-05
wet,V_rollstd_F_NDMI_kobs7,5.7622532e-05,8.578881e-05
wet,SMAP_sm_pm_interp_rollstd30,5.211543e-05,6.358222e-05
wet,V_rollrng_G_API_kobs7,5.2091298e-05,0.000118612785
wet,V_rollmin_LST_modis_kobs30,4.780061e-05,6.936739e-05
wet,A_pct_G_API,4.670019e-05,4.960235e-05
wet,V_ema_E_SAR_ratio_kobs30,4.59816e-05,4.700493e-05
wet,V_rollcv_E_SAR_diff_kobs30,4.5750254e-05,2.064793e-05
wet,SMAP_sm_am_interp_rollrange30,4.3149787e-05,7.132433e-05
wet,V_rollcv_F_NDVI_kobs14,4.1585627e-05,4.229892e-05
wet,V_rollmean_E_SAR_ratio_kobs14,4.0339917e-05,4.3273056e-05
