feature,importance_mean,importance_std
base_pred,0.027011434,0.016800942
SMAP_sm_pm_interp_rollmean30,0.00065917685,0.00033833212
API_x_year,0.00045723908,0.00035646377
SMAP_x_year,0.00042258378,0.00040243895
SMAP_sm_pm_interp,0.00033614572,0.00022408254
C_lag_LST_modis_kobs30,0.00031904172,0.00026989554
SMAP_sm_pm_interp_lag7,0.00025402886,0.00018218355
V_rollmin_SMAP_sm_interp_kobs30,0.00023568586,0.00012776884
C_lag_SMAP_sm_interp_kobs5,0.00016183939,0.00010672587
A_d_G_API_kobs2,0.00015873498,0.00013770844
G_rain_sum_3d,0.00015563116,0.00012622423
V_rollmean_F_NDVI_kobs30,0.00012261198,0.00016881223
V_rollmax_LST_modis_kobs30,0.00012209061,0.00014085388
precip_mm,0.000118798285,0.00011651395
DOY,0.00011613045,0.00013733067
V_rollmax_G_API_kobs30,0.000110652116,0.00011466518
C_lag_SMAP_sm_interp_kobs12,0.00010087152,0.00037707685
V_rollmax_E_SAR_ratio_kobs30,9.5731724e-05,0.00010205012
slope,9.431901e-05,7.6654615e-05
A_grad_s2_b12_kobs14,9.356783e-05,7.9050384e-05
year_frac,8.064495e-05,7.182561e-05
latitude,7.8701785e-05,9.892425e-05
V_ema_F_NDVI_kobs7,7.788302e-05,6.826667e-05
G_rain_sum_7d,7.716019e-05,7.626449e-05
V_rollmax_F_NDVI_kobs30,7.626846e-05,8.631529e-05
V_ema_G_API_kobs14,7.4161595e-05,8.139343e-05
V_ema_SMAP_sm_interp_kobs30,6.763456e-05,5.183339e-05
SMAP_sm_am_interp_ema02,6.6556495e-05,7.1364724e-05
V_rollmax_s2_b11_kobs30,6.365783e-05,6.088159e-05
D_sin_DOY,6.1091014e-05,6.6196466e-05
SMAP_sm_pm_interp_lag1,5.8160273e-05,2.9768982e-05
G_DSLR,5.718063e-05,7.631552e-05
V_rollmin_F_NDMI_kobs30,5.6800476e-05,7.51049e-05
G_API,5.5757806e-05,5.3020896e-05
A_d_F_NDVI_kobs30,5.2486423e-05,0.000103524675
s2_b4,5.1688025e-05,7.4365074e-05
SMAP_sm_am_interp_lag30,5.106951e-05,8.3941755e-05
V_rollmean_LST_modis_kobs30,5.1027066e-05,9.529178e-05
year,4.9415874e-05,4.7732785e-05
V_rollmin_LST_modis_kobs30,4.850893e-05,3.9680323e-05
C_lag_LST_modis_kobs12,4.70102e-05,5.622851e-05
V_rollstd_F_NDVI_kobs30,4.6059195e-05,9.43496e-05
V_rollmax_F_NDVI_kobs14,4.5968867e-05,5.9730628e-05
V_rollmin_E_SAR_diff_kobs30,4.425645e-05,7.2426184e-05
SMAP_sm_pm_interp_lag30,4.0100043e-05,0.00011289724
V_rollmin_F_NDMI_kobs7,3.9646602e-05,5.105178e-05
V_rollmean_LST_modis_kobs14,3.957883e-05,3.5592864e-05
A_d_F_NDMI_kobs14,3.9325714e-05,6.296675e-05
A_d_G_API_kobs7,3.8277005e-05,6.684287e-05
F_NDMI,3.7954225e-05,5.28836e-05
s1_vv,3.5692305e-05,4.4533994e-05
V_rollmin_G_API_kobs14,3.4140896e-05,6.8421316e-05
A_pct_G_API,3.3898883e-05,4.107241e-05
V_rollcv_F_NDMI_kobs14,3.37295e-05,2.5279138e-05
V_rollmax_E_SAR_ratio_kobs14,3.2939675e-05,3.5113062e-05
V_rollrng_SMAP_sm_interp_kobs14,3.221961e-05,6.298886e-05
V_rollmin_s2_b12_kobs30,3.2139535e-05,4.162456e-05
C_lag_G_API_kobs30,3.211281e-05,5.4521126e-05
SMAP_sm_am_interp_rollmean30,3.149805e-05,1.828703e-05
C_lag_F_NDVI_kobs6,3.138808e-05,3.4990968e-05
C_lag_G_API_kobs12,3.116001e-05,2.8989072e-05
SMAP_sm_interp_lag30,3.0103072e-05,0.00010177954
V_rollstd_s2_b12_kobs30,2.9769679e-05,5.2709496e-05
V_ema_LST_modis_kobs30,2.9496272e-05,4.3091022e-05
V_rollmax_SMAP_sm_interp_kobs30,2.9326191e-05,5.6346653e-05
V_rollmean_s2_b12_kobs30,2.8836324e-05,6.0618557e-05
V_ema_LST_modis_kobs14,2.8725482e-05,5.4942735e-05
V_rollmin_G_API_kobs30,2.8678354e-05,3.265909e-05
A_d_G_API_kobs14,2.8160679e-05,4.2456704e-05
G_rain_sum_30d,2.7597027e-05,2.773576e-05
V_rollmean_F_NDMI_kobs30,2.7095828e-05,5.5851768e-05
V_rollrng_F_NDVI_kobs30,2.689643e-05,5.2599687e-05
C_lag_E_SAR_ratio_kobs30,2.6879134e-05,3.118713e-05
V_rollmean_s2_b11_kobs30,2.681025e-05,2.7318867e-05
V_rollrng_F_NDMI_kobs30,2.6641103e-05,5.5122808e-05
V_rollstd_SMAP_sm_interp_kobs14,2.6269032e-05,5.2508687e-05
V_rollmax_F_NDMI_kobs30,2.6128257e-05,3.975245e-05
V_rollrng_s2_b11_kobs30,2.5724825e-05,2.3585253e-05
V_rollmax_E_SAR_ratio_kobs7,2.5648122e-05,8.6954584e-05
V_ema_G_API_kobs30,2.5438383e-05,4.87217e-05
C_lag_F_NDVI_kobs30,2.474588e-05,4.6437006e-05
V_ema_SMAP_sm_interp_kobs14,2.4656103e-05,6.7975714e-05
