feature,importance_mean,importance_std
base_pred,0.027011434,0.016800942
SMAP_sm_pm_interp_rollmean30,0.00065917685,0.00033833212
API_x_year,0.00045723908,0.00035646377
SMAP_x_year,0.00042258378,0.00040243895
SMAP_sm_pm_interp,0.00033614572,0.00022408254
C_lag_LST_modis_kobs30,0.00031904172,0.00026989554
SMAP_sm_pm_interp_lag7,0.00025402886,0.00018218355
V_rollmin_SMAP_sm_interp_kobs30,0.00023568586,0.00012776884
C_lag_SMAP_sm_interp_kobs5,0.00016183939,0.00010672587
A_d_G_API_kobs2,0.00015873498,0.00013770844
G_rain_sum_3d,0.00015563116,0.00012622423
V_rollmean_F_NDVI_kobs30,0.00012261198,0.00016881223
V_rollmax_LST_modis_kobs30,0.00012209061,0.00014085388
precip_mm,0.000118798285,0.00011651395
DOY,0.00011613045,0.00013733067
V_rollmax_G_API_kobs30,0.000110652116,0.00011466518
C_lag_SMAP_sm_interp_kobs12,0.00010087152,0.00037707685
V_rollmax_E_SAR_ratio_kobs30,9.5731724e-05,0.00010205012
slope,9.431901e-05,7.6654615e-05
A_grad_s2_b12_kobs14,9.356783e-05,7.9050384e-05
year_frac,8.064495e-05,7.182561e-05
latitude,7.8701785e-05,9.892425e-05
V_ema_F_NDVI_kobs7,7.788302e-05,6.826667e-05
G_rain_sum_7d,7.716019e-05,7.626449e-05
V_rollmax_F_NDVI_kobs30,7.626846e-05,8.631529e-05
V_ema_G_API_kobs14,7.4161595e-05,8.139343e-05
V_ema_SMAP_sm_interp_kobs30,6.763456e-05,5.183339e-05
SMAP_sm_am_interp_ema02,6.6556495e-05,7.1364724e-05
V_rollmax_s2_b11_kobs30,6.365783e-05,6.088159e-05
D_sin_DOY,6.1091014e-05,6.6196466e-05
