feature,importance_mean,importance_std
base_pred,0.016128443,0.0042694146
SMAP_sm_pm_interp_rollmean30,0.00041575934,0.0003936796
V_rollrng_F_NDVI_kobs30,0.00029436365,0.0005972941
V_rollstd_SMAP_sm_interp_kobs14,0.00022870257,0.00026703934
G_rain_sum_3d,0.00022165154,0.00013431105
cos_year,0.00020796168,0.00022830266
C_lag_s2_b11_kobs2,0.00013249747,8.464714e-05
s1_vv,0.00010944515,0.00013149761
I_ts_spike_s1_vv,9.976047e-05,0.00030439053
API_x_year,9.759055e-05,0.0001493688
V_rollmin_E_SAR_diff_kobs30,9.30564e-05,6.719748e-05
A_d_LST_modis_kobs30,8.956478e-05,0.00020275704
C_lag_SMAP_sm_interp_kobs12,8.811274e-05,5.8707927e-05
s2_b8,7.2355935e-05,0.00015057369
precip_mm,6.5196284e-05,0.000105723426
V_rollmax_SMAP_sm_interp_kobs30,6.419268e-05,8.848187e-05
A_d_G_API_kobs2,6.2820014e-05,5.352906e-05
SMAP_ampm_diff_interp,6.243999e-05,4.4785636e-05
V_rollrng_E_SAR_diff_kobs14,5.9452985e-05,9.217006e-05
SMAP_sm_pm_interp_lag30,5.9337723e-05,9.1128895e-05
V_rollstd_F_NDMI_kobs7,5.7622532e-05,8.578881e-05
SMAP_sm_pm_interp_rollstd30,5.211543e-05,6.358222e-05
V_rollrng_G_API_kobs7,5.2091298e-05,0.000118612785
V_rollmin_LST_modis_kobs30,4.780061e-05,6.936739e-05
A_pct_G_API,4.670019e-05,4.960235e-05
V_ema_E_SAR_ratio_kobs30,4.59816e-05,4.700493e-05
V_rollcv_E_SAR_diff_kobs30,4.5750254e-05,2.064793e-05
SMAP_sm_am_interp_rollrange30,4.3149787e-05,7.132433e-05
V_rollcv_F_NDVI_kobs14,4.1585627e-05,4.229892e-05
V_rollmean_E_SAR_ratio_kobs14,4.0339917e-05,4.3273056e-05
V_rollcv_G_API_kobs7,4.033552e-05,7.262674e-05
SMAP_sm_pm_interp_rollrange30,3.9588464e-05,4.79512e-05
V_rollmean_s2_b12_kobs30,3.8492944e-05,2.1643635e-05
A_d_E_SAR_diff_kobs7,3.797551e-05,4.6068137e-05
V_ema_s2_b12_kobs14,3.7055346e-05,2.1819085e-05
SMAP_sm_am_interp_lag30,3.6396435e-05,4.00682e-05
V_rollrng_F_NDMI_kobs14,3.608095e-05,3.6801826e-05
D_fft_ent_E_SAR_ratio_kobs30,3.5741967e-05,7.016894e-05
A_d_G_API_kobs1,3.5595072e-05,4.252604e-05
G_API,3.5029007e-05,4.2119744e-05
SMAP_sm_am_interp_rollmean30,3.417189e-05,5.7525176e-05
V_rollrng_E_SAR_ratio_kobs14,3.3900265e-05,0.0001306145
V_rollmax_SMAP_sm_interp_kobs14,3.2407675e-05,3.0468935e-05
V_rollrng_F_NDMI_kobs30,3.2076954e-05,4.8991416e-05
D_sa_LST_modis,3.0309177e-05,5.0820865e-05
SMAP_sm_pm_interp_grad7,3.0262112e-05,3.6914847e-05
V_rollmax_LST_modis_kobs7,3.022071e-05,3.545368e-05
V_rollrng_E_SAR_ratio_kobs30,3.0211986e-05,3.5338693e-05
V_rollcv_SMAP_sm_interp_kobs30,3.0145615e-05,5.6689423e-05
D_cos_DOY,3.0068177e-05,2.9037248e-05
V_rollrng_G_API_kobs14,2.9778688e-05,3.6317644e-05
H_corr_E_SAR_ratio__F_NDMI_kobs14,2.8896602e-05,5.1622756e-05
A_d_F_NDVI_kobs7,2.8571321e-05,7.355343e-05
V_rollmin_E_SAR_diff_kobs14,2.7895965e-05,5.0531744e-05
V_rollstd_LST_modis_kobs30,2.7803559e-05,1.795861e-05
V_rollstd_E_SAR_ratio_kobs7,2.7518397e-05,2.909782e-05
V_rollcv_F_NDVI_kobs30,2.7015627e-05,2.2552513e-05
C_lag_E_SAR_ratio_kobs5,2.6540061e-05,5.573998e-05
V_ema_E_SAR_ratio_kobs7,2.5941652e-05,2.5409741e-05
V_rollmean_G_API_kobs30,2.5868268e-05,1.8342942e-05
V_rollstd_G_API_kobs7,2.5258008e-05,5.8009613e-05
D_z_E_SAR_ratio,2.4381074e-05,4.9085997e-05
SMAP_sm_am_interp,2.4121127e-05,4.0444236e-05
D_fft_ent_LST_modis_kobs30,2.3867318e-05,2.8581127e-05
V_rollstd_s2_b11_kobs7,2.3698209e-05,2.8656295e-05
V_rollstd_G_API_kobs14,2.3237939e-05,4.6057234e-05
SMAP_sm_am_interp_lag7,2.3015598e-05,3.4303e-05
F_NDMI,2.3014052e-05,4.151508e-05
V_rollstd_LST_modis_kobs7,2.2621205e-05,2.007456e-05
A_pct_F_NDMI,2.246747e-05,9.151694e-05
SMAP_sm_am_interp_grad7,2.239234e-05,9.854865e-05
A_d_LST_modis_kobs14,2.105036e-05,0.00010484309
A_d_G_API_kobs14,2.0995021e-05,4.683103e-05
V_rollstd_E_SAR_diff_kobs14,2.0891166e-05,6.7704364e-05
C_smm_G_API_alpha0.85_n5,2.0852864e-05,2.7406248e-05
V_rollcv_F_NDMI_kobs7,2.0497571e-05,2.6158632e-05
V_rollmean_E_SAR_ratio_kobs30,1.9915058e-05,2.1992179e-05
V_ema_s2_b11_kobs30,1.979494e-05,1.7365599e-05
F_NDVI,1.977287e-05,1.31029765e-05
V_ema_E_SAR_diff_kobs30,1.9311015e-05,3.3338474e-05
V_rollstd_E_SAR_ratio_kobs30,1.9059305e-05,3.6996404e-05
E_rough_s1_vv_kobs7,1.9059114e-05,2.4364146e-05
A_d_E_SAR_ratio_kobs30,1.9057186e-05,2.5505062e-05
V_rollcv_s2_b11_kobs30,1.8958424e-05,1.8676283e-05
C_lag_E_SAR_ratio_kobs30,1.895473e-05,1.550421e-05
SMAP_sm_interp_lag30,1.8952014e-05,1.8886018e-05
V_rollcv_SMAP_sm_interp_kobs14,1.889849e-05,1.36639455e-05
V_rollstd_F_NDVI_kobs30,1.8829258e-05,2.8347149e-05
C_lag_LST_modis_kobs12,1.8746847e-05,4.1157666e-05
