feature,importance_mean,importance_std
base_pred,0.016128443,0.0042694146
SMAP_sm_pm_interp_rollmean30,0.00041575934,0.0003936796
V_rollrng_F_NDVI_kobs30,0.00029436365,0.0005972941
V_rollstd_SMAP_sm_interp_kobs14,0.00022870257,0.00026703934
G_rain_sum_3d,0.00022165154,0.00013431105
cos_year,0.00020796168,0.00022830266
C_lag_s2_b11_kobs2,0.00013249747,8.464714e-05
s1_vv,0.00010944515,0.00013149761
I_ts_spike_s1_vv,9.976047e-05,0.00030439053
API_x_year,9.759055e-05,0.0001493688
V_rollmin_E_SAR_diff_kobs30,9.30564e-05,6.719748e-05
A_d_LST_modis_kobs30,8.956478e-05,0.00020275704
C_lag_SMAP_sm_interp_kobs12,8.811274e-05,5.8707927e-05
s2_b8,7.2355935e-05,0.00015057369
precip_mm,6.5196284e-05,0.000105723426
V_rollmax_SMAP_sm_interp_kobs30,6.419268e-05,8.848187e-05
A_d_G_API_kobs2,6.2820014e-05,5.352906e-05
SMAP_ampm_diff_interp,6.243999e-05,4.4785636e-05
V_rollrng_E_SAR_diff_kobs14,5.9452985e-05,9.217006e-05
SMAP_sm_pm_interp_lag30,5.9337723e-05,9.1128895e-05
V_rollstd_F_NDMI_kobs7,5.7622532e-05,8.578881e-05
SMAP_sm_pm_interp_rollstd30,5.211543e-05,6.358222e-05
V_rollrng_G_API_kobs7,5.2091298e-05,0.000118612785
V_rollmin_LST_modis_kobs30,4.780061e-05,6.936739e-05
A_pct_G_API,4.670019e-05,4.960235e-05
V_ema_E_SAR_ratio_kobs30,4.59816e-05,4.700493e-05
V_rollcv_E_SAR_diff_kobs30,4.5750254e-05,2.064793e-05
SMAP_sm_am_interp_rollrange30,4.3149787e-05,7.132433e-05
V_rollcv_F_NDVI_kobs14,4.1585627e-05,4.229892e-05
V_rollmean_E_SAR_ratio_kobs14,4.0339917e-05,4.3273056e-05
