feature,importance_mean,importance_std
V_rollmin_LST_modis_kobs30,0.025901114803354795,
J_bio_bio05,0.013228985621136,
lia_std_desc_deg,0.013106034267521853,
V_ema_LST_modis_kobs30,0.010184210618685994,
J_aspect_deg,0.009124137268881139,
SMAP_sm_pm_interp_rollmean30,0.008053842652992,
year,0.007127506770072835,
year_frac,0.0068094251604817755,
V_ema_SMAP_sm_interp_kobs30,0.006231189278810045,
V_rollmin_G_API_kobs30,0.006074766189153141,
aspect,0.006006842499978453,
elev,0.0055079026883611566,
J_slope_deg,0.005347579685107172,
cos_year,0.0050456411566707346,
API_x_year,0.0046719190723364815,
V_rollmin_E_SAR_diff_kobs30,0.004600516893063861,
V_rollmean_LST_modis_kobs30,0.004344032963547033,
sin_year,0.0040640890164754745,
V_rollmin_SMAP_sm_interp_kobs30,0.004055101752902503,
V_rollmax_E_SAR_diff_kobs30,0.0036532299758091982,
V_rollmin_SMAP_sm_interp_kobs14,0.0036485316858703644,
SMAP_x_year,0.0036135297867135783,
V_rollmax_E_SAR_ratio_kobs30,0.003606432642458881,
V_rollmax_F_NDMI_kobs30,0.003494043884680261,
V_rollmin_E_SAR_ratio_kobs30,0.003436039945881906,
J_bio_bio03,0.0033771815185521313,
V_rollmin_s2_b11_kobs30,0.0033387337255901643,
V_rollmax_G_API_kobs30,0.0032181665579601405,
V_rollmax_SMAP_sm_interp_kobs30,0.0031438204677907157,
V_rollmax_LST_modis_kobs30,0.00313251025269786,
