feature,Dry,Transition,Wet,mean
V_ema_G_API_kobs14,0.01041744,0.00014375655,1.7701052e-05,0.003526299
G_rain_sum_30d,0.008473795,0.00014152935,5.3614665e-05,0.0028896462
J_bio_bio05,2.2816782e-07,0.00736373,0.0,0.0024546527
API_x_year,0.0051949597,0.0019636345,0.00018789768,0.0024488305
C_lag_G_API_kobs1,0.004741475,0.0004004088,0.00041102053,0.0018509681
year,0.0024980102,0.002128614,0.0001517394,0.0015927879
V_ema_G_API_kobs7,0.004667617,4.376506e-05,1.6591872e-05,0.0015759914
G_rain_sum_3d,0.0006390989,0.0019060253,0.0018043456,0.0014498233
aspect,0.0038646755,0.00019134553,8.776554e-05,0.0013812622
A_d_G_API_kobs2,0.0002186698,0.001887608,0.0016391769,0.0012484848
V_ema_LST_modis_kobs30,0.002059882,0.0016170674,2.3203844e-05,0.0012333845
SMAP_x_year,0.0009518641,0.0021796708,0.0002706847,0.0011340732
V_rollmin_LST_modis_kobs30,0.0025604258,0.00015928628,8.693016e-05,0.00093554734
DOY,0.00135447,0.0010981468,0.00011330702,0.00085530797
J_bio_bio09,0.0,0.0025541147,0.0,0.00085137156
V_rollmax_LST_modis_kobs30,0.0002389294,0.002247081,1.1958137e-05,0.00083265617
D_sin_DOY,0.00080023514,0.0014210588,0.00021350036,0.0008115981
C_lag_LST_modis_kobs30,0.0012575284,0.00092791853,9.796515e-05,0.00076113734
slope,0.001314885,0.0007390053,0.00015760491,0.0007371651
V_rollmean_LST_modis_kobs30,0.0015651672,0.0005012785,4.287297e-05,0.0007031062
precip_mm,0.00015079677,0.001463775,0.00041164158,0.00067540444
SMAP_sm_pm_interp_lag30,0.0012038645,0.0007326606,6.7958244e-05,0.0006681611
A_d_G_API_kobs5,0.00011376532,0.00063302537,0.000775876,0.00050755555
C_lag_LST_modis_kobs5,0.001289724,0.0001837213,4.2778334e-05,0.00050540786
A_d_LST_modis_kobs30,0.00047444427,0.00014717321,0.0008795151,0.0005003775
V_rollrng_F_NDMI_kobs30,0.0012536583,4.6734487e-05,0.00014935982,0.00048325086
year_frac,0.0007565962,0.0005255304,5.0954368e-05,0.00044436034
V_rollmax_G_API_kobs7,0.0011797848,0.00010315914,2.9040963e-05,0.00043732827
C_lag_G_API_kobs2,0.001030138,0.00014336761,7.133345e-05,0.00041494635
lia_std_desc_deg,0.0009125576,0.00017706784,0.00013786033,0.0004091619
A_d_G_API_kobs1,0.000449382,0.00034296865,0.00034462629,0.0003789923
V_rollstd_SMAP_sm_interp_kobs14,6.586315e-05,7.6009586e-05,0.0009791685,0.00037368038
SMAP_sm_am_interp_rollrange30,0.00096013624,7.4759584e-05,6.680268e-05,0.00036723283
SMAP_sm_pm_interp_rollmean30,0.0003178482,0.00075788907,2.2372593e-05,0.00036603663
cos_year,3.5584453e-05,7.6354176e-05,0.000983604,0.0003651809
V_rollmin_G_API_kobs30,0.0006446182,0.00037051502,8.017092e-05,0.00036510138
V_rollmin_E_SAR_ratio_kobs30,0.00054325926,0.00017129528,0.00034488767,0.00035314742
elev,0.00025644188,0.0007327649,6.3189465e-05,0.00035079874
G_rain_sum_7d,0.00056146865,0.00036170593,0.00012833258,0.0003505024
V_rollcv_G_API_kobs30,0.00070887053,0.0002626803,7.012829e-05,0.00034722636
V_rollrng_E_SAR_ratio_kobs30,0.00077271333,9.354709e-05,0.00017304045,0.00034643363
V_rollrng_SMAP_sm_interp_kobs14,2.4745068e-05,7.291402e-05,0.0009152641,0.00033764108
V_ema_G_API_kobs30,0.00055441645,0.00033123395,7.5072676e-05,0.00032024103
