station,n,r2,mae,rmse,ubrmse,bias,dry_n,dry_r2,dry_mae,dry_rmse,dry_ubrmse,dry_bias,transition_n,transition_r2,transition_mae,transition_rmse,transition_ubrmse,transition_bias,wet_n,wet_r2,wet_mae,wet_rmse,wet_ubrmse,wet_bias
BeaverPass_WA_990,1379,-0.1986189068604851,0.1023897172203727,0.13252610274608576,0.13114367030433824,-0.019092031012260407,461,-9.535849732177056,0.16533677400357624,0.18980442605750275,0.10058569754525638,-0.160960360338663,434,-3.7007784354956312,0.05453967086608684,0.06845621272708856,0.06529058345891592,0.020576510212636543,484.0,-18.793322129479638,0.08534080594083392,0.10735279878078151,0.07106445547873935,0.08046407007837246
BurntMountain_WA,1753,-2.7078239094487073,0.09944484618310037,0.1152485073086758,0.07419817328915841,-0.0881864474702883,1710,-3.737413632006448,0.09928273835929206,0.11528549431756784,0.06841560258333579,-0.09279035792152665,40,-13.184349456700836,0.09945059756536556,0.10553988038439092,0.058812796469360794,0.08763401921060728,3.0,-499.03591759591234,0.19176962065696715,0.1923607493801622,0.015068858456448685,0.19176962065696715
CayusePass_WA,1899,-0.12828521985407515,0.12788728264436613,0.14363827220127884,0.14004966401765281,0.031906815095073884,974,-2.502968500686532,0.09707028190758271,0.10726026409649801,0.06145323934261845,-0.08791054332871202,479,-13.922530144589128,0.11525685807243521,0.1274359984029847,0.06278260989122891,0.11089759954215096,446.0,-110.80747673448082,0.20875215279589515,0.212794299420319,0.04136390220569588,0.20873533831170518
Darrington,3047,0.7214764425863442,0.044990019815512705,0.05515039317279647,0.054906357117148634,-0.0051824526276829435,1075,-1.1317916956978693,0.06261816125753314,0.06928128574877898,0.031773746117166476,-0.061565620379281594,1396,-0.08223772177145405,0.024381226696394233,0.030819164735415624,0.02897028375135101,0.010513970437227484,576.0,-7.080807595686105,0.06203797666293879,0.06949485896182006,0.03138430154209519,0.06200452434168094
HartsPass_WA_515,1103,-0.6685697158179906,0.16397619116468265,0.18432520645786873,0.1324126432924003,-0.12822898904715543,759,-10.375932049290295,0.20598956978930857,0.2151599272948512,0.06214572754052543,-0.20598956978930857,144,-0.8695126840281344,0.04257306325292934,0.05150390544521757,0.045483514774755755,-0.024164067535174763,200.0,-11.76514059395441,0.09194567138068972,0.09890185647375242,0.036435844004344624,0.09194567138068972
MFNooksack_WA_1011,142,-2.726706660648293,0.23615703380367026,0.2789985558750852,0.15930477040600952,0.22904624927352907,47,-0.6285210668835102,0.060443593554221034,0.076957801785456,0.06636735500725369,0.038959946675922105,6,-67.77155678625088,0.2605050098051627,0.2624199065540001,0.03164407088574766,0.2605050098051627,89.0,-461.79201263387336,0.3273080881375484,0.3412100851491068,0.09640403335547473,0.3273080881375484
MartenRidge_WA_999,1617,-0.2795054215979198,0.11242254237644943,0.14881995842005405,0.1313428288554384,0.06997457632881839,868,-1.787846482246711,0.061629361213753786,0.08059724478862608,0.07916125527132506,-0.015146337226729957,189,-18.63454890617939,0.14223488585525737,0.15779833609035124,0.08266054768005002,0.1344155821700655,560.0,-129.61974718438293,0.18109030725453,0.21325579465860414,0.11410202585386095,0.1801631528684975
Paradise_WA,1965,-0.4810620609195857,0.12628844434953562,0.15017990151741548,0.14267578437326223,-0.04687881582607428,1048,-8.083849168938515,0.15385656190243294,0.17245877872463625,0.08478927841614478,-0.15017592558350534,651,-5.513374895266296,0.06349501904112048,0.0779461254705071,0.07184017670636522,0.030242147520674792,266.0,-71.87539915833891,0.17135285292224953,0.18591121978388075,0.07211921683529532,0.17135285292224953
Quinault,3204,-1.3578021946791083,0.10071295802829121,0.11460584289780051,0.07277898274992337,-0.08853089232692558,1216,-8.340375813005016,0.1366319063078416,0.14545536798318912,0.049889740967559194,-0.1366319063078416,1802,-8.457419465846863,0.08059677057386634,0.09293526108367213,0.06267319655723216,-0.06862239565906197,186.0,-8.863894671532995,0.06077709074302386,0.06524954271723957,0.05625481864970536,0.03305901092739516
RainyPass_WA_711,1675,-4.00103929070168,0.1573477774045089,0.17041387737424699,0.07902593676751195,-0.1509827504046144,1462,-6.728398117435018,0.16690990730874475,0.17803803293724937,0.064659748907118,-0.16588145780476354,209,-10.635578917536902,0.09098571739648129,0.10319505431429564,0.08905586619018578,-0.05213704951420011,4.0,-305.3039354490343,0.12980693282573968,0.13783873646708625,0.04636461432188089,0.12980693282573968
