date,soil_moisture_5cm
2025-09-15,0.04
2025-09-16,0.038
2025-09-17,0.037
2025-09-18,0.036
2025-09-19,0.035
2025-09-20,0.035
2025-09-21,0.035
2025-09-22,0.035
2025-09-23,0.035
2025-09-24,0.034
2025-09-25,0.034
2025-09-26,0.034
2025-09-27,0.034
2025-09-29,0.063
2025-09-30,0.107
2025-10-01,0.116
2025-10-02,0.109
2025-10-03,0.097
2025-10-04,0.087
2025-10-05,0.079
2025-10-06,0.074
2025-10-07,0.071
2025-10-08,0.068
2025-10-09,0.064
2025-10-10,0.064
2025-10-11,0.068
2025-10-12,0.066
2025-10-13,0.087
2025-10-14,0.121
2025-10-15,0.104
2025-10-16,0.096
2025-10-17,0.087
2025-10-18,0.08
2025-10-19,0.076
2025-10-20,0.072
2025-10-21,0.069
2025-10-22,0.066
2025-10-23,0.064
2025-10-24,0.062
2025-10-25,0.094
2025-10-26,0.156
2025-10-27,0.142
2025-10-28,0.118
2025-10-29,0.106
2025-10-30,0.096
2025-10-31,0.089
2025-11-01,0.085
2025-11-02,0.081
2025-11-03,0.078
2025-11-04,0.159
2025-11-05,0.209
2025-11-06,0.19
2025-11-07,0.187
2025-11-08,0.161
2025-11-09,0.146
2025-11-10,0.135
2025-11-11,0.128
2025-11-12,0.125
2025-11-13,0.22
2025-11-14,0.189
