date,soil_moisture_5cm
2025-09-15,0.102
2025-09-16,0.106
2025-09-17,0.135
2025-09-18,0.118
2025-09-19,0.105
2025-09-20,0.094
2025-09-21,0.084
2025-09-22,0.076
2025-09-23,0.246
2025-09-24,0.19
2025-09-25,0.159
2025-09-26,0.141
2025-09-27,0.13
2025-09-28,0.158
2025-09-29,0.235
2025-09-30,0.205
2025-10-01,0.177
2025-10-02,0.158
2025-10-03,0.145
2025-10-04,0.137
2025-10-05,0.166
2025-10-06,0.23
2025-10-07,0.21
2025-10-08,0.188
2025-10-09,0.173
2025-10-10,0.166
2025-10-11,0.166
2025-10-12,0.161
2025-10-13,0.156
2025-10-14,0.167
2025-10-15,0.162
2025-10-16,0.154
2025-10-17,0.147
2025-10-18,0.141
2025-10-19,0.14
2025-10-20,0.152
2025-10-21,0.156
2025-10-22,0.148
2025-10-23,0.143
2025-10-24,0.143
2025-10-25,0.137
2025-10-26,0.131
2025-10-27,0.126
2025-10-28,0.125
2025-10-29,0.125
2025-10-30,0.128
2025-10-31,0.127
2025-11-01,0.129
2025-11-02,0.125
2025-11-03,0.123
2025-11-04,0.121
2025-11-05,0.118
2025-11-06,0.116
2025-11-07,0.117
2025-11-08,0.113
2025-11-11,0.112
2025-11-12,0.122
2025-11-13,0.121
2025-11-14,0.12
