date,soil_moisture_5cm
2025-09-15,0.009
2025-09-16,0.01
2025-09-17,0.008
2025-09-18,0.008
2025-09-19,0.008
2025-09-20,0.011
2025-09-21,0.009
2025-09-22,0.009
2025-09-23,0.01
2025-09-24,0.01
2025-09-25,0.009
2025-09-26,0.009
2025-09-27,0.009
2025-09-28,0.009
2025-09-29,0.01
2025-09-30,0.008
2025-10-01,0.01
2025-10-02,0.009
2025-10-03,0.01
2025-10-04,0.012
2025-10-05,0.009
2025-10-06,0.007
2025-10-07,0.015
2025-10-08,0.021
2025-10-09,0.025
2025-10-10,0.028
2025-10-11,0.034
2025-10-12,0.043
2025-10-13,0.046
2025-10-14,0.041
2025-10-15,0.027
2025-10-16,0.033
2025-10-17,0.034
2025-10-18,0.037
2025-10-19,0.042
2025-10-20,0.038
2025-10-21,0.042
2025-10-22,0.051
2025-10-23,0.053
2025-10-24,0.054
2025-10-25,0.058
2025-10-26,0.059
2025-10-27,0.064
2025-10-28,0.07
2025-10-29,0.082
2025-10-30,0.083
2025-10-31,0.074
2025-11-01,0.065
2025-11-02,0.069
2025-11-03,0.069
2025-11-04,0.059
2025-11-05,0.052
2025-11-06,0.06
2025-11-07,0.056
2025-11-08,0.066
2025-11-11,0.062
2025-11-12,0.059
2025-11-13,0.065
2025-11-14,0.063
