date,soil_moisture_5cm
2025-09-15,0.145
2025-09-16,0.143
2025-09-17,0.141
2025-09-18,0.14
2025-09-19,0.138
2025-09-20,0.136
2025-09-21,0.135
2025-09-22,0.132
2025-09-23,0.13
2025-09-24,0.129
2025-09-25,0.129
2025-09-26,0.126
2025-09-27,0.124
2025-09-28,0.122
2025-09-29,0.121
2025-09-30,0.118
2025-10-01,0.117
2025-10-02,0.117
2025-10-03,0.182
2025-10-04,0.177
2025-10-05,0.167
2025-10-06,0.159
2025-10-07,0.153
2025-10-08,0.148
2025-10-09,0.146
2025-10-10,0.146
2025-10-11,0.141
2025-10-12,0.137
2025-10-13,0.135
2025-10-14,0.134
2025-10-15,0.132
2025-10-16,0.131
2025-10-17,0.131
2025-10-18,0.131
2025-10-19,0.133
2025-10-20,0.135
2025-10-21,0.132
2025-10-22,0.131
2025-10-23,0.131
2025-10-24,0.129
2025-10-25,0.137
2025-10-26,0.147
2025-10-27,0.147
2025-10-28,0.141
2025-10-29,0.142
2025-10-30,0.139
2025-10-31,0.137
2025-11-01,0.137
2025-11-02,0.137
2025-11-03,0.133
2025-11-04,0.136
2025-11-05,0.136
2025-11-06,0.135
2025-11-07,0.133
2025-11-08,0.13
2025-11-09,0.129
2025-11-10,0.129
2025-11-11,0.129
2025-11-12,0.129
2025-11-13,0.129
2025-11-14,0.13
