date,soil_moisture_5cm
2025-09-15,0.153
2025-09-16,0.152
2025-09-17,0.152
2025-09-18,0.154
2025-09-19,0.154
2025-09-20,0.154
2025-09-21,0.15
2025-09-22,0.148
2025-09-23,0.145
2025-09-24,0.147
2025-09-25,0.149
2025-09-26,0.148
2025-09-27,0.146
2025-09-28,0.145
2025-09-29,0.144
2025-09-30,0.143
2025-10-01,0.14
2025-10-02,0.138
2025-10-03,0.137
2025-10-04,0.135
2025-10-05,0.131
2025-10-06,0.127
2025-10-07,0.128
2025-10-08,0.129
2025-10-09,0.131
2025-10-10,0.133
2025-10-11,0.168
2025-10-12,0.21
2025-10-13,0.22
2025-10-14,0.228
2025-10-15,0.25
2025-10-16,0.247
2025-10-17,0.242
2025-10-18,0.236
2025-10-19,0.233
2025-10-20,0.235
2025-10-21,0.226
2025-10-22,0.226
2025-10-23,0.221
2025-10-24,0.22
2025-10-25,0.226
2025-10-26,0.22
2025-11-02,0.214
2025-11-04,0.21
2025-11-05,0.208
2025-11-06,0.206
2025-11-11,0.198
2025-11-12,0.185
2025-11-14,0.196
