date,soil_moisture_5cm
2025-09-15,0.129
2025-09-16,0.207
2025-09-17,0.225
2025-09-18,0.213
2025-09-19,0.204
2025-09-20,0.197
2025-09-21,0.189
2025-09-22,0.18
2025-09-23,0.173
2025-09-24,0.167
2025-09-25,0.16
2025-09-26,0.153
2025-09-27,0.148
2025-09-28,0.143
2025-09-29,0.137
2025-09-30,0.13
2025-10-01,0.125
2025-10-02,0.129
2025-10-03,0.125
2025-10-04,0.118
2025-10-05,0.116
2025-10-06,0.118
2025-10-07,0.122
2025-10-08,0.124
2025-10-09,0.125
2025-10-10,0.127
2025-10-11,0.129
2025-10-12,0.126
2025-10-13,0.124
2025-10-14,0.138
2025-10-15,0.177
2025-10-16,0.182
2025-10-17,0.183
2025-10-18,0.185
2025-10-19,0.186
2025-10-20,0.183
2025-10-21,0.18
2025-10-22,0.177
2025-10-23,0.175
2025-10-24,0.173
2025-10-25,0.171
2025-10-26,0.168
2025-10-27,0.163
2025-10-28,0.161
2025-10-29,0.161
2025-10-30,0.159
2025-10-31,0.157
2025-11-01,0.159
2025-11-02,0.158
2025-11-03,0.154
2025-11-04,0.153
2025-11-05,0.151
2025-11-06,0.151
2025-11-07,0.149
2025-11-08,0.147
2025-11-09,0.157
2025-11-10,0.148
2025-11-11,0.147
2025-11-12,0.145
2025-11-13,0.145
2025-11-14,0.142
