date,soil_moisture_5cm
2025-09-15,0.103
2025-09-16,0.106
2025-09-17,0.102
2025-09-18,0.101
2025-09-19,0.102
2025-09-20,0.099
2025-09-21,0.098
2025-09-22,0.099
2025-09-23,0.095
2025-09-24,0.094
2025-09-25,0.095
2025-09-26,0.091
2025-09-27,0.09
2025-09-28,0.092
2025-09-29,0.089
2025-09-30,0.09
2025-10-01,0.091
2025-10-02,0.087
2025-10-03,0.087
2025-10-04,0.089
2025-10-05,0.085
2025-10-06,0.083
2025-10-07,0.084
2025-10-08,0.082
2025-10-09,0.083
2025-10-10,0.084
2025-10-11,0.083
2025-10-12,0.083
2025-10-13,0.085
2025-10-14,0.083
2025-10-15,0.084
2025-10-16,0.106
2025-10-17,0.222
2025-10-18,0.227
2025-10-19,0.222
2025-10-20,0.213
2025-10-21,0.206
2025-10-22,0.202
2025-10-23,0.196
2025-10-24,0.191
2025-10-25,0.191
2025-10-26,0.185
2025-10-27,0.177
2025-10-28,0.176
2025-10-30,0.167
2025-10-31,0.167
2025-11-01,0.168
2025-11-02,0.161
2025-11-03,0.16
2025-11-04,0.154
2025-11-06,0.152
2025-11-07,0.147
2025-11-08,0.144
2025-11-11,0.141
2025-11-14,0.136
