date,soil_moisture_5cm
2025-09-15,0.079
2025-09-16,0.078
2025-09-17,0.078
2025-09-18,0.08
2025-09-19,0.079
2025-09-20,0.079
2025-09-21,0.078
2025-09-22,0.078
2025-09-23,0.077
2025-09-24,0.078
2025-09-25,0.079
2025-09-26,0.078
2025-09-27,0.078
2025-09-28,0.078
2025-09-29,0.079
2025-10-01,0.078
2025-10-02,0.078
2025-10-03,0.076
2025-10-04,0.077
2025-10-05,0.076
2025-10-06,0.076
2025-10-07,0.076
2025-10-08,0.076
2025-10-09,0.077
2025-10-10,0.076
2025-10-11,0.075
2025-10-12,0.076
2025-10-13,0.076
2025-10-14,0.075
2025-10-15,0.075
2025-10-16,0.075
2025-10-17,0.074
2025-10-18,0.074
2025-10-19,0.074
2025-10-20,0.074
2025-10-21,0.074
2025-10-22,0.074
2025-10-23,0.074
2025-10-24,0.074
2025-10-25,0.074
2025-10-26,0.074
2025-10-27,0.073
2025-10-28,0.074
2025-10-29,0.073
2025-10-30,0.073
2025-10-31,0.073
2025-11-01,0.072
2025-11-02,0.073
2025-11-03,0.073
2025-11-04,0.072
2025-11-05,0.072
2025-11-06,0.072
2025-11-07,0.072
2025-11-08,0.072
2025-11-09,0.072
2025-11-10,0.072
2025-11-11,0.072
2025-11-12,0.072
2025-11-13,0.072
2025-11-14,0.072
