date,soil_moisture_5cm
2025-09-15,0.132
2025-09-16,0.125
2025-09-17,0.132
2025-09-18,0.132
2025-09-19,0.132
2025-09-20,0.13
2025-09-21,0.129
2025-09-22,0.143
2025-09-23,0.185
2025-09-24,0.171
2025-09-25,0.161
2025-09-26,0.153
2025-09-27,0.147
2025-09-28,0.141
2025-09-29,0.136
2025-09-30,0.13
2025-10-01,0.127
2025-10-02,0.121
2025-10-03,0.124
2025-10-04,0.115
2025-10-05,0.129
2025-10-06,0.18
2025-10-07,0.168
2025-10-08,0.159
2025-10-09,0.153
2025-10-10,0.146
2025-10-11,0.142
2025-10-12,0.134
2025-10-13,0.128
2025-10-14,0.127
2025-10-15,0.125
2025-10-16,0.186
2025-10-17,0.21
2025-10-18,0.205
2025-10-19,0.197
2025-10-20,0.188
2025-10-21,0.182
2025-10-22,0.178
2025-10-23,0.174
2025-10-24,0.171
2025-10-25,0.167
2025-10-26,0.168
2025-10-27,0.16
2025-10-28,0.158
2025-10-29,0.158
2025-10-30,0.153
2025-10-31,0.15
2025-11-01,0.153
2025-11-02,0.151
2025-11-03,0.151
2025-11-04,0.148
2025-11-05,0.147
2025-11-06,0.144
2025-11-07,0.14
2025-11-08,0.14
2025-11-09,0.149
2025-11-10,0.148
2025-11-11,0.138
2025-11-12,0.139
2025-11-13,0.138
2025-11-14,0.138
