date,soil_moisture_5cm
2025-09-15,0.052
2025-09-16,0.053
2025-09-17,0.05
2025-09-18,0.046
2025-09-19,0.041
2025-09-20,0.038
2025-09-21,0.043
2025-09-22,0.093
2025-09-23,0.096
2025-09-24,0.08
2025-09-25,0.07
2025-09-26,0.063
2025-09-27,0.056
2025-09-28,0.052
2025-09-29,0.049
2025-09-30,0.045
2025-10-01,0.046
2025-10-02,0.047
2025-10-03,0.051
2025-10-04,0.137
2025-10-05,0.139
2025-10-06,0.118
2025-10-07,0.104
2025-10-08,0.095
2025-10-09,0.088
2025-10-10,0.083
2025-10-11,0.113
2025-10-12,0.154
2025-10-13,0.129
2025-10-14,0.138
2025-10-15,0.164
2025-10-16,0.144
2025-10-17,0.131
2025-10-18,0.121
2025-10-19,0.127
2025-10-20,0.151
2025-10-21,0.131
2025-10-22,0.125
2025-10-23,0.123
2025-10-24,0.117
2025-10-25,0.114
2025-10-26,0.138
2025-10-27,0.146
2025-10-28,0.138
2025-10-29,0.134
2025-10-30,0.129
2025-10-31,0.126
2025-11-01,0.116
2025-11-02,0.113
2025-11-03,0.11
2025-11-04,0.109
2025-11-05,0.115
2025-11-06,0.122
2025-11-07,0.135
2025-11-08,0.14
2025-11-09,0.137
2025-11-10,0.131
2025-11-11,0.124
2025-11-12,0.118
2025-11-13,0.12
2025-11-14,0.117
