station,smap_passthrough_n,smap_passthrough_r2,smap_passthrough_mae,smap_passthrough_rmse,smap_passthrough_ubrmse,smap_passthrough_bias,ridge_smap_r2,ridge_smap_mae,ridge_smap_rmse,ridge_smap_ubrmse,ridge_smap_bias,ridge_base_r2,ridge_base_mae,ridge_base_rmse,ridge_base_ubrmse,ridge_base_bias
BeaverPass_WA_990,0,,,,,,-0.10962877357339718,0.11083590330230497,0.11872197864000973,0.11270476326405225,0.03731681323201195,-0.15325812571940722,0.11493538083781557,0.12103348342302936,0.11152177808781095,0.04703187346519137
BurntMountain_WA,0,,,,,,-3.658531092438955,0.13730409837653776,0.14336102724230232,0.06642118279199846,-0.12704570283358693,-3.835074118415233,0.13989269552497766,0.14605222346724733,0.06725773157942534,-0.12964431928363357
CayusePass_WA,0,,,,,,-0.018484261708015648,0.1249394475323834,0.1355251708051159,0.1342897304537549,0.018257607083451182,-0.22179192221621102,0.13203877618426793,0.14843674654546096,0.13407402144033204,0.06369948586777449
Darrington,999,-14.459447744038549,0.3175932047872439,0.3673573507382118,0.18477806931430593,-0.31750352477078914,-0.8847536511973573,0.11015574984500705,0.12826821269062874,0.12701889123623458,-0.017858769721511753,-42.58866208057634,0.6100292247560165,0.616848504339233,0.09146814882308643,-0.6100292247560165
HartsPass_WA_515,0,,,,,,-0.614790362713945,0.15228278273855045,0.15864258661235522,0.12484228467468629,-0.09788704839897468,-0.18960342222845372,0.12587101817354962,0.13616415971164977,0.1222303807329082,-0.060003436700475477
MFNooksack_WA_1011,0,,,,,,0.0,0.16240941861512215,0.16240941861512215,0.0,-0.16240941861512215,0.0,0.12348466382694305,0.12523793090702934,0.020882460042358938,-0.12348466382694305
MartenRidge_WA_999,0,,,,,,-0.030236326311313455,0.09088001796204945,0.10914861311293467,0.10753498830248262,-0.01869882443529579,0.2562221239882878,0.0763700976808271,0.0927409243436794,0.08955320472048615,-0.024106069202812025
Paradise_WA,0,,,,,,-0.003907813042638653,0.09944508699846229,0.1107870739995934,0.11057123879036224,-0.006912084906602037,-0.09483097950592168,0.10486454361168152,0.11569529935911325,0.1112403361623351,0.03179606743428372
Quinault,1044,-34.55773233613857,0.40821311648805736,0.41385490815707643,0.0681023974086808,-0.40821311648805736,0.0517892871511465,0.05613640229215333,0.06758238448147018,0.06754288451598138,0.0023102907743541208,-1.9455254529187695,0.11005765679599556,0.1191139075229585,0.04555694399279613,-0.11005765679599556
RainyPass_WA_711,0,,,,,,-0.5474147180765752,0.08187785532727808,0.0992763961625717,0.0798073043294308,-0.059047413243066754,-0.26924570220204336,0.0755109653433643,0.08991155164366568,0.07861774558103439,-0.043627252935834845
SCAN_ConradAgRc,0,,,,,,-1.0901750413940632,0.088928380469761,0.10842706630854387,0.07499742951871224,0.07830590190951867,-2.0944782977956122,0.10934121190659654,0.13192894792562668,0.07516037087468584,0.1084258546230667
SCAN_CookFarmFieldD,0,,,,,,-0.7764917374876117,0.11902232633163891,0.1454174971488955,0.1091025922811381,0.09613986079969528,-1.1317967257379982,0.1285807043976745,0.1592971350019665,0.10787178172544117,0.11721457216239592
SCAN_JordanValleyCwma,0,,,,,,-0.9736228148689079,0.12235706343959665,0.14595498172219562,0.10389313332944156,0.10251377242359845,-1.9381497542505435,0.14652889833303043,0.17808355151009148,0.10340020155996854,0.1449901708248021
SCAN_Lind_1,0,,,,,,-14.628392465267382,0.13321193670991835,0.13763676857622112,0.03481587491135429,-0.13316056067117316,-17.626081257122244,0.14617535400823273,0.15025815778818566,0.03486909041655,-0.14615628797770475
SCAN_OrchardRangeSite,0,,,,,,-11.462767062916555,0.12210205957029342,0.1273130514574256,0.03606331859362529,-0.12209852629502035,-11.486788391201916,0.12224066500605499,0.12743568699909155,0.03601491551854418,-0.12224066500605499
SCAN_TableMountain,0,,,,,,-0.6009879104456515,0.06769715983904231,0.07941915721916068,0.06276698210695748,-0.048659104909427174,-0.074318329654262,0.053682276474165166,0.06505755546764716,0.06414781832196234,-0.010841721632586803
SCAN_Violett,0,,,,,,-0.0008106757675494514,0.0673668501352463,0.08159293811266038,0.08155988549865269,-0.0023222031140905037,-0.0691342094922589,0.06603875085218246,0.0843320622050402,0.08196493034455533,0.019840537023149463
SourdoughGulch_WA_985,906,0.18050127398420257,0.0636124724461121,0.07257015162577497,0.04931618089109419,0.05323853124669054,-0.8340658986671494,0.09317619376487926,0.10856538006862591,0.08116958200040915,0.07209674546970934,-41.20004100918656,0.5154422292312901,0.5207632462906076,0.07425407067770819,0.5154422292312901
Spokane,897,0.764131046329956,0.051040372646361576,0.05578061135657502,0.055779158318911476,-0.00040261712218335813,-0.3959011380633708,0.11993523669409112,0.1356985509992865,0.1247675035625057,-0.053358849294995916,0.8031943084347772,0.04325610130426247,0.050952641831949495,0.05093427804030338,-0.001367856047981296
Touchet_WA_824,0,,,,,,-1.4232519204530973,0.0458728587850678,0.04663398154205014,0.02995733760073761,0.035739140425305495,-27.877392379805514,0.1539213925331089,0.1609838096530096,0.047159218516267074,0.1539213925331089
USCRN_Arco_17_SW,0,,,,,,-1.2018158700005692,0.09792607047035187,0.11314978705081319,0.07625410746164775,-0.08359536712564786,-0.2953345372011116,0.07738251144442554,0.0867869077766454,0.07568523067430132,-0.04247014503400894
USCRN_Coos_Bay_8_SW,0,,,,,,-2.5730070244593204,0.15536801332698402,0.17534986440861602,0.0927659292626617,0.14880207430057846,-2.2079634403406425,0.1465566715668945,0.1661510937326354,0.09275992207435797,0.13784695428376365
