n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,val_R2,val_RMSE,val_MAE,val_bias
100,15.0,10,2,0.5,0.7860016250148703,0.04969760407964623,0.03830343036064001,0.009988007092650448
100,20.0,5,2,0.5,0.7856730633142133,0.049735740973344024,0.03848750620624358,0.010081112845538025
100,25.0,5,2,0.5,0.78557407025642,0.04974722558832928,0.03841603239770412,0.010053961642134922
300,20.0,5,2,0.5,0.7844757127452956,0.04987447336669245,0.03848915843385117,0.009968353941678281
100,25.0,5,1,0.5,0.7844614770127901,0.04987612048485944,0.03864947200269207,0.010408838913524288
200,20.0,5,2,0.5,0.7844193737258911,0.04988099164672908,0.03848651590480698,0.00997987039383897
100,25.0,10,4,0.5,0.7843091076095492,0.04989374668921276,0.038383600680052005,0.009818273011891514
200,25.0,5,2,0.5,0.7842685411699958,0.04989843839519603,0.03847723423073344,0.010089805658798705
200,25.0,10,4,0.5,0.7842068911927186,0.04990556767032769,0.038347252847330454,0.009773698114945597
300,20.0,2,4,0.5,0.7839256911760242,0.04993807305886763,0.03839639491375325,0.00971461956914583
300,20.0,5,4,0.5,0.7839256911760242,0.04993807305886763,0.03839639491375325,0.009714619569145825
300,15.0,2,1,0.5,0.7835902487259983,0.04997682096310003,0.03857709071104408,0.010258409714013435
200,15.0,10,4,0.5,0.783443797032179,0.049993728593584544,0.03869248133140031,0.010256939148438607
100,20.0,10,4,0.5,0.7834246771572007,0.04999593553277534,0.03864516230856739,0.010147782374245566
300,25.0,5,1,0.5,0.7834225893250815,0.049996176517914125,0.03858072754594534,0.010283821018380627
500,20.0,5,2,0.5,0.783412149900292,0.049997381456678376,0.03863270058382739,0.010178636393001834
100,15.0,10,4,sqrt,0.7833623465036603,0.05000312946214408,0.03935265023329628,0.009899816426388297
100,,5,1,sqrt,0.7833399153674652,0.05000571811180084,0.039423156454143474,0.010263749568482184
200,20.0,2,4,0.5,0.7833220245170229,0.050007782696879576,0.03845579357187126,0.009603825329588185
200,20.0,5,4,0.5,0.7833220245170229,0.050007782696879576,0.03845579357187127,0.009603825329588181
500,15.0,10,4,0.5,0.7833212406599727,0.05000787315119893,0.03866505457145242,0.010208354017773362
500,15.0,5,2,0.5,0.7832640610535031,0.05001447103346521,0.03866100438878428,0.010128480551175722
300,25.0,10,4,0.5,0.7832515854510441,0.050015910461743925,0.038498476746203165,0.009869436246394941
300,15.0,10,4,0.5,0.7831817576438741,0.05002396639174256,0.038625054760261714,0.010078072668817535
