,importance
V_ema_LST_modis_kobs30,0.21188875
G_rain_sum_30d,0.06070939
V_rollmin_F_NDMI_kobs30,0.059290618
s2_b8,0.059062295
days_since_rain_event,0.05507628
C_lag_LST_modis_kobs30,0.044162676
V_rollmin_E_SAR_diff_kobs30,0.03989785
C_lag_LST_modis_kobs12,0.036213405
D_z_F_NDMI,0.033918325
DOY,0.03221884
V_rollmax_E_SAR_diff_kobs14,0.023636991
E_SAR_ratio,0.020660043
V_rollmax_F_NDVI_kobs30,0.019768713
V_rollmin_E_SAR_ratio_kobs30,0.019745847
D_sa_F_NDMI,0.019725136
rain_mm_impulse_0_7,0.018571
D_sa_E_SAR_ratio,0.016418012
s1_vh,0.016367985
V_rollmin_s2_b12_kobs30,0.016206298
D_z_E_SAR_ratio,0.01531126
V_rollmin_s2_b11_kobs30,0.0148344785
V_rollmax_s2_b11_kobs30,0.014430112
rain_event_impulse_0_7,0.014372348
F_MSI,0.013890723
V_rollmax_E_SAR_diff_kobs30,0.013364258
E_SAR_diff,0.011586709
V_rollmax_E_SAR_ratio_kobs14,0.0110125085
F_NDMI,0.011009606
V_rollmax_E_SAR_diff_kobs7,0.010564049
C_lag_E_SAR_diff_kobs6,0.009451686
V_rollmax_LST_modis_kobs7,0.00881351
s2_b12,0.0065903617
V_rollmax_F_NDVI_kobs14,0.00609206
C_lag_E_SAR_diff_kobs30,0.006077236
C_lag_E_SAR_ratio_kobs30,0.0058060004
C_lag_F_NDVI_kobs30,0.0054251445
A_grad_LST_modis_kobs14,0.0044442206
D_sa_LST_modis,0.004018741
A_d_LST_modis_kobs7,0.0034488158
C_lag_E_SAR_diff_kobs12,0.0031233123
precip_mm,0.0027943172
