Date,Station Id,Station Name,Precipitation Increment (in),Air Temperature Observed (degF),Air Temperature Average (degF),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Soil Moisture Percent -2in (pct),Soil Moisture Percent -4in (pct),Soil Moisture Percent -8in (pct),Soil Moisture Percent -20in (pct),Soil Moisture Percent -40in (pct),Soil Temperature Observed -2in (degF),Soil Temperature Observed -4in (degF),Soil Temperature Observed -8in (degF),Soil Temperature Observed -20in (degF),Soil Temperature Observed -40in (degF),Relative Humidity (pct),Solar Radiation Average (watt/m2)
2025-09-25 13:00,2021,Lind #1,0.00,79.3,79.9,81.3,79.3,0.0,0.1,5.4,5.4,10.1,71,67,67,69,68,22.00,555.40
2025-09-25 14:00,2021,Lind #1,0.00,81.3,81.7,82.4,81.0,0.0,0.0,5.3,5.4,10.1,75,68,67,69,68,16.00,456.60
2025-09-25 15:00,2021,Lind #1,0.00,81.0,81.5,81.9,79.9,0.0,0.2,5.4,5.2,10.1,78,70,67,69,68,14.00,311.70
2025-09-25 16:00,2021,Lind #1,0.00,79.9,78.6,79.9,74.3,0.0,0.2,5.4,5.4,10.1,80,71,68,69,68,9.00,112.40
2025-09-25 17:00,2021,Lind #1,0.00,74.3,72.0,74.3,66.2,0.0,0.2,5.4,5.4,10.1,80,72,68,69,68,15.00,15.42
2025-09-25 18:00,2021,Lind #1,0.00,66.2,66.2,67.6,65.3,0.0,0.4,5.5,5.2,9.9,79,73,68,69,68,24.00,0.03
2025-09-25 19:00,2021,Lind #1,0.00,65.7,64.6,65.7,64.0,0.0,0.4,5.6,5.2,10.1,78,73,69,69,68,25.00,0.00
2025-09-25 20:00,2021,Lind #1,0.00,64.6,64.2,64.8,62.6,0.0,0.3,5.7,5.4,10.1,76,73,69,69,68,23.00,0.01
2025-09-25 21:00,2021,Lind #1,0.00,62.6,60.4,62.6,58.6,0.0,0.4,5.5,5.4,10.1,74,73,69,69,68,27.00,0.00
2025-09-25 22:00,2021,Lind #1,0.00,58.6,56.1,58.6,54.3,0.0,0.4,5.4,5.2,9.9,73,72,69,69,68,32.00,0.00
2025-09-25 23:00,2021,Lind #1,0.00,54.9,54.3,54.9,52.7,0.0,0.1,5.6,5.4,9.9,72,72,69,69,68,36.00,0.01
