,precip_mm,s1_vv,s1_vh,s2_b8,DOY,F_NDMI,F_MSI,E_SAR_ratio,G_API,G_rain_sum_30d,V_rollmin_G_API_kobs7,V_ema_G_API_kobs7,C_smm_G_API_alpha0.85_n5,V_ema_LST_modis_kobs30
precip_mm,0.0,0.028052622649854076,0.03076533304812221,0.023937565779441325,0.02942806789789015,0.028273876901123714,0.028397022672966413,0.029017167392272197,0.0338618932498559,0.025924518480771985,0.01503454263691368,0.024037012314595686,0.017872719814015538,0.017382622693876054
s1_vv,0.028052622649854076,0.0,0.984262013998927,0.75820077484553,0.2911122027489185,0.7740626203023756,0.7747552299696369,0.9837382837014554,0.11660685670672738,0.3224774830960553,0.40744639358219,0.18109667423311643,0.15025812837888572,0.22319032536839137
s1_vh,0.03076533304812221,0.984262013998927,0.0,0.7546589272079636,0.2552850011348275,0.7804437935529366,0.7810250630286648,0.9833832456901614,0.122626922010169,0.3204741615814523,0.4110910344033325,0.1719835054672519,0.14363140516938885,0.20795943207994852
s2_b8,0.023937565779441325,0.75820077484553,0.7546589272079636,0.0,0.30046788374839956,0.7796863539847333,0.7783644898786393,0.766168033029382,0.10033593605075888,0.29400040954669976,0.33378767142073446,0.1693189460142843,0.1376502979955258,0.2309921141791319
DOY,0.02942806789789015,0.2911122027489185,0.2552850011348275,0.30046788374839956,0.0,0.2637870540871141,0.27448272737293156,0.2913616474993562,0.07841455173018506,0.16319053109795165,0.16503599524373824,0.12716352091052752,0.1094265705314625,0.304172617692391
F_NDMI,0.028273876901123714,0.7740626203023756,0.7804437935529366,0.7796863539847333,0.2637870540871141,0.0,1.0,0.7821986237860058,0.10703565533251472,0.30524102378733964,0.3372557377199033,0.16973526172601083,0.1410029165818337,0.22110859161632365
F_MSI,0.028397022672966413,0.7747552299696369,0.7810250630286648,0.7783644898786393,0.27448272737293156,1.0,0.0,0.7829378573328297,0.11396542904719399,0.3118792549953648,0.341602192006875,0.1764934182148089,0.14871374130577936,0.22979965166765953
E_SAR_ratio,0.029017167392272197,0.9837382837014554,0.9833832456901614,0.766168033029382,0.2913616474993562,0.7821986237860058,0.7829378573328297,0.0,0.12892188679238448,0.3511081052517173,0.4235669003277342,0.20271409096807583,0.16904024852336755,0.25413381226918225
G_API,0.0338618932498559,0.11660685670672738,0.122626922010169,0.10033593605075888,0.07841455173018506,0.10703565533251472,0.11396542904719399,0.12892188679238448,0.0,0.16088282595016007,0.4539662427849777,0.3072571149851338,0.33461277021448826,0.09491629798770747
G_rain_sum_30d,0.025924518480771985,0.3224774830960553,0.3204741615814523,0.29400040954669976,0.16319053109795165,0.30524102378733964,0.3118792549953648,0.3511081052517173,0.16088282595016007,0.0,0.24261478354720076,0.22995542599813354,0.20184825823127273,0.15477640683742155
V_rollmin_G_API_kobs7,0.01503454263691368,0.40744639358219,0.4110910344033325,0.33378767142073446,0.16503599524373824,0.3372557377199033,0.341602192006875,0.4235669003277342,0.4539662427849777,0.24261478354720076,0.0,0.3675021377668961,0.40533480115159704,0.16087208363096783
V_ema_G_API_kobs7,0.024037012314595686,0.18109667423311643,0.1719835054672519,0.1693189460142843,0.12716352091052752,0.16973526172601083,0.1764934182148089,0.20271409096807583,0.3072571149851338,0.22995542599813354,0.3675021377668961,0.0,0.4487087349949896,0.1308946571129695
C_smm_G_API_alpha0.85_n5,0.017872719814015538,0.15025812837888572,0.14363140516938885,0.1376502979955258,0.1094265705314625,0.1410029165818337,0.14871374130577936,0.16904024852336755,0.33461277021448826,0.20184825823127273,0.40533480115159704,0.4487087349949896,0.0,0.11590747747107842
V_ema_LST_modis_kobs30,0.017382622693876054,0.22319032536839137,0.20795943207994852,0.2309921141791319,0.304172617692391,0.22110859161632365,0.22979965166765953,0.25413381226918225,0.09491629798770747,0.15477640683742155,0.16087208363096783,0.1308946571129695,0.11590747747107842,0.0
