,precip_mm,s1_vv,s1_vh,s2_b8,DOY,F_NDMI,F_MSI,E_SAR_ratio,G_API,G_rain_sum_30d,V_rollmin_G_API_kobs7,V_ema_G_API_kobs7,C_smm_G_API_alpha0.85_n5,V_ema_LST_modis_kobs30
precip_mm,1.0,0.25952583777953003,0.31355985193220876,0.005858835492564947,0.07806004565675581,0.13563597524485943,-0.1758995655387222,-0.23892837532669162,0.5764897961684737,0.41213960897847957,0.37729256159760444,0.42933557397847766,0.3784579452545641,-0.20495437087215662
s1_vv,0.25952583777953003,1.0,0.945246865330768,0.3855811540402549,0.02520123061011455,0.6493885128227842,-0.7197083927189994,-0.586174370299683,0.4850390184069193,0.4978936698433412,0.4609728962409057,0.494320437214921,0.4834860564932736,-0.2335486408916112
s1_vh,0.31355985193220876,0.945246865330768,1.0,0.37327115540897665,0.04351784921790967,0.5507899824474155,-0.658074974157246,-0.7880423908904621,0.6063987689249581,0.6234201434503882,0.5863455315599267,0.6233176366955336,0.6101329719810333,-0.20870388177583904
s2_b8,0.005858835492564947,0.3855811540402549,0.37327115540897665,1.0,-0.06279609139247735,0.5708256691340905,-0.5978734017752267,-0.3644371811537992,-0.02632472855734958,-0.03529019912770642,-0.0434893749216319,-0.03433879851180392,-0.03489712903852317,0.076661752380032
DOY,0.07806004565675581,0.02520123061011455,0.04351784921790967,-0.06279609139247735,1.0,-0.018593578092240496,-0.02260848418623365,-0.09234215333309646,0.0981408389105868,0.04873730016767621,0.0740455317919826,0.07327565990667884,0.07680022967381445,0.22221271531545747
F_NDMI,0.13563597524485943,0.6493885128227842,0.5507899824474155,0.5708256691340905,-0.018593578092240496,1.0,-0.9686224560510334,-0.3101954800019978,0.24618763444598263,0.2516053618102452,0.23180628249162263,0.24990680693009343,0.24448381497199004,-0.4471396467223829
F_MSI,-0.1758995655387222,-0.7197083927189994,-0.658074974157246,-0.5978734017752267,-0.02260848418623365,-0.9686224560510334,1.0,0.42386806657402726,-0.3228431984368691,-0.3286389267199903,-0.30549293161908997,-0.3287981275021479,-0.32149754401944586,0.419824546855657
E_SAR_ratio,-0.23892837532669162,-0.586174370299683,-0.7880423908904621,-0.3644371811537992,-0.09234215333309646,-0.3101954800019978,0.42386806657402726,1.0,-0.47824370660311083,-0.49158355940256215,-0.4690106272898354,-0.4970531944711433,-0.48639698563120404,-0.0002911081488705465
G_API,0.5764897961684737,0.4850390184069193,0.6063987689249581,-0.02632472855734958,0.0981408389105868,0.24618763444598263,-0.3228431984368691,-0.47824370660311083,1.0,0.8817356807847276,0.9258421732464505,0.9717332189842157,0.9582875884087436,-0.4249947560491495
G_rain_sum_30d,0.41213960897847957,0.4978936698433412,0.6234201434503882,-0.03529019912770642,0.04873730016767621,0.2516053618102452,-0.3286389267199903,-0.49158355940256215,0.8817356807847276,1.0,0.895558673430199,0.9222168294246578,0.9069785060549242,-0.43641841407217524
V_rollmin_G_API_kobs7,0.37729256159760444,0.4609728962409057,0.5863455315599267,-0.0434893749216319,0.0740455317919826,0.23180628249162263,-0.30549293161908997,-0.4690106272898354,0.9258421732464505,0.895558673430199,1.0,0.9777688522172586,0.9786655613598736,-0.4343388516261654
V_ema_G_API_kobs7,0.42933557397847766,0.494320437214921,0.6233176366955336,-0.03433879851180392,0.07327565990667884,0.24990680693009343,-0.3287981275021479,-0.4970531944711433,0.9717332189842157,0.9222168294246578,0.9777688522172586,1.0,0.9961297658908097,-0.4458072097216866
C_smm_G_API_alpha0.85_n5,0.3784579452545641,0.4834860564932736,0.6101329719810333,-0.03489712903852317,0.07680022967381445,0.24448381497199004,-0.32149754401944586,-0.48639698563120404,0.9582875884087436,0.9069785060549242,0.9786655613598736,0.9961297658908097,1.0,-0.4364683697804442
V_ema_LST_modis_kobs30,-0.20495437087215662,-0.2335486408916112,-0.20870388177583904,0.076661752380032,0.22221271531545747,-0.4471396467223829,0.419824546855657,-0.0002911081488705465,-0.4249947560491495,-0.43641841407217524,-0.4343388516261654,-0.4458072097216866,-0.4364683697804442,1.0
