,precip_mm,s1_vv,s1_vh,s2_b8,DOY,F_NDMI,F_MSI,E_SAR_ratio,G_API,G_rain_sum_30d,V_rollmin_G_API_kobs7,V_ema_G_API_kobs7,C_smm_G_API_alpha0.85_n5,V_ema_LST_modis_kobs30
precip_mm,1.0,0.24532309598133298,0.2824531687941809,-0.01789747339059743,0.019859570688366097,0.17587223223655532,-0.17587223223655532,-0.2414675345257864,0.5195474137917787,0.3926307833312106,0.38917471170988766,0.41512008428218183,0.3765338324947831,-0.3354964426767066
s1_vv,0.24532309598133298,1.0,0.9008434852695523,0.40919144964341303,0.03669805286395119,0.7085010254101668,-0.7085010254101668,-0.5875827509135723,0.5897402466983238,0.5995021150583322,0.5633753121433653,0.5999299469812234,0.5901977861310514,-0.1716524035711022
s1_vh,0.2824531687941809,0.9008434852695523,1.0,0.3501128895301894,0.05173002285728318,0.6034470089174641,-0.6034470089174641,-0.8350070983327835,0.6756907223481821,0.6798652099597259,0.6580885055101616,0.6904845043181832,0.6803414521331289,-0.15648861741262446
s2_b8,-0.01789747339059743,0.40919144964341303,0.3501128895301894,1.0,8.907017111761972e-05,0.6290119657559645,-0.6290119657559645,-0.28245817990679567,0.027055698654905203,0.028588141321510375,-0.0008544835616107229,0.02252413094212485,0.019258254530951178,0.19871932106500825
DOY,0.019859570688366097,0.03669805286395119,0.05173002285728318,8.907017111761972e-05,1.0,0.09126807493104748,-0.09126807493104748,-0.043226363792660955,-0.010808840880740236,-0.05204319408843184,-0.04203711718681669,-0.030668827556322095,-0.028305158385137485,0.22403481549304072
F_NDMI,0.17587223223655532,0.7085010254101668,0.6034470089174641,0.6290119657559645,0.09126807493104748,1.0,-1.0,-0.4401078758297144,0.4496607068747095,0.4383930527826583,0.4254766902368866,0.45576672263188095,0.4469988648516927,-0.25640947160677974
F_MSI,-0.17587223223655532,-0.7085010254101668,-0.6034470089174641,-0.6290119657559645,-0.09126807493104748,-1.0,1.0,0.4401078758297144,-0.4496607068747095,-0.4383930527826583,-0.4254766902368866,-0.45576672263188095,-0.4469988648516927,0.25640947160677974
E_SAR_ratio,-0.2414675345257864,-0.5875827509135723,-0.8350070983327835,-0.28245817990679567,-0.043226363792660955,-0.4401078758297144,0.4401078758297144,1.0,-0.642900013756636,-0.6358623006839059,-0.637384449784269,-0.6638188162947578,-0.6548134405842727,0.153515414198627
G_API,0.5195474137917787,0.5897402466983238,0.6756907223481821,0.027055698654905203,-0.010808840880740236,0.4496607068747095,-0.4496607068747095,-0.642900013756636,1.0,0.9019936162987071,0.9397421976348486,0.9796603584456036,0.9679095666149165,-0.6016273520570934
G_rain_sum_30d,0.3926307833312106,0.5995021150583322,0.6798652099597259,0.028588141321510375,-0.05204319408843184,0.4383930527826583,-0.4383930527826583,-0.6358623006839059,0.9019936162987071,1.0,0.9180692677643293,0.9313377500634313,0.9184125921272754,-0.5676168366168858
V_rollmin_G_API_kobs7,0.38917471170988766,0.5633753121433653,0.6580885055101616,-0.0008544835616107229,-0.04203711718681669,0.4254766902368866,-0.4254766902368866,-0.637384449784269,0.9397421976348486,0.9180692677643293,1.0,0.978471758065559,0.9787829910986052,-0.6270840509642149
V_ema_G_API_kobs7,0.41512008428218183,0.5999299469812234,0.6904845043181832,0.02252413094212485,-0.030668827556322095,0.45576672263188095,-0.45576672263188095,-0.6638188162947578,0.9796603584456036,0.9313377500634313,0.978471758065559,1.0,0.9961479784144474,-0.6147333034256863
C_smm_G_API_alpha0.85_n5,0.3765338324947831,0.5901977861310514,0.6803414521331289,0.019258254530951178,-0.028305158385137485,0.4469988648516927,-0.4469988648516927,-0.6548134405842727,0.9679095666149165,0.9184125921272754,0.9787829910986052,0.9961479784144474,1.0,-0.6079764710138629
V_ema_LST_modis_kobs30,-0.3354964426767066,-0.1716524035711022,-0.15648861741262446,0.19871932106500825,0.22403481549304072,-0.25640947160677974,0.25640947160677974,0.153515414198627,-0.6016273520570934,-0.5676168366168858,-0.6270840509642149,-0.6147333034256863,-0.6079764710138629,1.0
