feature,freq_count,frequency,shap_values,avg_shap,global_importance
DOY,9,0.8181818181818182,0.059176;0.042773;0.042119;0.027018;0.024469;0.026218;0.014421;0.015162;0.023681,0.03055966666666667,0.02500336363636364
air_temp_mean,4,0.36363636363636365,0.050853;0.029362;0.047036;0.028511,0.0389405,0.01416018181818182
s1_vv,7,0.6363636363636364,0.014511;0.008115;0.007499;0.008389;0.005418;0.007170;0.004558,0.007951428571428571,0.005059999999999999
V_ema_LST_modis_kobs30,2,0.18181818181818182,0.026414;0.022706,0.02456,0.004465454545454545
rh_mean,3,0.2727272727272727,0.017001;0.011767;0.017802,0.015523333333333333,0.004233636363636363
C_smm_G_API_alpha0.85_n5,2,0.18181818181818182,0.017969;0.022854,0.0204115,0.0037111818181818183
precip_mm,5,0.45454545454545453,0.006762;0.010575;0.008263;0.008556;0.006148,0.0080608,0.0036639999999999997
s2_b8,5,0.45454545454545453,0.009027;0.008646;0.007421;0.005532;0.006835,0.0074922,0.0034055454545454545
s1_vh,6,0.5454545454545454,0.008814;0.005473;0.007445;0.006823;0.003933;0.004866,0.0062256666666666675,0.003395818181818182
API,1,0.09090909090909091,0.036759,0.036759,0.0033417272727272727
slope,3,0.2727272727272727,0.010582;0.011720;0.013600,0.011967333333333332,0.003263818181818181
SAR_ratio,5,0.45454545454545453,0.010819;0.007145;0.006265;0.005562;0.004949,0.006948,0.0031581818181818182
C_smm_LST_modis_alpha0.85_n5,2,0.18181818181818182,0.016021;0.018396,0.0172085,0.0031288181818181823
aspect,3,0.2727272727272727,0.009650;0.011868;0.011128,0.010882000000000001,0.0029678181818181817
NDVI,5,0.45454545454545453,0.004806;0.008001;0.005113;0.007410;0.004821,0.0060301999999999994,0.0027409999999999995
solar_radiation,4,0.36363636363636365,0.006024;0.007054;0.009039;0.007526,0.007410749999999999,0.0026948181818181815
G_API,3,0.2727272727272727,0.011978;0.008791;0.007600,0.009456333333333334,0.002579
G_rain_sum_30d,3,0.2727272727272727,0.005383;0.003726;0.018342,0.009150333333333333,0.0024955454545454543
elev,3,0.2727272727272727,0.006451;0.008560;0.008621,0.007877333333333333,0.002148363636363636
V_rollmin_G_API_kobs7,2,0.18181818181818182,0.011473;0.007961,0.009717,0.0017667272727272727
V_rollmin_E_SAR_diff_kobs30,2,0.18181818181818182,0.009308;0.009893,0.009600500000000001,0.001745545454545455
D_z_F_NDMI,4,0.36363636363636365,0.003882;0.003659;0.007831;0.003691,0.00476575,0.001733
C_lag_LST_modis_kobs30,2,0.18181818181818182,0.010545;0.008203,0.009374,0.0017043636363636365
G_rain_sum_3d,3,0.2727272727272727,0.006371;0.006516;0.004153,0.00568,0.001549090909090909
LST_modis,1,0.09090909090909091,0.016951,0.016951,0.001541
V_ema_G_API_kobs7,1,0.09090909090909091,0.016551,0.016551,0.0015046363636363636
V_rollmin_F_NDMI_kobs30,2,0.18181818181818182,0.008718;0.007489,0.0081035,0.0014733636363636364
NDMI,3,0.2727272727272727,0.006368;0.003214;0.004663,0.004748333333333334,0.001295
C_lag_LST_modis_kobs5,1,0.09090909090909091,0.009491,0.009491,0.0008628181818181818
V_rollmax_G_API_kobs7,1,0.09090909090909091,0.007680,0.00768,0.0006981818181818182
MSI,2,0.18181818181818182,0.002917;0.004705,0.003811,0.0006929090909090909
days_since_rain_event,1,0.09090909090909091,0.007274,0.007274,0.0006612727272727273
SAR_ratio_sa,1,0.09090909090909091,0.007100,0.0071,0.0006454545454545455
NDMI_sa,1,0.09090909090909091,0.006819,0.006819,0.000619909090909091
rain_mm_impulse_0_7,1,0.09090909090909091,0.006466,0.006466,0.0005878181818181819
V_rollmin_LST_modis_kobs7,1,0.09090909090909091,0.005539,0.005539,0.0005035454545454545
C_lag_G_API_kobs1,1,0.09090909090909091,0.005048,0.005048,0.000458909090909091
rain_event_impulse_0_7,1,0.09090909090909091,0.004410,0.00441,0.00040090909090909093
E_SAR_diff,1,0.09090909090909091,0.003914,0.003914,0.0003558181818181818
D_sa_F_NDMI,1,0.09090909090909091,0.003780,0.00378,0.0003436363636363636
rain_mm,1,0.09090909090909091,0.001936,0.001936,0.000176
