feature,freq_count,frequency,shap_values,avg_shap,global_importance
DOY,9,0.8181818181818182,0.059176;0.042773;0.042119;0.027018;0.024469;0.026218;0.014421;0.015162;0.023681,0.03055966666666667,0.02500336363636364
air_temp_mean,4,0.36363636363636365,0.050853;0.029362;0.047036;0.028511,0.0389405,0.01416018181818182
s1_vv,7,0.6363636363636364,0.014511;0.008115;0.007499;0.008389;0.005418;0.007170;0.004558,0.007951428571428571,0.005059999999999999
V_ema_LST_modis_kobs30,2,0.18181818181818182,0.026414;0.022706,0.02456,0.004465454545454545
rh_mean,3,0.2727272727272727,0.017001;0.011767;0.017802,0.015523333333333333,0.004233636363636363
C_smm_G_API_alpha0.85_n5,2,0.18181818181818182,0.017969;0.022854,0.0204115,0.0037111818181818183
precip_mm,5,0.45454545454545453,0.006762;0.010575;0.008263;0.008556;0.006148,0.0080608,0.0036639999999999997
s2_b8,5,0.45454545454545453,0.009027;0.008646;0.007421;0.005532;0.006835,0.0074922,0.0034055454545454545
s1_vh,6,0.5454545454545454,0.008814;0.005473;0.007445;0.006823;0.003933;0.004866,0.0062256666666666675,0.003395818181818182
API,1,0.09090909090909091,0.036759,0.036759,0.0033417272727272727
slope,3,0.2727272727272727,0.010582;0.011720;0.013600,0.011967333333333332,0.003263818181818181
SAR_ratio,5,0.45454545454545453,0.010819;0.007145;0.006265;0.005562;0.004949,0.006948,0.0031581818181818182
C_smm_LST_modis_alpha0.85_n5,2,0.18181818181818182,0.016021;0.018396,0.0172085,0.0031288181818181823
aspect,3,0.2727272727272727,0.009650;0.011868;0.011128,0.010882000000000001,0.0029678181818181817
NDVI,5,0.45454545454545453,0.004806;0.008001;0.005113;0.007410;0.004821,0.0060301999999999994,0.0027409999999999995
