feature_a,feature_b,pearson,spearman,mutual_info,relationship_type
F_NDMI,F_MSI,-0.9686224560510334,-1.0,1.0,Strong negative linear
V_ema_G_API_kobs7,C_smm_G_API_alpha0.85_n5,0.9961297658908097,0.9961479784144474,0.4487087349949896,Strong positive linear
s1_vv,s1_vh,0.945246865330768,0.9008434852695523,0.984262013998927,Strong positive linear
s1_vv,E_SAR_ratio,-0.586174370299683,-0.5875827509135723,0.9837382837014554,Nonlinear dependency
s1_vh,E_SAR_ratio,-0.7880423908904621,-0.8350070983327835,0.9833832456901614,Strong negative linear
G_API,V_ema_G_API_kobs7,0.9717332189842157,0.9796603584456036,0.3072571149851338,Strong positive linear
V_rollmin_G_API_kobs7,C_smm_G_API_alpha0.85_n5,0.9786655613598736,0.9787829910986052,0.40533480115159704,Strong positive linear
V_rollmin_G_API_kobs7,V_ema_G_API_kobs7,0.9777688522172586,0.978471758065559,0.3675021377668961,Strong positive linear
G_API,C_smm_G_API_alpha0.85_n5,0.9582875884087436,0.9679095666149165,0.33461277021448826,Strong positive linear
G_API,V_rollmin_G_API_kobs7,0.9258421732464505,0.9397421976348486,0.4539662427849777,Strong positive linear
G_rain_sum_30d,V_ema_G_API_kobs7,0.9222168294246578,0.9313377500634313,0.22995542599813354,Strong positive linear
G_rain_sum_30d,C_smm_G_API_alpha0.85_n5,0.9069785060549242,0.9184125921272754,0.20184825823127273,Strong positive linear
G_rain_sum_30d,V_rollmin_G_API_kobs7,0.895558673430199,0.9180692677643293,0.24261478354720076,Strong positive linear
G_API,G_rain_sum_30d,0.8817356807847276,0.9019936162987071,0.16088282595016007,Strong positive linear
F_MSI,E_SAR_ratio,0.42386806657402726,0.4401078758297144,0.7829378573328297,Nonlinear dependency
F_NDMI,E_SAR_ratio,-0.3101954800019978,-0.4401078758297144,0.7821986237860058,Nonlinear dependency
s1_vh,F_MSI,-0.658074974157246,-0.6034470089174641,0.7810250630286648,Strong negative linear
s1_vh,F_NDMI,0.5507899824474155,0.6034470089174641,0.7804437935529366,Strong positive monotonic
s2_b8,F_NDMI,0.5708256691340905,0.6290119657559645,0.7796863539847333,Strong positive monotonic
s2_b8,F_MSI,-0.5978734017752267,-0.6290119657559645,0.7783644898786393,Strong negative monotonic
s1_vv,F_MSI,-0.7197083927189994,-0.7085010254101668,0.7747552299696369,Strong negative linear
s1_vv,F_NDMI,0.6493885128227842,0.7085010254101668,0.7740626203023756,Strong positive linear
s2_b8,E_SAR_ratio,-0.3644371811537992,-0.28245817990679567,0.766168033029382,Nonlinear dependency
s1_vv,s2_b8,0.3855811540402549,0.40919144964341303,0.75820077484553,Nonlinear dependency
s1_vh,s2_b8,0.37327115540897665,0.3501128895301894,0.7546589272079636,Nonlinear dependency
s1_vh,V_ema_G_API_kobs7,0.6233176366955336,0.6904845043181832,0.1719835054672519,Strong positive linear
s1_vh,C_smm_G_API_alpha0.85_n5,0.6101329719810333,0.6803414521331289,0.14363140516938885,Strong positive linear
s1_vh,G_rain_sum_30d,0.6234201434503882,0.6798652099597259,0.3204741615814523,Strong positive linear
s1_vh,G_API,0.6063987689249581,0.6756907223481821,0.122626922010169,Strong positive linear
E_SAR_ratio,V_ema_G_API_kobs7,-0.4970531944711433,-0.6638188162947578,0.20271409096807583,Strong negative monotonic
s1_vh,V_rollmin_G_API_kobs7,0.5863455315599267,0.6580885055101616,0.4110910344033325,Strong positive monotonic
E_SAR_ratio,C_smm_G_API_alpha0.85_n5,-0.48639698563120404,-0.6548134405842727,0.16904024852336755,Strong negative monotonic
E_SAR_ratio,G_API,-0.47824370660311083,-0.642900013756636,0.12892188679238448,Strong negative monotonic
E_SAR_ratio,V_rollmin_G_API_kobs7,-0.4690106272898354,-0.637384449784269,0.4235669003277342,Strong negative monotonic
E_SAR_ratio,G_rain_sum_30d,-0.49158355940256215,-0.6358623006839059,0.3511081052517173,Strong negative monotonic
V_rollmin_G_API_kobs7,V_ema_LST_modis_kobs30,-0.4343388516261654,-0.6270840509642149,0.16087208363096783,Strong negative monotonic
V_ema_G_API_kobs7,V_ema_LST_modis_kobs30,-0.4458072097216866,-0.6147333034256863,0.1308946571129695,Strong negative monotonic
C_smm_G_API_alpha0.85_n5,V_ema_LST_modis_kobs30,-0.4364683697804442,-0.6079764710138629,0.11590747747107842,Strong negative monotonic
G_API,V_ema_LST_modis_kobs30,-0.4249947560491495,-0.6016273520570934,0.09491629798770747,Strong negative monotonic
s1_vv,G_rain_sum_30d,0.4978936698433412,0.5995021150583322,0.3224774830960553,Nonlinear dependency
s1_vv,V_rollmin_G_API_kobs7,0.4609728962409057,0.5633753121433653,0.40744639358219,Nonlinear dependency
F_NDMI,G_rain_sum_30d,0.2516053618102452,0.4383930527826583,0.30524102378733964,Nonlinear dependency
F_MSI,G_rain_sum_30d,-0.3286389267199903,-0.4383930527826583,0.3118792549953648,Nonlinear dependency
F_NDMI,V_rollmin_G_API_kobs7,0.23180628249162263,0.4254766902368866,0.3372557377199033,Nonlinear dependency
F_MSI,V_rollmin_G_API_kobs7,-0.30549293161908997,-0.4254766902368866,0.341602192006875,Nonlinear dependency
s2_b8,V_rollmin_G_API_kobs7,-0.0434893749216319,-0.0008544835616107229,0.33378767142073446,Nonlinear dependency
DOY,V_ema_LST_modis_kobs30,0.22221271531545747,0.22403481549304072,0.304172617692391,Nonlinear dependency
s2_b8,DOY,-0.06279609139247735,8.907017111761972e-05,0.30046788374839956,Nonlinear dependency
