feature,importance
SMAP_sm_pm_interp_ema02,0.1266314220428467
V_rollmin_LST_modis_kobs30,0.08586278915405274
D_sin_DOY,0.03174421787261963
G_rain_sum_3d,0.023125798702239988
V_rollmin_G_API_kobs30,0.011289148330688477
V_ema_G_API_kobs7,0.010561048984527586
V_ema_G_API_kobs14,0.009895219802856445
C_lag_G_API_kobs1,0.009075820446014404
C_lag_LST_modis_kobs30,0.008255021572113035
G_rain_sum_7d,0.007138915061950683
V_rollmean_G_API_kobs14,0.0056469178199768065
V_rollmax_G_API_kobs30,0.005274214744567871
V_rollmean_s2_b11_kobs7,0.0032954835891723633
A_pct_G_API,0.0031858325004577638
SMAP_ampm_diff_interp,0.0027668666839599605
G_DSLR,0.0026465940475463865
G_API,0.0025383758544921873
V_rollmin_G_API_kobs7,0.0025245308876037597
V_rollmean_G_API_kobs7,0.002476921081542968
V_ema_G_API_kobs30,0.0024725174903869633
V_rollcv_G_API_kobs30,0.002140018939971924
D_z_LST_modis,0.0020249247550964355
C_smm_G_API_alpha0.85_n5,0.0018859267234802245
C_lag_s2_b11_kobs30,0.0013736033439636231
C_lag_G_API_kobs5,0.0012494421005249023
V_rollcv_G_API_kobs7,0.0010589313507080077
A_d_G_API_kobs1,0.0009998512268066407
V_rollcv_LST_modis_kobs30,0.00092257022857666
C_lag_G_API_kobs6,0.0009130549430847168
A_d_E_SAR_diff_kobs14,0.0006809067726135255
SMAP_sm_pm_interp_rollrange7,0.0006464457511901856
V_rollstd_LST_modis_kobs30,0.0006371092796325684
C_smm_LST_modis_alpha0.85_n5,0.000570967197418213
A_d_E_SAR_diff_kobs30,0.00048163890838623044
V_rollmean_LST_modis_kobs14,0.00045625925064086915
V_rollmax_G_API_kobs14,0.00039349794387817384
V_rollcv_G_API_kobs14,0.0003766536712646484
A_grad_s2_b12_kobs7,0.0003289794921875
D_fft_ent_E_SAR_ratio_kobs30,0.0003125190734863281
V_rollrng_F_NDMI_kobs7,0.0002636599540710449
A_d_E_SAR_diff_kobs5,0.00024788141250610353
V_ema_LST_modis_kobs7,0.00023966789245605472
D_fft_ent_LST_modis_kobs30,0.00022818565368652342
C_lag_LST_modis_kobs6,0.00016040802001953124
A_grad_E_SAR_diff_kobs14,0.00015618085861206053
A_d_LST_modis_kobs14,0.00014093875885009765
V_rollstd_E_SAR_diff_kobs7,0.00013509511947631836
V_rollrng_E_SAR_diff_kobs7,0.00011510610580444335
V_rollstd_s2_b12_kobs7,8.968591690063477e-05
A_grad_SMAP_sm_interp_kobs14,8.387088775634765e-05
A_d_F_NDVI_kobs5,7.82632827758789e-05
V_rollstd_LST_modis_kobs14,5.72967529296875e-05
V_rollstd_F_NDMI_kobs7,5.555629730224609e-05
V_rollstd_E_SAR_ratio_kobs7,5.358219146728517e-05
A_d_s2_b12_kobs7,5.345821380615234e-05
D_fft_dom_LST_modis_kobs30,4.99558448791504e-05
A_d_F_NDVI_kobs2,4.685163497924805e-05
A_d_E_SAR_ratio_kobs5,4.050493240356446e-05
V_rollstd_F_NDVI_kobs7,3.9803981781005863e-05
V_rollcv_LST_modis_kobs14,3.35383415222168e-05
A_d_E_SAR_diff_kobs1,3.009557723999023e-05
SMAP_sm_am_interp_rollrange7,2.22015380859375e-05
A_d_s2_b12_kobs2,1.689434051513672e-05
V_rollcv_s2_b12_kobs7,1.6591548919677735e-05
A_d_E_SAR_diff_kobs2,5.280971527099608e-06
SMAP_sm_am_interp_pctchg,2.3150444030761717e-06
SMAP_sm_am_interp_diff1,9.775161743164066e-07
SMAP_sm_am_interp_grad7,7.915496826171876e-07
SMAP_sm_interp_mask,0.0
