feature,importance
V_rollmin_LST_modis_kobs30,0.06771322011947631
D_sin_DOY,0.029864993095397953
G_rain_sum_3d,0.029320778846740725
C_lag_G_API_kobs1,0.015234203338623048
V_ema_G_API_kobs14,0.01120192527770996
V_ema_G_API_kobs7,0.010871560573577882
V_rollmin_G_API_kobs30,0.008728947639465332
V_rollmin_LST_modis_kobs14,0.008134469985961915
G_rain_sum_7d,0.007141578197479248
C_lag_LST_modis_kobs30,0.005088741779327393
A_pct_G_API,0.004404344558715819
V_rollmean_G_API_kobs7,0.003752477169036865
G_DSLR,0.003126881122589112
V_rollmin_G_API_kobs7,0.0030565452575683594
V_rollmax_G_API_kobs30,0.002917280197143555
G_API,0.0027642226219177246
V_rollcv_G_API_kobs30,0.0026554298400878907
C_smm_G_API_alpha0.85_n5,0.002379617691040039
SMAP_sm_pm_interp_rollmean30,0.002042722702026367
V_rollmax_F_NDVI_kobs30,0.0015716934204101564
V_rollmin_LST_modis_kobs7,0.0014779186248779295
V_rollrng_G_API_kobs30,0.0013292932510375979
V_ema_LST_modis_kobs14,0.0012157082557678223
D_z_LST_modis,0.0011758112907409668
C_lag_G_API_kobs6,0.0011107516288757324
V_ema_G_API_kobs30,0.0010136890411376952
V_ema_LST_modis_kobs7,0.0009763836860656738
A_d_G_API_kobs1,0.0009488511085510253
V_rollcv_LST_modis_kobs30,0.0008818364143371582
C_lag_LST_modis_kobs5,0.0007748126983642579
SMAP_sm_pm_interp_ema02,0.0007306122779846191
C_lag_s2_b11_kobs30,0.0006988620758056641
A_d_E_SAR_diff_kobs14,0.0006651091575622559
V_rollcv_G_API_kobs7,0.0006543159484863281
V_rollcv_G_API_kobs14,0.0005303287506103516
V_rollstd_LST_modis_kobs30,0.00043064355850219727
V_rollmean_LST_modis_kobs14,0.00042884111404418947
A_d_E_SAR_ratio_kobs14,0.00038646936416625977
V_rollmean_G_API_kobs30,0.0003316760063171387
C_smm_E_SAR_diff_alpha0.85_n5,0.00032618045806884763
C_lag_LST_modis_kobs6,0.00028217792510986327
V_rollrng_s2_b12_kobs14,0.0002506804466247559
SMAP_sm_pm_interp_rollrange7,0.00021850585937499998
A_d_s2_b12_kobs30,0.00020441293716430667
SMAP_ampm_diff_interp,0.00018891096115112305
V_rollstd_s2_b12_kobs14,0.00018773794174194335
V_rollstd_F_NDVI_kobs14,0.00018689632415771484
V_rollrng_LST_modis_kobs30,0.0001788616180419922
V_ema_s2_b11_kobs14,0.0001751065254211426
V_rollrng_LST_modis_kobs14,0.00017222881317138672
V_rollrng_SMAP_sm_interp_kobs7,0.00016570329666137695
A_d_E_SAR_diff_kobs7,0.00016123771667480468
V_rollmean_G_API_kobs14,0.00014277696609497074
A_d_F_NDVI_kobs7,0.0001344609260559082
V_rollmean_s2_b11_kobs14,0.00013254642486572264
A_grad_E_SAR_diff_kobs14,0.00012447357177734376
V_rollrng_F_NDMI_kobs7,0.00011298179626464842
A_d_E_SAR_diff_kobs30,0.00011037111282348633
V_rollstd_SMAP_sm_interp_kobs14,0.00010975360870361328
V_rollcv_E_SAR_ratio_kobs7,0.00010296344757080077
V_rollrng_s2_b11_kobs7,9.671926498413085e-05
D_fft_ent_LST_modis_kobs30,7.92837142944336e-05
V_rollstd_F_NDMI_kobs14,7.914543151855468e-05
C_smm_LST_modis_alpha0.85_n5,7.691860198974608e-05
V_rollstd_G_API_kobs30,6.685495376586913e-05
V_rollrng_F_NDMI_kobs14,6.678104400634766e-05
A_grad_s2_b12_kobs30,5.9084892272949224e-05
V_rollmax_G_API_kobs14,5.421161651611327e-05
V_rollstd_F_NDMI_kobs7,4.807710647583007e-05
D_fft_dom_LST_modis_kobs30,4.558086395263672e-05
A_d_E_SAR_diff_kobs5,4.413604736328125e-05
V_rollrng_F_NDVI_kobs14,4.241466522216798e-05
C_smm_s2_b11_alpha0.85_n5,3.967761993408203e-05
A_pct_F_NDVI,3.966808319091797e-05
A_grad_F_NDVI_kobs7,3.927946090698242e-05
V_rollstd_LST_modis_kobs14,3.7326812744140605e-05
V_rollmax_LST_modis_kobs7,3.633737564086913e-05
V_rollstd_E_SAR_diff_kobs7,3.595352172851563e-05
A_d_G_API_kobs5,3.230810165405273e-05
A_grad_E_SAR_ratio_kobs7,3.121852874755859e-05
A_d_E_SAR_diff_kobs1,2.6640892028808596e-05
A_grad_G_API_kobs7,2.653837203979492e-05
A_d_E_SAR_ratio_kobs1,2.649784088134766e-05
A_d_s2_b12_kobs5,2.3036003112792966e-05
A_d_F_NDVI_kobs5,2.123594284057617e-05
C_lag_s2_b11_kobs6,2.0620822906494143e-05
V_rollstd_E_SAR_diff_kobs14,2.05826759338379e-05
V_rollcv_F_NDVI_kobs7,2.0487308502197264e-05
SMAP_sm_pm_interp_diff1,2.0296573638916015e-05
A_d_E_SAR_ratio_kobs2,2.020359039306641e-05
A_d_F_NDVI_kobs1,1.7392635345458985e-05
A_pct_E_SAR_diff,1.730442047119141e-05
A_grad_SMAP_sm_interp_kobs7,1.5165805816650389e-05
A_grad_s2_b12_kobs7,1.4567375183105469e-05
A_d_s2_b12_kobs2,1.4433860778808594e-05
V_rollstd_E_SAR_ratio_kobs7,1.4245510101318363e-05
SMAP_sm_pm_interp_pctchg,1.3747215270996095e-05
V_rollrng_s2_b12_kobs7,1.1377334594726564e-05
A_d_s2_b12_kobs7,1.0468959808349607e-05
A_d_E_SAR_diff_kobs2,8.227825164794923e-06
A_pct_E_SAR_ratio,8.203983306884765e-06
SMAP_sm_am_interp_rollrange7,6.92129135131836e-06
A_d_F_NDVI_kobs2,5.908012390136719e-06
SMAP_sm_interp_rollrange7,5.55276870727539e-06
A_d_s2_b11_kobs14,5.409717559814455e-06
V_rollstd_F_NDVI_kobs7,4.889965057373047e-06
SMAP_sm_am_interp_pctchg,4.570484161376953e-06
SMAP_sm_interp_rollstd7,4.3487548828125005e-06
SMAP_sm_am_interp_rollstd7,3.964900970458985e-06
V_rollrng_F_NDVI_kobs7,3.4403800964355485e-06
A_d_E_SAR_ratio_kobs7,2.9993057250976554e-06
V_rollmax_s2_b12_kobs7,2.8610229492187542e-06
V_rollstd_s2_b12_kobs7,2.5510787963867203e-06
A_pct_SMAP_sm_interp,1.8310546875e-06
A_grad_E_SAR_diff_kobs30,8.225440979003907e-07
SMAP_sm_interp_pctchg,1.6927719116210937e-07
SMAP_sm_pm_interp_mask,0.0
SMAP_sm_interp_mask,0.0
SMAP_sm_am_interp_mask,0.0
G_DSLR_isnan,0.0
A_d_SMAP_sm_interp_kobs1,0.0
A_d_LST_modis_kobs2,-1.7309188842773445e-06
SMAP_sm_interp_diff1,-2.2864341735839843e-06
SMAP_sm_am_interp_grad7,-3.8099288940429684e-06
V_rollstd_s2_b11_kobs30,-7.512569427490221e-06
A_grad_s2_b11_kobs7,-7.758140563964844e-06
SMAP_sm_am_interp_diff1,-1.1439323425292968e-05
D_fft_dom_E_SAR_ratio_kobs30,-1.3024806976318358e-05
SMAP_sm_interp_grad7,-1.3062953948974611e-05
