station_id,latitude,longitude
Spokane,47.42,-117.53
Darrington,48.54,-121.45
Quinault,47.51,-123.81
Touchet_WA_824,46.116667,-117.85
SourdoughGulch_WA_985,46.233333,-117.4
BeaverPass_WA_990,48.87930,-121.25550
BurntMountain_WA,47.04440,-121.94032
CayusePass_WA,46.86956,-121.53434
HartsPass_WA_515,48.72047,-120.65860
MFNooksack_WA_1011,48.82441,-121.92947
MartenRidge_WA_999,48.76292,-121.69823
Paradise_WA,46.78266,-121.74767
RainyPass_WA_711,48.51865,-120.73580
SCAN_ConradAgRc,48.30453,-111.92363
SCAN_CookFarmFieldD,46.78373,-117.08008
SCAN_JordanValleyCwma,42.94863,-117.01060
SCAN_Lind_1,47.00000,-118.56667
SCAN_OrchardRangeSite,43.32268,-115.99643
SCAN_TableMountain,45.80272,-111.58655
SCAN_Violett,48.43578,-111.18423
USCRN_Arco_17_SW,43.46210,-113.55600
USCRN_Coos_Bay_8_SW,43.27180,-124.31860
USCRN_Corvallis_10_SSW,44.41850,-123.32570
USCRN_Darrington_21_NNE,48.54050,-121.44600
USCRN_Dillon_18_WSW,45.15800,-113.00570
USCRN_John_Day_35_WNW,44.55600,-119.64590
USCRN_Murphy_10_W,43.20440,-116.75050
USCRN_Quinault_4_NE,47.51390,-123.81200
USCRN_Riley_10_WSW,43.47110,-119.69170
USCRN_Spokane_17_SSW,47.41740,-117.52640
USCRN_St_Mary_1_SSW,48.74120,-113.43300
