Model ID,Model Name,Strategy,Arm,N_R0,Var_y_R0,MSE_R0,RMSE_R0,nRMSE_R0,R2_R0,N_R1,Var_y_R1,MSE_R1,RMSE_R1,nRMSE_R1,R2_R1
3,Model 3: Trained Gating K=2 (Spec-old),trained_gating_k2,spec_old,3359,0.004318700956076733,0.003274626366174563,0.05722435116429511,0.8707717093582166,0.24175663018136961,5543,0.005053520596765179,0.005527472978029677,0.07434697692596301,1.0458425185350009,-0.0937865735756338
4,Model 4: Trained Gating K=2 (Spec-new),trained_gating_k2,spec_new,3359,0.004318700956076733,0.003365064594781907,0.05800917681524111,0.8827142471016385,0.2208155579637875,5543,0.005053520596765179,0.005340962973383854,0.0730818922400334,1.028046511100694,-0.05687962898630916
5,Model 5: Trained Gating K=2 (Global-V3),trained_gating_k2,global_v3,3359,0.004318700956076733,0.0033566920421136013,0.057936966110710364,0.8816154309973253,0.22275423182740028,5543,0.005053520596765179,0.005380173376544862,0.07334966514269076,1.031813285467182,-0.06463865606658015
6,Model 6: Trained Gating K=2 (Global-c1),trained_gating_k2,global_c1,3359,0.004318700956076733,0.003195117073897205,0.056525366640979915,0.8601353991895854,0.26016709506097246,5543,0.005053520596765179,0.0048764314933434005,0.06983145060317307,0.9823223914605597,0.035042719235207076
7,Model 7: Univariate G_API K=2 (Spec-old),Univariate_G_API_k2,spec_old,4638,0.011846027154981413,0.0033440594692525404,0.057827843373694475,0.5313132347938173,0.71770624653293,4264,0.008141426440965683,0.007054605678873658,0.0839917000594324,0.9308637542140176,0.13349267109058505
8,Model 8: Univariate G_API K=2 (Spec-new),Univariate_G_API_k2,spec_new,4638,0.011846027154981413,0.0033839111581788297,0.05817139467280142,0.5344697307202962,0.714342106943774,4264,0.008141426440965683,0.007054605678873658,0.0839917000594324,0.9308637542140176,0.13349267109058505
9,Model 9: Univariate G_API K=2 (Global-V3),Univariate_G_API_k2,global_v3,4638,0.011846027154981413,0.00331405531916029,0.057567832329872295,0.5289242937454274,0.7202390914859008,4264,0.008141426440965683,0.004768901804475118,0.06905723571411701,0.7653479766095795,0.4142424746996225
10,Model 10: Univariate G_API K=2 (Global-c1),Univariate_G_API_k2,global_c1,4638,0.011846027154981413,0.0030325757756665146,0.055068827622045076,0.505963826994135,0.7440006057734491,4264,0.008141426440965683,0.004930959946090066,0.07022079425704374,0.7782434707209043,0.3943371002802811
11,Model 11: Clustering Dynamic K=2 (Spec-old),Clustering_Dynamic_k2,spec_old,4852,0.012017141495904495,0.0036423784500767193,0.06035212051019185,0.5505438891914907,0.6969014260739077,4050,0.007845950816582837,0.004744507246214712,0.06888038360966577,0.7776295696651816,0.39529225238234456
12,Model 12: Clustering Dynamic K=2 (Spec-new),Clustering_Dynamic_k2,spec_new,4852,0.012017141495904495,0.003837655716527673,0.061948815295594414,0.5651092524227437,0.6806515328262077,4050,0.007845950816582837,0.004492170695280457,0.0670236577283011,0.7566679420950762,0.4274536254056024
13,Model 13: Clustering Dynamic K=2 (Global-V3),Clustering_Dynamic_k2,global_v3,4852,0.012017141495904495,0.004004232389162839,0.06327900433131703,0.5772434978957414,0.6667899441370893,4050,0.007845950816582837,0.004702996487007749,0.06857839664943872,0.7742202682411852,0.4005829762445471
14,Model 14: Clustering Dynamic K=2 (Global-c1),Clustering_Dynamic_k2,global_c1,4852,0.012017141495904495,0.0035727148906802334,0.05977219161683996,0.545253663998052,0.7026984418966995,4050,0.007845950816582837,0.003910403538551016,0.06253321948013725,0.705972847504492,0.5016023385863994
15,Model 15: Seasonal Binary K=2 (Spec-old),Seasonal_Binary_k2,spec_old,4457,0.011060069768463883,0.004722723681500851,0.06872207564895615,0.6534574820314208,0.5729933191771552,4445,0.007493514804541447,0.0042264404559291206,0.0650110794859547,0.7510080506512875,0.43598690785695315
16,Model 16: Seasonal Binary K=2 (Spec-new),Seasonal_Binary_k2,spec_new,4457,0.011060069768463883,0.004827637756785314,0.0694812043417881,0.6606758077218399,0.5635074770910946,4445,0.007493514804541447,0.0036206546080231297,0.06017187555680087,0.6951055623635328,0.5168282571712768
17,Model 17: Seasonal Binary K=2 (Global-V3),Seasonal_Binary_k2,global_v3,4457,0.011060069768463883,0.004200688519358958,0.0648127188085715,0.6162845873952144,0.6201933073391104,4445,0.007493514804541447,0.0037057658375401837,0.0608750017457099,0.7032280767513845,0.5054702720685488
18,Model 18: Seasonal Binary K=2 (Global-c1),Seasonal_Binary_k2,global_c1,4457,0.011060069768463883,0.0044401138831420515,0.06663417954129885,0.6336043079186034,0.5985455809869875,4445,0.007493514804541447,0.003439633523153225,0.058648388922060125,0.6775062433428861,0.5409852902314101
