Month,N,Target_Mean,Target_Std,Target_Var,Precip_Mean,Rain3d_Mean,RMSE_M14,Bias_M14,R2_M14,RMSE_M2,R2_M2
1,779,0.21296919127086011,0.0919110418592288,0.008447639615648908,6.614120667522465,25.917971758664955,0.057673257319809025,-0.01542128321845969,0.606256331802407,0.057241109090327646,0.6121349017042435
2,701,0.2164094151212553,0.08833617781399011,0.00780328031078488,7.484450784593438,28.898002853067048,0.06113157042155057,-0.01931091368470484,0.5210900091542259,0.057040871237388394,0.5830393293672339
3,825,0.23971272727272724,0.08893610179029039,0.007909630201652893,5.71660606060606,24.1790303030303,0.05321938653629186,-0.012667512103788778,0.6419171274647745,0.05024620837267793,0.680809166615276
4,780,0.2568615384615385,0.08126895081680276,0.006604642366863905,4.3257692307692315,17.629487179487178,0.044144849287664684,-0.005801971254287622,0.7049397059850242,0.042758375237846896,0.7231827930376428
5,807,0.25115117719950436,0.08673714765670126,0.007523332783620398,2.1325898389095417,8.863568773234201,0.04833517374605013,-0.0028035514572591464,0.6894608960875211,0.048254163870088,0.6905009524673988
6,801,0.19725468164794008,0.09947930634404027,0.009896132390691412,2.186641697877653,8.585268414481897,0.06469287503988946,-0.019449649169576002,0.5770905323716724,0.06436737828008754,0.5813354931923647
7,753,0.09190836653386453,0.05997871111131696,0.0035974457865748165,0.6600265604249669,2.5646746347941565,0.049721570394154674,-0.02283089048224458,0.3127805923616902,0.04881015750300692,0.33774360565508554
8,699,0.07373676680972818,0.0647508437546783,0.004192671766942761,1.9290414878397713,7.64005722460658,0.051724731398049936,-0.015167962460473538,0.3618751986990595,0.053094923241004045,0.3276194678068636
9,688,0.08181831395348836,0.07550437274843087,0.0057009103041339914,2.1624999999999996,8.32281976744186,0.06983660545511367,-0.02302604982100947,0.14449601882763075,0.07063851227314874,0.12473637542666594
10,709,0.14744851904090267,0.09225953282813498,0.008511821397665716,5.177574047954866,20.21565585331453,0.09243865242215424,-0.03526430082245505,-0.0038867197057492753,0.09517919784244787,-0.0642939129827369
11,637,0.20945211930926216,0.07580073635583123,0.005745751632086235,8.984301412872842,36.55337519623234,0.07166545061266778,-0.026251250378097432,0.10613316753270319,0.07423958699838376,0.040766703713330354
12,723,0.23448271092669434,0.08014732746279313,0.0064235940994281935,12.223651452282159,48.69764868603043,0.058207605904245716,-0.0014219888186553706,0.4725498945511548,0.05910512289575506,0.456158733187503
