dataset,candidate_index,n_features,beta,outer_R2,outer_RMSE,outer_MAE,outer_Bias,retrospective_test_R2,retrospective_test_RMSE,retrospective_test_MAE,retrospective_test_Bias
derived_8.0,6,40,0.0,0.8215242181228358,0.04439047149271846,0.03438788104590357,0.016743684671353547,0.7680950041788497,0.045345976395806314,0.034020363726697686,0.004395426922685569
derived_8.0,5,50,0.0,0.8337511866768822,0.04284295209821557,0.03327669087360229,0.016837541019105735,0.7774086127313239,0.044426068656385036,0.033222809528635135,0.00416646482464505
derived_8.0,4,65,0.0,0.8320803094534004,0.04305770955513341,0.03312042784834938,0.01729453955264762,0.7731320868478582,0.044850805114905,0.03318848853124921,0.0041808477697589715
derived_8.0,3,80,0.0,0.836233865621157,0.042521850888887276,0.033029395416614545,0.01611980768914937,0.763219710878186,0.04582014704806512,0.03392038108740536,0.004609899094569463
derived_8.0,2,100,0.0,0.8546015625979084,0.0400663684876876,0.03114626466223203,0.016119728527415327,0.7808088884358227,0.044085439513135344,0.03301213332275634,0.005517423486964132
derived_8.0,1,125,0.0,0.8383123319378165,0.042251152517195176,0.032832077963584484,0.01849761301043498,0.7788803920894525,0.044278951975877015,0.03286483901930209,0.005253860735401246
derived_8.0,0,150,0.0,0.8281747714248031,0.0435555574479342,0.03354028945864342,0.01791500431753914,0.7783603924603683,0.04433098607161009,0.03268089831246813,0.005469921900363886
derived_8.0,6,40,0.2,0.8166334870057155,0.04499457193531179,0.03457530904424322,0.01674792412635596,0.7673808952975757,0.04541574003778409,0.0338936448460482,0.003938175308009781
derived_8.0,5,50,0.2,0.8326875488466041,0.04297978534597478,0.03335209975431071,0.016791901769993057,0.7746886464802918,0.04469667773646046,0.03317805990903264,0.004323580046841112
derived_8.0,4,65,0.2,0.8290203861892145,0.04344824884842466,0.033397557587664134,0.01715883376413737,0.7743658601734837,0.044728683029849635,0.03320890818836828,0.004430225705809566
derived_8.0,3,80,0.2,0.8346803680647296,0.042723057547286135,0.03285229626817301,0.0162977329630076,0.76972190047402,0.04518663734639253,0.03339494548317238,0.004611730112319449
derived_8.0,2,100,0.2,0.8494931272478414,0.04076413932870123,0.030996093611339766,0.01553556664697552,0.7758683561139333,0.04457951030799296,0.03314762955917365,0.004094227447749611
derived_8.0,1,125,0.2,0.8341091309950035,0.04279680543892232,0.03252731367330998,0.017736771112143557,0.7754258022621123,0.04462350031423239,0.03326860541571674,0.005171383477929254
derived_8.0,0,150,0.2,0.8254661666010814,0.04389751390094624,0.033500646777604434,0.01741326642052873,0.7745613770920383,0.04470929963869958,0.03311966495553544,0.005070066095830733
derived_8.2,6,40,0.0,0.734779477678322,0.059115723477928706,0.04008867239815769,-2.9648330773919778e-05,0.6615751481408301,0.0612585749924087,0.0462563438483361,-0.013591756821390279
derived_8.2,5,50,0.0,0.7342875371427219,0.05917052306054062,0.039990143886326095,-0.00017957800218009923,0.6627524856178932,0.06115192672037163,0.04625449667285463,-0.013647106416325933
derived_8.2,4,65,0.0,0.7354086764254811,0.05904555992998899,0.04004609166666217,-9.250387313449766e-05,0.66282040923325,0.06114576823300607,0.04628860776192253,-0.013820323639827391
derived_8.2,3,80,0.0,0.7305958254186518,0.05958015195726738,0.040853986351403346,-0.0019657403755938777,0.6689750608278306,0.060585141065393824,0.045976777661852895,-0.01500137097260033
derived_8.2,2,100,0.0,0.747407507033758,0.057691212359122765,0.03966286810160367,-0.002350268223003369,0.675725896955466,0.05996418005889217,0.045147995769785905,-0.015046547576210096
derived_8.2,1,125,0.0,0.735834759152592,0.058997998979404956,0.040548444705975815,-0.0041125433688066464,0.6718847831145895,0.06031828045101269,0.045800186095364646,-0.013806761771131668
derived_8.2,0,150,0.0,0.7468593857219816,0.05775377290186288,0.03927133718057415,-0.003480757409044664,0.6606864036272135,0.061338958459189685,0.046546307524433096,-0.014673696546553157
derived_8.2,6,40,0.2,0.7135446701042296,0.061436702773693126,0.041136728998259535,-0.0008602446199447255,0.6564967514496765,0.06171648602560564,0.04654420030316104,-0.013916603389444044
derived_8.2,5,50,0.2,0.710855981301089,0.061724353863910356,0.041168871804640364,-0.0012383378421798388,0.6512651562825121,0.06218468477798188,0.046759625225731107,-0.013474978201430255
derived_8.2,4,65,0.2,0.7191171927533927,0.06083619236581588,0.040943071743685236,-0.0012639406950734494,0.6557789654234172,0.061780933907280546,0.04638362543831006,-0.013988118035513324
derived_8.2,3,80,0.2,0.7113842221063853,0.06166794559386543,0.04228062718074182,-0.002567618971402111,0.6679111873595391,0.06068241956624461,0.0459111408216649,-0.015614847416005034
derived_8.2,2,100,0.2,0.72540980067338,0.06015087678101032,0.04100307680948462,-0.002678763939039842,0.6752977979249248,0.060003748652660005,0.04525634852969875,-0.01490844617127013
derived_8.2,1,125,0.2,0.7164570894396096,0.06112358839353817,0.041351719933131685,-0.005341819059644101,0.6623532917046735,0.061188108243291184,0.04631511023937919,-0.012498256726801006
derived_8.2,0,150,0.2,0.7253977733950953,0.06015219409571077,0.04051590237748267,-0.004037128143734757,0.6561387989813463,0.061748633925794036,0.04684598994407308,-0.014003144450073085
