n_features,candidate_mean_nrmse,candidate_ucb,fold_id,validation_year,held_out_stations,beta,n_train,n_validation,rmse,nrmse
65,0.533206788402526,0.5735325139653573,outer_year_2021_stations_0_beta_0,2021,"['BeaverPass_WA_990', 'BurntMountain_WA', 'SourdoughGulch_WA_985']",0.0,6336,520,0.07633903278730038,0.6633645542848825
65,0.533206788402526,0.5735325139653573,outer_year_2021_stations_0_beta_0.2,2021,"['BeaverPass_WA_990', 'BurntMountain_WA', 'SourdoughGulch_WA_985']",0.2,6336,520,0.0782796316244825,0.680227808057823
65,0.533206788402526,0.5735325139653573,outer_year_2021_stations_1_beta_0,2021,"['HartsPass_WA_515', 'Paradise_WA', 'Spokane']",0.0,6281,559,0.07786074763613544,0.6908099101785702
65,0.533206788402526,0.5735325139653573,outer_year_2021_stations_1_beta_0.2,2021,"['HartsPass_WA_515', 'Paradise_WA', 'Spokane']",0.2,6281,559,0.07463311210375713,0.6621731107654519
65,0.533206788402526,0.5735325139653573,outer_year_2021_stations_2_beta_0,2021,"['MartenRidge_WA_999', 'Quinault', 'RainyPass_WA_711']",0.0,6239,514,0.06946455503911712,0.7284290532500471
65,0.533206788402526,0.5735325139653573,outer_year_2021_stations_2_beta_0.2,2021,"['MartenRidge_WA_999', 'Quinault', 'RainyPass_WA_711']",0.2,6239,514,0.07405428146340062,0.7765584923868107
65,0.533206788402526,0.5735325139653573,outer_year_2021_stations_3_beta_0,2021,"['CayusePass_WA', 'Darrington', 'Touchet_WA_824']",0.0,6248,399,0.03472427564936009,0.2754761332470538
65,0.533206788402526,0.5735325139653573,outer_year_2021_stations_3_beta_0.2,2021,"['CayusePass_WA', 'Darrington', 'Touchet_WA_824']",0.2,6248,399,0.047189899279129026,0.3743689605796559
65,0.533206788402526,0.5735325139653573,outer_year_2022_stations_0_beta_0,2022,"['BeaverPass_WA_990', 'BurntMountain_WA', 'SourdoughGulch_WA_985']",0.0,6336,479,0.07357760253539047,0.5782658443934026
65,0.533206788402526,0.5735325139653573,outer_year_2022_stations_0_beta_0.2,2022,"['BeaverPass_WA_990', 'BurntMountain_WA', 'SourdoughGulch_WA_985']",0.2,6336,479,0.07215614574164742,0.5670942393834785
65,0.533206788402526,0.5735325139653573,outer_year_2022_stations_1_beta_0,2022,"['HartsPass_WA_515', 'Paradise_WA', 'Spokane']",0.0,6281,477,0.05313871488654636,0.43814968007524624
65,0.533206788402526,0.5735325139653573,outer_year_2022_stations_1_beta_0.2,2022,"['HartsPass_WA_515', 'Paradise_WA', 'Spokane']",0.2,6281,477,0.05312804106722987,0.43806167022162656
65,0.533206788402526,0.5735325139653573,outer_year_2022_stations_2_beta_0,2022,"['MartenRidge_WA_999', 'Quinault', 'RainyPass_WA_711']",0.0,6239,473,0.05463885497677999,0.5136547273678831
65,0.533206788402526,0.5735325139653573,outer_year_2022_stations_2_beta_0.2,2022,"['MartenRidge_WA_999', 'Quinault', 'RainyPass_WA_711']",0.2,6239,473,0.05572060276623767,0.5238241364104194
65,0.533206788402526,0.5735325139653573,outer_year_2022_stations_3_beta_0,2022,"['CayusePass_WA', 'Darrington', 'Touchet_WA_824']",0.0,6248,270,0.04409213805588209,0.3219364646827601
