n_features,candidate_mean_nrmse,candidate_ucb,fold_id,validation_year,held_out_stations,beta,n_train,n_validation,rmse,nrmse
150,0.5167199184759748,0.5398514898665481,outer_year_2021_stations_0_beta_0,2021,['SourdoughGulch_WA_985'],0.0,5407,365,0.05752008774190479,0.5241772919256766
150,0.5167199184759748,0.5398514898665481,outer_year_2021_stations_0_beta_0.2,2021,['SourdoughGulch_WA_985'],0.2,5407,365,0.059800733814443056,0.5449606900231923
150,0.5167199184759748,0.5398514898665481,outer_year_2021_stations_1_beta_0,2021,['Quinault'],0.0,5421,351,0.029882352654613118,0.3919608945542738
150,0.5167199184759748,0.5398514898665481,outer_year_2021_stations_1_beta_0.2,2021,['Quinault'],0.2,5421,351,0.02938025039054438,0.38537491871573065
150,0.5167199184759748,0.5398514898665481,outer_year_2021_stations_3_beta_0,2021,"['Darrington', 'Spokane']",0.0,4305,665,0.05487733008427356,0.4976415019579072
150,0.5167199184759748,0.5398514898665481,outer_year_2021_stations_3_beta_0.2,2021,"['Darrington', 'Spokane']",0.2,4305,665,0.05446308425191332,0.4938850160304945
150,0.5167199184759748,0.5398514898665481,outer_year_2022_stations_0_beta_0,2022,['SourdoughGulch_WA_985'],0.0,5407,364,0.06142446464484076,0.6401170600515108
150,0.5167199184759748,0.5398514898665481,outer_year_2022_stations_0_beta_0.2,2022,['SourdoughGulch_WA_985'],0.2,5407,364,0.061788420718253245,0.6439099216262556
150,0.5167199184759748,0.5398514898665481,outer_year_2022_stations_1_beta_0,2022,['Quinault'],0.0,5421,362,0.03726446081591166,0.47584529666255937
150,0.5167199184759748,0.5398514898665481,outer_year_2022_stations_1_beta_0.2,2022,['Quinault'],0.2,5421,362,0.0390559349670758,0.498721370279597
150,0.5167199184759748,0.5398514898665481,outer_year_2022_stations_3_beta_0,2022,"['Darrington', 'Spokane']",0.0,4305,613,0.06656199301588961,0.5424593574506769
150,0.5167199184759748,0.5398514898665481,outer_year_2022_stations_3_beta_0.2,2022,"['Darrington', 'Spokane']",0.2,4305,613,0.06890887416689527,0.5615857024338224
125,0.5221314337291528,0.5458828011877475,outer_year_2021_stations_0_beta_0,2021,['SourdoughGulch_WA_985'],0.0,5407,365,0.059343955899855354,0.5407980988367118
125,0.5221314337291528,0.5458828011877475,outer_year_2021_stations_0_beta_0.2,2021,['SourdoughGulch_WA_985'],0.2,5407,365,0.06018965875623897,0.5485049409232898
125,0.5221314337291528,0.5458828011877475,outer_year_2021_stations_1_beta_0,2021,['Quinault'],0.0,5421,351,0.030090405479290865,0.3946898822018593
125,0.5221314337291528,0.5458828011877475,outer_year_2021_stations_1_beta_0.2,2021,['Quinault'],0.2,5421,351,0.02985633534403059,0.39161963065019995
125,0.5221314337291528,0.5458828011877475,outer_year_2021_stations_3_beta_0,2021,"['Darrington', 'Spokane']",0.0,4305,665,0.054438774649827944,0.49366457041342116
125,0.5221314337291528,0.5458828011877475,outer_year_2021_stations_3_beta_0.2,2021,"['Darrington', 'Spokane']",0.2,4305,665,0.05511871333276949,0.4998304262759184
125,0.5221314337291528,0.5458828011877475,outer_year_2022_stations_0_beta_0,2022,['SourdoughGulch_WA_985'],0.0,5407,364,0.06170693131051952,0.643060703641118
125,0.5221314337291528,0.5458828011877475,outer_year_2022_stations_0_beta_0.2,2022,['SourdoughGulch_WA_985'],0.2,5407,364,0.06396467683742267,0.6665891370980807
