artifact_arm,dataset,model,metric,value_beta_0_0,value_beta_0_2,difference_beta_0_2_minus_0_0
crossed,derived_8.0,2.2_global,Bias,-0.0006958843060357,-0.0008081249178376,-0.00011224061180190004
crossed,derived_8.0,2.2_global,MAE,0.0317942094213117,0.031965030103061,0.00017082068174930493
crossed,derived_8.0,2.2_global,R2,0.7898564387892464,0.7901422173673383,0.00028577857809186646
crossed,derived_8.0,2.2_global,RMSE,0.0431659943194192,0.0431366331692878,-2.936115013139895e-05
crossed,derived_8.0,hand_mdr_v25,Bias,-0.0029102170605145,-0.0025562862335886,0.0003539308269259003
crossed,derived_8.0,hand_mdr_v25,MAE,0.0282972653716453,0.0281530070177787,-0.0001442583538666005
crossed,derived_8.0,hand_mdr_v25,R2,0.8246422716346004,0.8248191581172358,0.00017688648263547435
crossed,derived_8.0,hand_mdr_v25,RMSE,0.0394317599044068,0.0394118671252165,-1.9892779190303078e-05
crossed,derived_8.2,2.1_c1,Bias,-0.0142385178201856,-0.0136577117077694,0.0005808061124161993
crossed,derived_8.2,2.1_c1,MAE,0.045131345327089,0.0450154668624403,-0.00011587846464870127
crossed,derived_8.2,2.1_c1,R2,0.660484240442601,0.6586794984148712,-0.0018047420277298443
crossed,derived_8.2,2.1_c1,RMSE,0.0613572286269825,0.0615200888191208,0.0001628601921382991
crossed,derived_8.2,2.2_global,Bias,-0.020411428215637,-0.0208315229080592,-0.00042009469242219877
crossed,derived_8.2,2.2_global,MAE,0.0472222434212835,0.0474540726744463,0.00023182925316279912
crossed,derived_8.2,2.2_global,R2,0.6197269734923037,0.6147102331420026,-0.0050167403503010854
crossed,derived_8.2,2.2_global,RMSE,0.064935700038238,0.0653626277192511,0.00042692768101310063
crossed,derived_8.2,V3,Bias,-0.0211558266873014,-0.0208452261880758,0.0003106004992255995
crossed,derived_8.2,V3,MAE,0.0464974732372597,0.0473861694449253,0.0008886962076655944
crossed,derived_8.2,V3,R2,0.6537129978116683,0.6377377455062399,-0.0159752523054284
crossed,derived_8.2,V3,RMSE,0.061966056913549,0.0633792811354816,0.001413224221932595
nested,derived_8.0,2.2_global,Bias,0.0043954269226855,0.0039381753080097,-0.0004572516146758004
nested,derived_8.0,2.2_global,MAE,0.0340203637266976,0.0338936448460482,-0.00012671888064940545
nested,derived_8.0,2.2_global,R2,0.7680950041788497,0.7673808952975757,-0.0007141088812739893
nested,derived_8.0,2.2_global,RMSE,0.0453459763958063,0.045415740037784,6.976364197770063e-05
nested,derived_8.0,hand_mdr_v25,Bias,-0.0029102170605145,-0.0025562862335886,0.0003539308269259003
nested,derived_8.0,hand_mdr_v25,MAE,0.0282972653716453,0.0281530070177787,-0.0001442583538666005
nested,derived_8.0,hand_mdr_v25,R2,0.8246422716346004,0.8248191581172358,0.00017688648263547435
nested,derived_8.0,hand_mdr_v25,RMSE,0.0394317599044068,0.0394118671252165,-1.9892779190303078e-05
nested,derived_8.2,2.1_c1,Bias,-0.0142385178201856,-0.0136577117077694,0.0005808061124161993
nested,derived_8.2,2.1_c1,MAE,0.045131345327089,0.0450154668624403,-0.00011587846464870127
nested,derived_8.2,2.1_c1,R2,0.660484240442601,0.6586794984148712,-0.0018047420277298443
nested,derived_8.2,2.1_c1,RMSE,0.0613572286269825,0.0615200888191208,0.0001628601921382991
nested,derived_8.2,2.2_clustering_dynamic_k2_shared_plus_delta,Bias,-0.0129235618205406,-0.0124324869096657,0.0004910749108749009
nested,derived_8.2,2.2_clustering_dynamic_k2_shared_plus_delta,MAE,0.0482963490591877,0.0475673717503278,-0.0007289773088599016
nested,derived_8.2,2.2_clustering_dynamic_k2_shared_plus_delta,R2,0.6237483156326064,0.6336977673714208,0.009949451738814452
nested,derived_8.2,2.2_clustering_dynamic_k2_shared_plus_delta,RMSE,0.0645914438402075,0.063731706739781,-0.0008597371004264998
nested,derived_8.2,2.2_clustering_frozen_k2_shared_only,Bias,-0.0118753227145777,-0.011615007595222,0.0002603151193556995
