dataset,artifact_arm,selected_feature_count,model,beta,baseline_model,evaluation_period,unbiased_sota_eligible,R2,baseline_R2,R2_difference,RMSE,baseline_RMSE,RMSE_difference,MAE,baseline_MAE,MAE_difference,Bias,baseline_Bias,Bias_difference
derived_8.0,original,50,2.2_global,0.0,hand_mdr_v25,2021-2022 non-independent development re-score,False,0.8305591185342186,0.8783141134546572,-0.047754994920438554,0.0432523005682788,0.0366539021847156,0.0065983983835632,0.0326948721270898,0.0286141000032479,0.004080772123841898,0.0153253722069785,0.0101038774300969,0.005221494776881601
derived_8.0,original,50,2.2_global,0.2,hand_mdr_v25,2021-2022 non-independent development re-score,False,0.8318597463638255,0.8819143030529758,-0.050054556689150265,0.0430859784999448,0.0361076114048466,0.006978367095098199,0.0323533375404939,0.0282093578750705,0.004143979665423403,0.0145616214424645,0.0094303579929229,0.005131263449541599
derived_8.2,original,100,2.2_global,0.0,2.1_c1,2021-2022 non-independent development re-score,False,0.7374502863511032,0.6751662488324559,0.062284037518647306,0.0588173184275296,0.0654229344200638,-0.006605615992534203,0.0404095509836552,0.0438898316318895,-0.003480280648234302,-0.0035702011559587,-0.0118214367119224,0.008251235555963701
derived_8.2,original,100,2.2_global,0.0,V3,2021-2022 non-independent development re-score,False,0.7374502863511032,0.6804194938868343,0.0570307924642689,0.0588173184275296,0.0648917649001083,-0.006074446472578696,0.0404095509836552,0.0446399224428138,-0.004230371459158597,-0.0035702011559587,-0.0048333664736471,0.0012631653176884004
derived_8.2,original,100,2.2_global,0.2,2.1_c1,2021-2022 non-independent development re-score,False,0.7201022676041715,0.6658847747822976,0.054217492821873936,0.060729420365243,0.0663510162713908,-0.005621595906147796,0.0412600245093287,0.0439020024397897,-0.0026419779304610036,-0.004408665826361,-0.013529884101164,0.009121218274803
derived_8.2,original,100,2.2_global,0.2,V3,2021-2022 non-independent development re-score,False,0.7201022676041715,0.680593482569678,0.03950878503449351,0.060729420365243,0.0648740980374357,-0.004144677672192697,0.0412600245093287,0.0444633590057815,-0.0032033344964528046,-0.004408665826361,-0.0054547018550137,0.0010460360286527002
derived_8.0,crossed,125,2.2_global,0.0,hand_mdr_v25,2023-2025 retrospective,False,0.7898564387892464,0.8246422716346004,-0.03478583284535397,0.0431659943194192,0.0394317599044068,0.0037342344150123954,0.0317942094213117,0.0282972653716453,0.003496944049666398,-0.0006958843060357,-0.0029102170605145,0.0022143327544788
derived_8.0,crossed,125,2.2_global,0.2,hand_mdr_v25,2023-2025 retrospective,False,0.7901422173673383,0.8248191581172358,-0.03467694074989758,0.0431366331692878,0.0394118671252165,0.0037247660440712996,0.031965030103061,0.0281530070177787,0.0038120230852823032,-0.0008081249178376,-0.0025562862335886,0.0017481613157509998
derived_8.0,nested,40,2.2_global,0.0,hand_mdr_v25,2023-2025 retrospective,False,0.7680950041788497,0.8246422716346004,-0.05654726745575067,0.0453459763958063,0.0394317599044068,0.005914216491399497,0.0340203637266976,0.0282972653716453,0.005723098355052303,0.0043954269226855,-0.0029102170605145,0.0073056439832
derived_8.0,nested,40,2.2_global,0.2,hand_mdr_v25,2023-2025 retrospective,False,0.7673808952975757,0.8248191581172358,-0.057438262819660135,0.045415740037784,0.0394118671252165,0.006003872912567501,0.0338936448460482,0.0281530070177787,0.005740637828269498,0.0039381753080097,-0.0025562862335886,0.006494461541598299
