dataset,split,year,row_count,target_mean,target_standard_deviation,target_minimum,target_maximum
derived_8.0,train,2017,1696,0.18945224056603777,0.11078321654516568,0.0,0.439
derived_8.0,train,2018,1751,0.1777384351798972,0.10286492394185086,0.0,0.361
derived_8.0,train,2019,1692,0.1941548463356974,0.08375915118931848,0.0,0.361
derived_8.0,train,2020,1729,0.2232087912087912,0.09530412076385372,0.0,0.369
derived_8.0,val,2021,1381,0.21397175959449674,0.10272416859899597,0.025,0.431
derived_8.0,val,2022,1339,0.22924943988050786,0.10689315642744901,0.028,0.444
derived_8.0,test,2023,1266,0.20426935229067933,0.0947052013284603,0.028,0.378
derived_8.0,test,2024,1493,0.22077963831212324,0.08931494318622989,0.017,0.373
derived_8.0,test,2025,1257,0.20699204455051706,0.09821111124042109,0.015,0.377
derived_8.2,train,2017,3820,0.200717277486911,0.11865101127406187,0.001,0.439
derived_8.2,train,2018,4072,0.19171168958742635,0.11016960438232618,0.001,0.4
derived_8.2,train,2019,3832,0.22003940501043842,0.09213749008852479,0.001,0.403
derived_8.2,train,2020,3980,0.21713115577889447,0.10854412244223373,0.001,0.406
derived_8.2,val,2021,3652,0.20572617743702082,0.11146004320607332,0.001,0.447
derived_8.2,val,2022,3497,0.19624563911924506,0.11797056431661503,0.001,0.444
derived_8.2,test,2023,3277,0.16677601464754352,0.10759509649312868,0.001,0.448
derived_8.2,test,2024,3127,0.2033191557403262,0.09980355421919856,0.001,0.406
derived_8.2,test,2025,2498,0.1916052842273819,0.1047336681162698,0.003,0.395
